Topic title: 美男子面子书留言自杀 他真的跳楼了！
username,date,text
魅子,20101210,"自杀真的是解决的方法吗?既然有勇气死为何不拿起勇气去面对，既然可以连命都不要了，何不把生命给更需要帮助的人～失恋男面子书留遗言倒数  他真的自杀！ 他死前最后一张流泪照片，应该是要女友内疚一辈子吧～真傻～他忘记了自己的家人了吗！！ 应该是文中指的他们看完电影后的其中一个片段～ 还有很多的照片～在面子书http://www.facebook.com/photo.php?pid=5106928&amp;id=754228704#!/photo.php?pid=4935247&id=754228704&fbid=437869503704(吉隆坡9日讯）华裔男子为情所困，今日凌晨在面子书留下自杀遗言和为自己倒数死自杀时间后，从14楼公寓跃下，为得不到的爱殉情！交往4月分手男子坠落公寓底层泊车场时，压毁一辆威拉轿车，当时他还奄奄一息卧在血泊中，送院抢救后，在今早9时宣告不治。此案于今日凌晨3时30分，在蕉赖优丽阁（Ketumbar Height）公寓14楼单位内发生。案发后，公寓保安员在14楼走廊处寻获一双男性拖鞋，相信是死者留下。这是继今年8月槟城一名19岁学院生，因失恋在面子书留言自杀后，国内发生在面子书留言自杀的第二宗案例。死者江赛福（22岁，译音，资讯员），洋名ALVISS KONG，上有一兄一姐。据了解，死者和父亲（60岁，德士司机）住在5楼公寓单位，其母亲在外国协助儿女照顾孙子。蕉赖副警区主任阿都拉欣受询时证实此案，并列猝死案处理。据悉，死者在4个月前认识一名貌美女子后，即一见钟情，两人较后也交往一段时间。不过，死者最近和女友分手，相信他承受不住分手之苦，在百般折磨下萌起跳楼轻生的念头。自杀前到茶档喝茶据悉，死者是从昨晚11时开始上网留言，至今日凌晨2时34分留下最后一封遗书，并在凌晨3时留下遗言，写下对前女友的“最后告白”。还拍下最后一张带泪的遗照后，才轻生。据悉，死者自杀前还到住家附近的茶档喝茶，接着直接登上公寓14楼跃楼轻生。死者父亲在儿子出门时，曾到茶档找他和吩咐他早点回家，惟这段期间，死者却已在倒数他寻死的时间。“我玩不起爱情”“爱情…我玩不起…两场的爱…我已经把自己搞到不知道像什么了…”江赛福临死前在面子书分别以华英文留下死前的告白书，内容大意他玩不起爱情，当他4个月前和女友交往后，对方已是他最爱的人。不过女友却无情一次又一次把他推开，甚至连他人生的最后一天，也不愿留机会给他送她回家。女友部落格透露分手心情死者徐姓前女友在其部落格中写了多篇与死者有关的文章，当中也透露她与死者分开后的心情。本报记者从该部落格中发现，死者与徐姓前女友是在今年7月26日正式交往，直12月初分手，两人交往逾4个月。女子在文章中透露，她觉得与死者分手，不是什么大不了的事，她觉得一个人也能过得很好，但还会不时想念死者。记者相信，死者与徐姓女子是于11月初感情生变，因为女子在这段期间发布一篇文章，指说死者不了解她，12月5日，她再发布两篇与死者分手后的心情，表明希望死者会找到比她更好的另一半。一天2000留言  有人劝、骂、要跟随网友对于死者在面子书上倒数自杀的行为，反应不一，有者奉劝死者爱惜生命、有者责骂死者为何要为情自杀，更有人表示要步随死者的脚步，学他为情自杀。死者于周三晚上11时在面子书上开始发布自杀预言，指会在凌晨12时自杀，但该留言并无引起他人的回应。而稍后，死者再次发布多个留言及遗书后，许多网友开始担心他是否会真的做出傻事而纷纷留言劝阻。有不少的网友纷纷劝阻他要放开这段感情，指说“天涯何处无芳草”，何必为了一名女生而放弃生命。另一方面，则有不少网友责骂他为何要这么傻，更直说死者的自杀行为是一种无聊的举动，浪费其父母的多年养育。此外，更有网友留言指说，死者的情况与网友本身的遭遇很相似，以致该名网友在看完死者的留言及遗书后，也想学死者一样为情自杀。不少网友在得知死者往后的消息，纷纷上网留言愿死者安息，导致死者的面子书在短短的一天内涌入2000则以上的留言。姐姐以为开玩笑  追问倒数甚么弟答我爱你死者姊姊在发现弟弟发布自杀预言时，还一度以为他在开玩笑，岂料最后竟成真！死者姊姊在死者发布倒数自杀留言“Count Down For 45 Mins…What should i do in the 45 mins?”（倒数45分钟，在这45分钟里我该做些什么）后，曾到死者的面子书留言，当她还打趣地问弟弟在倒数什么。死者稍后在面子书回覆其姐说“我爱你”，其姐开心回覆说这是死者第一次对她说“我爱你”，令她十分感动。随后，死者再次留言要姐好好照顾家人，其姐开始觉得不妥，不断问死者到底发生什么事，死者到底人在哪里，但死者却不再回覆任何留言。其姐在稍后再上网留言，称死者已因跳楼而被送进医院急救。据悉，当时人在云顶的徐姓前女友在得知死者自杀时，曾欲赶回吉隆坡医院探望死者，却被死者姊姊拒绝，因为她赶来也已于事无补，并指将痛恨对方一辈子。死者在面子书的遗言"
nicholas_yap,20101210,"我觉得他很下水，下水了男人...."
傲氣長存,20101210,"在现代世界，还真的有人为情自杀RIP"
Is_yOu,20101210,"真可惜····样子蛮不错···那么年轻···就这样走了······"
魅子,20101210,"    别那么说，他也是因为不懂爱情，以为爱情就是这样子～人都走了～唉～只有叹息～"
ahliang141,20101210,"不能认同他的做法，但现在只能愿他安息了...."
ynleow,20101210,"太想不开了"
8號魔人,20101210,"我无言了~ 不能说他“下水”男人~因为，当一个人真真的爱上另一个人时，而对方却冷心的对待自己。你真的会很伤心的。我只能这样认为：“他缺少了身边朋友的关怀。”有时往往你失恋了，或心怀心事，可以找一些知心的朋友来聊。这样会舒服很多的。R.I.P~ 您安息吧~ 有下世的话，要珍惜您的生命，不要再把爱情看得太重了~"
tana067,20101210,"回复 1#      人生中还有还多比爱情更美好的事情，为何一定要自杀呢？自杀了又怎样哦？他的前女友顶多也内疚罢了。人是有很多责任在身的，比如照顾家人的责任，工作责任。。。何必把爱情看得太大，爱情只不过在人生那么多的责任里的一个部分罢了。自杀了最伤心的还是他的父母，而非他的女友。他的父母养了他20年了然后就这样走了，不为自己想也得为父母想嘛。再说分手后就得好好活下去，让对方知道你过得比以前更好，不选你是对方的损失！！！我真的是没有眼看这件傻事   "
williamchiew,20101210,"他的人生只有爱情。。。现在的年轻人。。。唉。。。RIP"
