Topic title: 马哈迪私营化公司之一的南北大道，在做假账 ？ 120 - 180 亿变 33 亿 ！
username,date,text
cct2050,20120218,"简单的算数题 ：南北大道每日平均車流量有 120 - 130萬輛左右一年收入 ： 130万 x 每人平均进贡 30.00 x 365天 = RM142亿现金142亿 - 33亿 = 109亿  假账超级离谱 ！注： 按照南北大道的数学公式： 33.5亿 / 130万 X 365 = 9.4元 （ 每人平均过路费 ）2015年，每日的130萬輛車流量開齋節高峰期‧南北大道車流量160萬    2015-07-07 （八打靈再也訊）南北大道公司預計，在開齋節回鄉高峰期的車輛將達每日平均160萬輛，較平日的130萬輛增加20%的車流量，因此促請民眾盡量趁非巔峰時期提早回鄉，同時還可享有高達50%的“早鳥”過路費回扣。公司董事經理拿督諾麗扎指出，公司每年都為了舒緩佳節交通流量而絞盡腦汁，包括推出各種折扣優惠，鼓勵民眾提早回鄉，今年更打破以往的回扣記錄，提供前所未有最高50%的過路費回扣優惠。她說，今年的開齋節落在7月17及18日，預計16至20日是大道塞車的高峰時期，為此，公司特別作出調整，凡在7月13、14及15日啟程並採用PLUS裡數回饋卡（PLUSMiles）、一觸即通卡（Touch'n Go）及精明通關感應器（Smart TAG）電子付費的大道使用者，將能分別享有50%、40%及30%的回扣。至於在21、22及23日使用大道者，也可分別獲得30%、40%及50%的回扣，鼓勵民眾“早回鄉，遲返城”。諾麗扎週一在記者會上指出，為了舒緩開齋節回鄉熱潮造成的交通擁堵，公司遂決定以高額回扣鼓勵遊子趁著非巔峰時期提早回鄉。她舉例，從大使路收費站駛至亞羅士打南部收費站一共是54令吉70仙，若民眾提前在7月13日啟程，就可享有50%回扣，節省高達27令吉35仙。享有30%至50%回扣需遵守3個條件，即使用電子付費方式、僅限第一級車輛（Kelas 1）及在南北大道和第二中環銜接大道（ELITE）旅途超過100公里的車輛。所有的回扣將在8月15日至11月14日開放索取，民眾可前往任何南北大道客服中心進行預付卡加額時獲得有關回扣。（CD）數措施應付龐大流量諾麗扎說，南北大道公司過去也擬定數項措施及策略應付佳節龐大的車流量，包括公佈建議啟程時間表（TTA），以避免大批車輛在同一時間湧入大道造成癱瘓，惟遵守時間表的車主一年不如一年，去年遵照時間表回鄉的民眾僅有36%。“2014年，遵照時間表回鄉的車主僅有36%，至於照時間表規定返城的民眾僅有27%，大家都抱著僥倖心理，認為只要別人遵守就好。”她指出，公司在2009年實施建議啟程時間表，2012年遵守時間表回鄉的車輛高達61%，爾後的遵守度逐年下降，2013及2014年分別僅有46%及36%的車主遵守。諾麗扎解釋，建議啟程時間表旨在讓車輛分批進入大道，讓回鄉路途較遠的車輛先行在清晨6時至8時啟程，其他的車主再按照本身回鄉的距離分批進入大道，解決令人頭疼的大道癱瘓問題。大道擬定的其他舒緩交通策略還包括增加收費站人手、開通所有4條車道、在特定路段增設逆向車道等。出席記者會的包括南北大道公司營運組總經理諾巴雅蒂及首席營運員莫哈末弗亞。* * * *南北大道新年期间车流量料增30%  16 JAN 2012 （吉隆坡25日马新社讯）南北大道有限公司估计，在2月3日及4日的农历新年期间，使用南北大道的车流量预料将高达140万辆。南北大道公司董事经理拿督诺丽查说，上述车辆料将较平常使用大道的车流量将增加30%；普通时段的车流量是约110万辆。“车流量将在本月29日开始增加，因为许多人已开始回乡。”她今日主持农历新年回乡建议行程时间（TTA）开幕礼后，对媒体这么说。建议行程时间建议，在周六至2月2日期间，使用巴生谷前往北部吉打及玻璃市，及南下士姑来及新山的大道使用者，可在早上11点前启程。至于前往槟城、太平及章吉遮令，以及南下东甲、永平及阿依淡的大道使用者，则建议在早上11点至下午4点启程。前往江沙及新邦安拨，以及马六甲爱极乐的大道使用者则可在下午4点至晚上8点之间开车。“前往打巴、美罗、仕林河及南下芙蓉、波德申及新那旺的大道使用者则建议在晚上8点后启程。”诺丽查说，从新加坡到新山的车主，若其车牌号码的最后数目是单数，则建议在早上7点至10点，以及下午2点至5点之间启程。建议行程时间也建议，在2月5日及6日从玻璃市、吉打、士姑来及新山回返巴生谷及新加坡的大道使用者，可在中午12点前启程；从槟城、太平及章吉遮令，以及东甲、永平及阿依淡的大道使用者，则建议在下午3点至5点之间启程。诺丽查指出，至于从江沙及新邦安拨，以及马六甲爱极乐的大道使用者则可在下午2点前开车。“从打巴、美罗、仕林河；芙蓉、波德申及新那旺的大道使用者则建议在晚上8点后启程。”她指出，为减轻南北大道的付费服务，该公司也增设1000个收费站及将人手增至3000人，即增加20%的员工。南北大道公司也将在本周六至2月6日关闭一触即通及PLUSMiles加额通道，且在10个休息站的国油添油站提加额值服务。http://mandarin.bernama.com/v2/newslist_detail.php?id=65819 # # # #南北大道全年净利突破13亿   二零一一年二月二十八日 （吉隆坡28日讯）南北大道有限公司（PLUS，5052，贸易服务组）净利突破13亿令吉大关，在截至2010年12月31日为止有待审查的全年业绩中，所获得净利由前年的11亿8511万2000令吉挺至13亿零617万令吉。该公司的税前盈利由前年的16亿2357万2000令吉增至17亿7696万5000令吉。而营业额则由前期的31亿7902万2000令吉扬升至33亿5148万1000令吉。每股收益由前年的23.73仙扬升至26.13仙。"
SurveyPlayer,20120218,"不奇怪所以民联才有把握讲执政后，免费开放给全国人民"
agsd121,20120218,"coca cola bottling && coca cola soft drinks co...."
若冉,20120219,"楼主很有问题110万*RM50你以为110万每天都是从新山到KL咩？？"
cct2050,20120219,"  平均值 （ 过路的各种车辆综合 ）   Alor Setar To Johor Baru Class  1    RM 102.00Class  2    RM 153.00Class  3    RM 204.00Class  1    RM 51.100Class  1    RM 76.600大概是每公里 RM0.152http://www.plus.com.my/很多人怀疑Johor 中部的 AYER HITAM 到 Johor 南部的KULAI （ Johor 洲内 ）平均收费超过 8.50 了Class 1 RM7.50Class 2RM11.20Class 3RM15.00Class 4RM3.70Class 5RM5.60Vehicle ClassesClass        Icon        DescriptionClass 1        Class 1        Vehicles with 2 axles and 3 or 4 wheels excluding taxisClass 2        Class 2        Vehicles with 2 axles and 5 or 6 wheels excluding buses.Class 3        Class 3        Vehicles with 3 or more axles.Class 4        Class 4        TaxisClass 5        Class 4        Buses"
若冉,20120219,"全部马来西亚人都知道他们在贪污但是你的数据我觉得会误导很多人很多KL人每天都需要付过路费，来来往往，一天可能只是十块钱而已。 那里可能就占了一半的车流量很多跑sales的人需要跑上跑下，但是也不可能所有跑sales的人每天都平均从KL到JB= 就算是KL到JB.. 也才40几块钱明显你说的110万车流量的计算方式水分就太高了！我在新山，经常走的tol就是Rm2.3 / 2.1. 你难道硬硬要把我们加进去你的RM50/car？"
guang,20120219,"我只能说，报纸报导的数目是常常错的……每天110万流量？我不是很相信咯"
cct2050,20120219,"   有人说 ： 少报了  不止 110万     使用者包括新加坡人，泰国人和其他外国人"
locolyric,20120219,"水分太多，去除了那些之后还是比所谓的33亿多。"
cct2050,20120219,"    你认同它的公式 ： 8.35元 "
