Topic title: 旅游部长的儿子买720万豪宅
username,date,text
cyberjaye,20130927,"驾悍马,买三层独立洋房. 钱那里来呢?（吉隆坡26日讯）旅游及文化部长拿督斯里纳兹里的儿子莫哈末纳丁购置逾720万令吉豪宅？媒体今日就此事追问纳兹里时，他却撇清说此事与他无关。他今日在国会走廊接受媒体询问时，似乎对于儿子购置豪宅一事毫不知情，甚至一脸错楞地反问记者：「什么房子？」        当记者向他出示媒体的报导后，他仅简单地说：「他可以买一座王宫，这不是我的问题。」大马青年团结阵线协调员峇德鲁希山在今日发表文告，声称获得有关三层楼高独立洋房的购买文件，阐明纳兹里的儿子纳丁为洋房所有人。购买力受质疑他指出，该栋洋房价格达720万令吉，而也因为纳丁是土著的关係，获得7%或相等于逾50万令吉的折扣。他认为，依据內陆税收局的记录，以纳丁年龄及收入，竟然买得起这栋豪宅，不禁令人质疑。早前，纳兹里因委任纳丁为旅游部特別事务官而引起爭议，纳兹里当时表明，纳丁只是负责选区事务，而旅游部尔后也將纳丁的职位改为选区特別事务官。纳丁被指于去年3月20日晚上前往吉隆坡满家乐一座豪华公寓时，不愿登记访客资料而与保安人员发生肢体衝突。不过，去年杪，时任內政部长拿督斯里希山慕丁指出，纳丁涉嫌殴斗一事，已查明殴打公寓保安人员的是其保鏢，而双方最后也同意和解。http://www.orientaldaily.com.my/index.php?option=com_k2&view=item&id=76222:720&Itemid=113"
stc007,20130927,"他从他儿子一出世时就帮他存到现在"
cwc0206,20130927,"大家心知肚明，就算不是他老豆帮忙 就是靠他老豆的名气。。。要知道他老豆还有之前内政部长的势力，就算他儿子做某种生意都是非常容易的。。。大家恨不了那么多。。。我们都想看到我们的部长贪污能有中国部长的下场。看看中国的打贪 判罚就极度可怕的。"
4u2c,20130927,"我很期待马来西亚有酱的事。。。http://www.orientaldaily.com.my/ ... 969:&Itemid=197"
空中说话,20130927,"偏帮孩子偏帮到出脸 孩子打人说不关他事，叫孩子去做”他的助理“说成”他喜欢委任谁就委任谁：，现在孩子买豪宅他说不知情 ？"
空中说话,20130927,"他老豆是他的KWSP？"
Py1984,20130927,"问题是这里“依据內陆税收局的记录，以纳丁年龄及收入，竟然买得起这栋豪宅，不禁令人质疑。”阿猪阿狗都可以查询百姓的內陆税收局的记录？？"
engjian,20130927,"这种事不用想都知道是怎么一回事"
神经虫,20130927,"他老豆什么都说不知道，不管他事！"
monster.inc,20130927,"就算丟掉後面的0 很多人也買不起。"
lkfight,20130927,"这些人就没有人去调查.....那些贪污局的人应该被处死"
