Topic title: 再次轰动世界的国阵政府之蕹菜事件以及其他丑闻
username,date,text
ICEMAN2011,20140103,"不出所料，闯入他人的宗教地盘，没收他人圣经事件终于扬名海外。英国BBC已报导：等看外国和海外的人民如何反应..http://www.bbc.co.uk/news/world-asia-25578348之前的轰动事件：http://cforum.cari.com.my/forum.php?mod=viewthread&tid=2987369&extra=page%3D11"
vongolia,20140103,"希望联合国制裁马来西亚。。。"
ICEMAN2011,20140103,"这是亚洲Channel News Asia：http://www.channelnewsasia.com/news/asiapacific/malaysian-authorities/941368.html"
ICEMAN2011,20140103,"这是亚洲Channel News Asia：http://www.channelnewsasia.com/news/asiapacific/malaysian-authorities/941368.html"
岃,20140103,"看了新闻我有些糊涂了.....请问宗教局的可以逮捕非教徒吗?"
ICEMAN2011,20140103,"毫无尊重可言，倒转来，假设如果他们的可兰经被人没收，后果真的是不堪设想。"
JeeJee,20140103,"脑残人种选出的脑残政府作出的的脑残行为。"
ICEMAN2011,20140103,"中东的半岛新闻:http://stream.aljazeera.com/story/201401022106-0023288"
盖世~兔,20140103,"睡帮忙tag以下智障进来开工"
ICEMAN2011,20140103,"美国的华盛顿时报：http://www.washingtontimes.com/news/2014/jan/2/islamic-officials-malaysia-seize-321-bibles-christ/"
hijaak,20140103,"越权？越权本来就属于破桶的专利，有些东西破桶不方便做就会交给破桶管理下其它相似不相关部门外国可用马来西亚，我们这里就怕被巫统管理的部门迫害，只能用破桶"
ICEMAN2011,20140103,"路透社：http://www.reuters.com/article/2014/01/02/us-malaysia-religion-idUSBREA010C120140102"
elsapower,20140103,"需要搞到这样吗？"
lokijuh123,20140103,"希望联合国把马来西亚列入全球宗教最不自由的国家。  希望联合国可以谴责这事。。"
maxzchua,20140103,"不可以，回教宗教局只可以处理关于回教问题，除非是教堂里有回教徒，那么就可以插手。"
ICEMAN2011,20140103,"中时电子报：http://www.chinatimes.com/realtimenews/20140102005349-260408"
ICEMAN2011,20140103,"中时电子报：http://www.chinatimes.com/realtimenews/20140102005349-260408"
岃,20140103,""M'SIA KINI的新闻:马来西亚圣经公会（Bible Society of Malaysia）今日遭雪州宗教局（JAIS）官员上门突击检查，扣押了320本马来文圣经，并带走两名负责人调查。"我不觉得这两名负责人会是回教徒."
Barryliaozs,20140103,"西方最多也是口头警告，不会产生什么大作用的。"
justebelmont,20140103,"Tmd, 再来一次十字军东征，这一次要革了它的命。"
ICEMAN2011,20140103,"不出所料，闯入他人的宗教地盘，没收他人圣经事件终于扬名海外。英国BBC已报导：等看外国和海外的人民如何反应..http://www.bbc.co.uk/news/world-asia-25578348之前的轰动事件：http://cforum.cari.com.my/forum.php?mod=viewthread&tid=2987369&extra=page%3D11"
vongolia,20140103,"希望联合国制裁马来西亚。。。"
ICEMAN2011,20140103,"这是亚洲Channel News Asia：http://www.channelnewsasia.com/news/asiapacific/malaysian-authorities/941368.html"
ICEMAN2011,20140103,"这是亚洲Channel News Asia：http://www.channelnewsasia.com/news/asiapacific/malaysian-authorities/941368.html"
岃,20140103,"看了新闻我有些糊涂了.....请问宗教局的可以逮捕非教徒吗?"
ICEMAN2011,20140103,"毫无尊重可言，倒转来，假设如果他们的可兰经被人没收，后果真的是不堪设想。"
JeeJee,20140103,"脑残人种选出的脑残政府作出的的脑残行为。"
ICEMAN2011,20140103,"中东的半岛新闻:http://stream.aljazeera.com/story/201401022106-0023288"
盖世~兔,20140103,"睡帮忙tag以下智障进来开工"
ICEMAN2011,20140103,"美国的华盛顿时报：http://www.washingtontimes.com/news/2014/jan/2/islamic-officials-malaysia-seize-321-bibles-christ/"
hijaak,20140103,"越权？越权本来就属于破桶的专利，有些东西破桶不方便做就会交给破桶管理下其它相似不相关部门外国可用马来西亚，我们这里就怕被巫统管理的部门迫害，只能用破桶"
ICEMAN2011,20140103,"路透社：http://www.reuters.com/article/2014/01/02/us-malaysia-religion-idUSBREA010C120140102"
elsapower,20140103,"需要搞到这样吗？"
lokijuh123,20140103,"希望联合国把马来西亚列入全球宗教最不自由的国家。  希望联合国可以谴责这事。。"
maxzchua,20140103,"不可以，回教宗教局只可以处理关于回教问题，除非是教堂里有回教徒，那么就可以插手。"
ICEMAN2011,20140103,"中时电子报：http://www.chinatimes.com/realtimenews/20140102005349-260408"
ICEMAN2011,20140103,"中时电子报：http://www.chinatimes.com/realtimenews/20140102005349-260408"
岃,20140103,""M'SIA KINI的新闻:马来西亚圣经公会（Bible Society of Malaysia）今日遭雪州宗教局（JAIS）官员上门突击检查，扣押了320本马来文圣经，并带走两名负责人调查。"我不觉得这两名负责人会是回教徒."
Barryliaozs,20140103,"西方最多也是口头警告，不会产生什么大作用的。"
justebelmont,20140103,"Tmd, 再来一次十字军东征，这一次要革了它的命。"
ICEMAN2011,20140103,"当今大马 (Malaysiakini Chinese Version) via KiniTV 中文频道大马基督教联合会3号发文稿，强烈谴责雪州宗教局和警员1月2号联合突击大马圣经公会的做法。该组织表示，宗教局此举不仅违反我国联邦宪法第二条文所赋予人民的信仰自由权利，也违反了内阁在2011年4月会见国内基督教代表时所出台的10点声明。有关声明阐明，国内基督徒可以在符合特定条件下，印刷并使用国文圣经。"
keff78chow,20140103,"可以肯定他们会合理的把你杀掉，然后在念经。。！！因为他们真的已经没有脑了"
ICEMAN2011,20140104,""
ninjaTT,20140104,"很好啊，不好吗？让国外看看马来西亚那帮不懂人权的蠢蛋。"
ICEMAN2011,20140104,"回教极端分子在示威:"
ICEMAN2011,20140104,""
cct2050,20140104,"东南亚的穆斯林兄弟会分部开始行动了 ？"
alanksy,20140104,"wow～以前英国十字军为了圣地攻打耶路撒冷落...现在他们会攻打我国，占领我国吗？？如果攻来了我可以当走狗吗？像他们以前po日本军一样"
ICEMAN2011,20140104,"加拿大的CBS新闻：http://www.cbc.ca/news/world/321-bibles-seized-by-malaysia-s-islamic-authorities-1.2482133"
ICEMAN2011,20140104,"印度传媒之一:http://www.thehindu.com/news/international/world/malaysian-officials-seize-bibles-over-use-of-word-allah/article5530191.ece"
QHL4598,20140104,"日軍當初在馬的時候也是英國訓練反抗部隊（請參考林謀盛），不像馬第二任首相還參與日軍。"
ICEMAN2011,20140104,"来自友族的面书： "
ICEMAN2011,20140104,"马来西亚的真相："
ICEMAN2011,20140104,"邪教一派："
马统,20140104,"潘基文你在哪里，快来我国吧！"
dupont378,20140104,"全世界 G５ 的前殖民地， 联合国，IMF，WB，包括 大英 ５４ 个前殖民地都是 VATICAN 透过大英控制的公司，VATICAN 不信耶苏，全世界最销路最广的英文版圣经和它的翻译本，也是经过撒旦教共济会老大 KING JAMES 篡改，可信度等于零。。。纳吉没上台之前还亲自到 VATICAN 朝圣，得到 POPE 的首肯，当大马公司 C E O，现在闹的是 VATICAN 默许的转移通货膨胀的焦点。。。"
agsd121,20140104,"之前翻翻许多外国写东南亚历史书都提到当地的。。。。执政的人物与日军合作，所以才进军神速"
QHL4598,20140104,"難道東南亞起源的民族基因上就對華人有仇嗎？"
agsd121,20140104,"当时被吃的够够的可不是华人"
华人美国队长,20140104,"说得有道理。"
poloc1987,20140104,"日本安倍晋三参拜二战头号杀人犯 ，美国也奈何不到。谴责任谁也办得到。重点：1）安倍无法解决国民对日常需求的痛苦挣扎，就转移至以上焦点，下届倒台是预料中事。          2）不久前才发生元旦前夕抗涨价示威，重点是友族占大多数，谁害怕了？害怕了就会马上转移至杀手锏-〉宗教纠纷。               自从新首相上任至今（大多都发生在年初），凡是众多友族开始酝酿起义，杀手锏就立马上桌了。               对信仰的宗教认知不深的 一群就陪政府颠"
ICEMAN2011,20140104,"巫统喽啰在面子书上召集网民带圣经去教堂前焚烧："
ICEMAN2011,20140105,"巫统讲过的话可以信的吗？？ "
ICEMAN2011,20140105,""
ICEMAN2011,20140105,""
kbx,20140105,"脑残的政府令国家蒙羞。政府只敢欺负自己人,如果他敢欺负印尼才是勇敢。"
cct2050,20140105,"BN 主体 UMNO 是 1946年的 J 族长带头主导 9 封建大家族成立的第一任会长是 J 族长的大臣第二任会长是 K 族长的七子第三任会长是印尼游水过来武基斯的族长第四任会长是印尼游水过来武基斯的族长的妹夫第五任会长是印尼游水过来武基斯的族长的最忠心手下第六会长是印尼游水过来武基斯的族长的最忠心手下的傀儡现在的会长是印尼游水过来武基斯的族长的大儿子所以 BN 只不过是封建大贵族权力操控游戏中的旗子和傀儡"
ICEMAN2011,20140105,""
rEbIrTh@巴梨,20140105,"巫统本身就是一个邪恶的政党。他们的党员们都是恶魔，统统应该下地狱。"
ICEMAN2011,20140106,""
ICEMAN2011,20140106,""
ICEMAN2011,20140106,""
ICEMAN2011,20140106,""
ICEMAN2011,20140107,"https://www.facebook.com/photo.p ... ;type=1&theater"
harry_lim,20140107,"我弹着吉他阿拉谁来唱？唱衰了无桶阿拉来舒畅"
ICEMAN2011,20140115,"恭喜了娜娜！！ 搞到BBC都trending你的蕹菜论了！！"
ICEMAN2011,20140115,"蕹菜论爆红登上国际媒体网民改编混音舞曲续调侃| 2014年1月15日 上午10点55分首相纳吉的“蕹菜论”继续成为网络火红话题，就连国际媒体如英国广播公司（BBC）与新加坡《海峡时报》也报道这股“蕹菜热潮”。《BBC》与《海峡时报》都是在昨日相继报道此事。《BBC》打出的标题是〈谈论蕹菜时要小心〉，而《海峡时报》的标题则是〈马来西亚网民因首相纳吉的蕹菜论而暴怒〉。http://www.straitstimes.com/brea ... ung-remark-20140114http://www.bbc.co.uk/news/blogs-trending-25730815"
ICEMAN2011,20140116,"英国广播电视台BBC的报导：世界首个蕹菜首相："
leeseng,20140116,"主要目的是把贪污指责分散注意力"
逍遙,20140116,"名人放屁不同凡响"
柏皓轩,20140116,"可怜的首相， 蕹菜论不懂他要给人笑多久。"
devilredcantona,20140116,"自取其辱，。，"
ICEMAN2011,20140117,"大马的蕹菜首相红到美国华尔街Wall Street Journal都报导：恭喜了娜娜！！In Malaysia, Spinach Sparks Tussle on Wikipedia, Jeers on Social Mediahttp://blogs.wsj.com/searealtime ... rs-on-social-media/"
Bad_Bunny,20140117,"malaysia出名了"
ICEMAN2011,20161124,"扬威科威特："
jellyfish_8,20161124,"这张是很多年前的照片 不是B5请不要拿出来 骗人"
ICEMAN2011,20161126,"走狗请回避！http://news.kuwaittimes.net/webs ... ister-leave-office/"
单一,20161126,"这是国家机密, 楼主公佈了不知会坐牢多少天？"
ICEMAN2011,20161210,""
ICEMAN2011,20161214,"中國官方網站描述1MDB公司醜聞，鸡鸡的”丰功伟绩“：http://www.mytimes.org/node/19254#52"
阿杜,20161214,"被你猜到了，印尼人和马来半岛人都很憎恨华人，因为500年前是华人把伊斯兰教传入的，伊斯兰教毁了他们，你说他们怎么不恨华人？印尼人对华人大屠杀，就是因为他们真的很恨华人把伊斯兰教带进来所展开的报复。印尼人是多么希望摆脱伊斯兰教，但是没办法，华人大力传播伊斯兰教使得这个教在那里已经生根了。"
ICEMAN2011,20170505,"http://www.mytimes.org/cat/63/node/106261#1332"
寂寞的小子,20170505,"不是教徒就要消音，或者变成声音“嘟～”带过"
ICEMAN2011,20170530,"又有机会为国争光，名扬四海了！！恭喜！！http://www.sinchew.com.my/node/1647945"
luvpris,20170530,"今日新加坡新闻又报道又有两家银行因1MDB遭罚款。。。。而我国没动静。。。唉。。。。"
ICEMAN2011,20170711,"这样久了，不敢去告他们诽谤吗？？檢察總長是自己人 大馬總理貪230億無罪：http://news.ltn.com.tw/news/world/paper/952949"
ICEMAN2011,20170723,"因为纳吉和一马公司，大马再度丢脸到英国去了！英国工党议员在国会动议，要英国政府调查纳吉和刘特佐在英国购买产业的事！http://supportdap.online/archives/6258"
ICEMAN2011,20170817,"那天来访问大马，过后就这样发表，难道鸡鸡弄垮了这次官访？？"
