Topic title: 東海岸水災災情‧哥打峇魯失守
username,date,text
ali123456789,20141224,"（東海岸24日訊）吉蘭丹州水災災情持續惡化，災黎增至25905人，包括話望生的災黎也達到6698人，目前州內9縣都發生程度不一的水災.繼蘭斗班讓，話望生和吉賴之後，首府哥打峇魯也失守了。登州水災災情進一步惡化，截至早上9時，災黎人數2萬1千630人，甘馬挽災情最嚴重，災黎人數1萬2千723人。此外，瓜登前往關丹靠近朱蓋消拯局的路段積水而暫時關閉，駕駛人士必須繞道而行。彭州災情持續惡化，截至10時，共有1萬零818人疏散，林明及立卑通往話望生交通依然中斷。"
【水灾成患】你的家乡安全吗？,20141224,"既然他们什么事都扯上宗教，我可不可以说这是阿X对他们坚持执行回刑法而对他们做出的惩罚？"
19570831,20141226,"谁也不想天災的吧."
mkquek,20171125,"下週二至週三登州丹州還有另一波強降雨，風也很強要留意安全"
禅师,20171125,"这些都是林冠英的错，在槟城举办啤酒节，害到现在全国处处水灾。。。怎至连外国都处处水灾，林冠英真的是罪孽深重。。。。"
luvpris,20171125,"比照檳州水災的情況，希望朝野政府能好像那時一樣放下歧見合力救災，不要因為換了個州屬就換了個說法"
Ragnarok026,20171127,"預報有效時間已經從26號修改延長至29號希望災情不會嚴重https://www.facebook.com/malaysiamet/?ref=br_rs"
禅师,20171127,"东海岸水灾，很少见到催泪的新闻老人家泡水里或彻夜未眠等都鲜少有深入报导，也许马来报才比较多他们的新闻吧"
瘋流材子,20171127,"他们几十年每年都这样淹水，没有像槟城人那样惊。"
advocado,20171127,"有些人根本没住那边，不过年底水灾前再假假回去扮当地居民，以便得到政府的金钱支援"
瘋流材子,20171127,"不可以，他们只想扯上自己想要的想法而已。如，这就是上天对他们还没有实行回刑法的惩罚。问你怕了没有。"
BBJ,20171127,"kelantan水灾每年都重复发生的！"
can_fei_ren,20171127,"要來了"
Hishammudin,20171128,""
Hishammudin,20171128,"上次被罵這次快了些許和我預測一樣，紅色危險級別警報發佈中，要留意安全了"
