Topic title: 厂家纷纷离开大马;令吉走贬;经济严峻;裁员人数增加...轮到F&N
username,date,text
ICEMAN2011,20150701,"竞争力逐年下降的大马，已经今日不如往年，已经不再是外资的天堂。JVC在今天正式关闭其在莎亚南第21区的工厂。据说他们会迁移到泰国。又有一大群人面对失业了！"
thunder,20150701,"亚洲经济鬼才果然杀伤力惊人！"
mingwai89,20150701,"纳吉鬼才成功把外国品牌逐出国外了……该庆祝？"
小东北,20150701,"大马就快没外资进来了，悲剧。。。。"
l1023,20150701,"这回又不知道有多少人失业了。。。"
PRM,20150701,"都是外劳失业罢了。现在还有多少个本地人在工厂里做 operator?"
元旦,20150701,"好事来的!失业的印尼婆全回乡下投票了。"
ali123456789,20150701,"包头工人哭都没有用，继续强化土著政策吧，再接再厉。。"
合气求道,20150701,"马奶政府和经济不稳定的pasal。"
天子,20150701,"电费水费都起。。。。薪水又要求高高。。。。不走才怪！"
Smellcoffee,20150701,"yeah! 纳吉成功路开始了！"
xiyu8910,20150701,"不怕不怕，等一下亚洲经济鬼才开一家1malaysia的工厂把他们全部请去做工就好了"
gundamwing,20150701,"別傷心太早如果下一屆大選還是國陣當政府還有的哭呢"
江夏,20150701,"別仇視和對這些包頭工廠嫂失業幸災樂禍，他們其實也是被政府裙帶關係作業的受害者（和小拿破崙沒親戚關係就不受聘政府工），遭遇和唐人無異。他們也是和唐人一樣，在私人機構工作養家，所以別把矛頭指錯了。"
JeeJee,20150701,"我们还有全亚洲最大可兰经印制厂在建着。。。"
素还真,20150701,"本地供应商又少了客户。"
shinyew,20150701,"抗日尚未成功，同胞們還需努力"
elevenman,20150701,"政府部门疏通费太高，早走早好。"
skydreamer1978,20150701,"其实应该是JVC的竞争力下降吧。在本地，还有几个人是有买JVC品牌的"
yk13,20150701,"不用怕，政府会说都是民联政府执政不力，导致外资撤走"
monster.inc,20150701,"因為泰國工錢便宜？"
thunder,20150701,"日本主管喜欢看阿瓜！"
羅馬王子,20150701,"現在在市場很少看到這個品牌了"
alienwong,20150701,"连SHELL都要找机会走了，我们的政治鬼才果然是一流，赶人才最一流！"
Barryliaozs,20150701,"我认为主要是该品牌的竞争能力下滑是他们关厂的原因。"
梦想之追求者,20150701,"连香烟厂phillip morris都走人就知道啦,再看看日本公司的老大“松下”....无语问苍天"
gundamwing,20150701,"是遷廠而不是企業競爭力不足而倒閉這意味著在馬來西亞設廠成本比在泰國設廠還重"
ICEMAN2011,20150701,"听说langkawi岛的Sheraton沙滩resort酒店将在7月5日结束营业，100多位员工也将面临失业...."
tanxinrong,20150701,"到底是什么原因？是不是马来西亚太烂的关系？"
禅师,20150701,""
jackyboy05,20150701,"继续革命，继续前进！"
句子Sentence,20150701,"工厂为搬迁而关闭，说明这是马来西亚的工业成本太高，政府治国无能，而不是该工厂经营有问题。"
ali123456789,20150701,"公司实力排名还是输给HITACHI"
素还真,20150701,"外劳来了，cost still too high.... 还说让150万外劳来。呵呵。"
Black~Boy,20150701,"已知道的有inte ,air asia现在再加上jvc....在这几年里"
vjcspore8899,20150701,"好耶！！！全部可以去卖云吞面"
vjcspore8899,20150701,"1-7-2015 05:35 PM好耶！！！全部可以去卖云吞面"
kkk_0,20150701,"议员个个起薪几百巴仙，经济哪里不好"
ICEMAN2011,20150701,"不久前居林的Intel都已经裁了约600员工了...."
bashlyner,20150701,"JVC 为何不回日本开厂？难道他们竞争力比泰国差？"
ICEMAN2011,20150701,"还是越南比较好："
beyondseek,20150701,"沒關係~~惠誉保持马来西亚信用评估，同时将的经济宏观从“负面”升至“稳定”有人在看好~~http://cforum3.cari.com.my/forum ... &extra=page%3D1"
Jimobianjie,20150701,"之前新加坡也有不少企业由于成本的关系迁出新加坡。"
Orochimaru,20150701,"jvc之后就是Panasonic"
KelmenWong,20150701,"那强竞争能力的品牌有在这里开厂吗？"
eskymo,20150701,"现在的趋势是外资工厂进东南亚都会选择 泰国 菲律宾 & 印尼这些国家近年的政策对外资工厂非常有利免税优惠还有减少设厂繁琐公式程序马来西亚人还傻乎乎认为这些国家政治动乱贪污认为自己国家高人家一等殊不知在外国资本家眼里马来西亚的优势已经输人家一大步。"
eskymo,20150701,"现在时势是东南亚最好的时候马来西亚没好好把握只能怪自己"
georgeck,20150701,"缺乏创新。"
魔鬼终结,20150701,"好呀，马奶西呀boleh"
ICEMAN2011,20150701,""
bibilon,20150701,"Kenwood 和jvc 合併，為了減少重複性業務，所以選擇關閉kl 的工廠"
ICEMAN2011,20150701,"大约500员工被裁退。。。"
ichiyeoh,20150701,"這一切都跟政府的政策有關係"
LeowPeiPei,20150701,"那鸡说：不怕不怕，全部走完我们还有稀土厂镇压着。。。"
