Topic title: 政府不好，然後呢？
username,date,text
真哲,20160506,"“政府不好”，好像是大家都同意命題即使是反對者也只是把“政府”換成“社會因素”，也就是“社會因素不好”無論怎麼說都是國家裡面有東西“不好”所以重點來了知道了“不好”，然後呢？當我們知道身體不好了我們會去看醫生會去吃藥吃補品會做運動會注意飲食可是國家不好我們做了什麼？討論弊病很重要解決方案可能是從討論問題萌生的也可以讓大家意識到這一個問題的嚴重性可是我們也不能只停留於嘴巴上說所以國家不好時，我們做了什麼？每個人的發展和背景都不一樣學者可以研究什麼理論可以套用到社會上解決問題神學家可以透過對宗教的詮釋去輔導極端的人學生可以積極的參與能力所及的社會運動或更直接的把書念好家庭主婦一家之主除了工作和管理家務也可以透過教育著手每個身份都可以透過自己立場上的特殊性去緩解問題緩解問題就是解決問題的過程中的關鍵所在可是我看見的是大家只是把責任放到政府身上沒錯，他們很多問題可是難道我們就沒有責任嗎？我們除了賺錢，除了喊冤，我們對社會做過了什麼？就納稅 給GST 投票而已嗎？如果到現在我們都還沒意識到問題的嚴重性還只是停留在嘴巴上呱呱叫而毫無建樹的話國家哪天真的倒了的話你也將會是原因之一我要強調的是不要覺得自己渺小無用這不是只是鼓勵大家在社會運動中站出來包括在生活中，再社會群體的互動中也要意識到這一點你每一個努力，每一個付出，都會從單向關係進而影響到整個複合的社會關係政府不好，我們喊了好多年，累了，也沒用換個方向，認清自己之前的不夠負責從自身開始修正，從社會最小的單位---“自己”出發穩固社會基本單位，凝聚社會力量和條件再衝向政府停止嘴炮，踏出第一步，由這一刻開始。-------------------------------------------以下是透過大家回覆時讓我想要強調的一些補充說明：1.我沒有主張不要罵政府可以繼續罵，可以繼續集會可是重點是要意識到自己還有很多事情是處於“代辦”狀態的而不應該停留於“罵”的階段生活是持續的，所以政治也是持續的停止的那一刻就是生命走到盡頭的那一刻誰也別想推卸責任2.凡計劃所預期達到的目的都是“理想”但“理想”不是注定就是空談空談的理想 在於沒有過程 沒有努力 沒有付出雖然有過程 有努力 有付出 不見得就能達到理想但什麼都沒做過 想也別想3.我們一直掛在嘴邊的“民主”和“自由”是源自西方的社會而西方社會之所以能“民主”“自由”不是因為他們是西方人而是他們會為自己的理想實實在在地去付出和努力他們過去很長一段時間都是在極其不自由的生活中掙扎出來的我們憑什麼說“不可能”？"
大赚小赔,20160506,"那请问楼主做了什么？"
真哲,20160506,"吃飯，學習，休息，思考，娛樂，走走看看"
Ecor1,20160506,"说的对，所以愚民们应该积极参与各种讲座，社会运动，那样不只是摆脱了愚昧，也尽了自己的责任"
真哲,20160506,"一邊充實自己，一邊實踐；透過不斷的實踐，又可以充實自己內在修養公民素質才會好社會基礎才會好"
素还真,20160506,"留在马来西亚吃吃喝喝，玩玩买买，还有定时交税就尽了公民责任。剩下来的力气骂政府不为过。"
江夏,20160506,"看在樓主頭像是美女，寫得有分段容易讀，就把文章讀完。"
真哲,20160506,"其實也不能怪大家因為政府故意在教育上讓我們對公民義務的認知無知化公民一旦認清自己的義務將會動搖他們的極權計劃所以只能透過不斷地互相提醒和分享才能對得起社會 對得起人民 對得起國家學，才變得有意義"
真哲,20160506,"謝謝狂野哥的賞臉"
TWL3947,20160506,"口语。。"
