Topic title: 槟城政府 8 年耗费 8 亿投资清真事业  一级棒的 ！
username,date,text
cct2050,20160603,"8 年耗费 8 亿投资清真事业.，几乎确定它已经割包皮1. 每年 6000 万供养穆斯林祭祀，扶持清真学校2. 8000万的槟城回教法庭3. 槟城峇六拜 450万清真巴刹与饮食中心4. 槟城峇央峇鲁 2.8 亿伊斯兰医院。5. 1500万兴建宗教私人学校6. 伊斯兰国际学校 600万7. 2008年到2016年，给予回教宗教教师特别拨款共达1555万槟州政府伊斯兰化 对穆斯林呵护备至http://www.suarakini.com/?p=47879对"
20150128020644502.jpg,20160603,"有人會說這是“政治需要”。其實巫統玩弄種族課題也是"政治需要"... "
201112271054016552.jpg,20160603,"赢到完了咯华人可以入番了咯呵呵呵"
19300001362359131927924295038.jpg,20160603,"原来伊斯兰城就在槟州"
对槟州非伊斯兰事务拨款的不公.jpg,20160603,"马华和民政是中央政府中央政府每年花在回教堂上亿，Putrajaya回教建筑几十亿。为什么中立LZ没有抗议？？？"
假冒是神8,20160603,"好心你啦，中立原本管钱的财政部长是华人！是卖华把华人财政部长的职位出卖给umno，这样也要怪DAP？"
乾坤,20160603,"我没怪火箭喔，我说事实喔，是巫统令到火箭揸住那两粒逼得火箭不得不那么做的喔，不懂的嘛满身火滚咯，我没满身火滚喔，我明白火箭是为什么这么做的喔，这也不对？中央原本管钱的是陈阿信仔，马华自己不争气人家还不伸手过来抢我也是知道喔，也是没怪火箭喔，这也是不对？我都不是中立的，干嘛火滚？"
cyberjaye,20160603,"这样污桶就没有借口说行动党边缘化马来人了"
cct2050,20160603,"槟城地方税收 2亿，一亿给穆斯林，如果扣除行政开销，穆斯林公务员薪水，差不多 80% 送给穆斯林花"
cct2050,20160603,"8年才8亿，人家那急一口就26亿了，哦，不是，马币大跌，现在已经30亿了！花8亿，至少是用在人民身上，国阵被新加坡冻结的款项，应该不止这个数，这些钱应该拿不回了，全部被新加坡充公，送给新加坡人用！外国难民住公寓，本国难民住帐篷，国阵那么喜欢崇洋媚外，就赶紧移民吧，马来西亚人民不会留你们这些狗官的，赶紧滚蛋吧！"
乾坤,20160603,"你是穆斯林 ？"
kent05,20160603,"既然都喜欢回教所以请支持伊斯兰法加速回教化，皆大欢喜"
cct2050,20160603,"建清真寺的难道不可以是华人？建筑原料供应商不可以是华人？"
prince,20160603,"因为槟城龙族心甘情愿掏钱出来让火箭拉马来票 "
cct2050,20160603,"人蠢是没有药医的，被人家卖了还替人家数钞票就是他们这种铁粉老千最爱重点是出了钱还要一直被回教骂，这个也是笨蛋做法"
hangz81,20160603,"这是bn 的mca gerakan造的孽把华人从1963年的最大人口，变成第3（现在还输外劳）"
prince,20160603,"为什么要抗议，现在是不是代表行动党做中央政府会比国阵更多？"
magicangel,20160603,"国阵支持回教〉〉〉马华在家睡觉没做工。行动党支持回教〉〉〉至少人家是为了人民，政治需要，骗他们给行动党做政府先才来改变我看是行动党骗华人去做政府，然后坑华人多一点"
莱殊,20160603,"到了临近大选。。。。只会派更多钱给穆斯林。。。。只为了淋神继续当首长。。。华人继续掏钱就是了。。。。。"
Ecor1,20160603,"支持槟城政府那样做不分宗教与种族对待国民才是好政府"
鬼王,20160603,"马华和民政还不是把华人卖了,你还不是帮他们数钞票..."
=[Zone]=,20160603,"卖钞票的是你，我没说过麻花民政不窝囊倒是民粉始终不承认dap窝囊不过又没办法反驳这个菜怪哉囖rf"
鬼王,20160603,"既然马华民政比火箭更窝囊,那么你版主大人又何必龟笑鳖频频的去呛火箭呢?..."
假冒是神8,20160603,"PENANG LANG 呀 PENANG LANG哪 已经UBAH鸟咯UBAH成更够力了咯以前我们大大力X许BO HOOD顾不到华人哪 现在大家很满意了咯PENANG LANG淋冠英赢到完了我们大家可以入番了THANK YOU DAPTHANK YOU DAPTHANK YOU DAP"
cct2050,20160603,"308 505 民联口号 : 钱招拿 票投民联，穆斯林每周都在清真寺里相聚会槟城祭祀们商量一起在清真寺传授， DAP 的钱造拿，票投票 UMNO  多一点，大淋涡才会一直不断大笔给钱，不断舔穆斯林的冰淇淋中央给穆斯林福利依旧，淋政府又拼命给钱，给福利槟城穆斯林是马来西亚最幸福的一群"
malaysia_boleh,20160603,"酱不是好咯，符合国家的治国之道"
=[Zone]=,20160603,"只是说事实rf还有不是我要说他，是林神一直在报纸只懂得指责别人不过没照照镜子再说dap窝囊不窝囊过麻花真的要等他711议席才知道，不过他现在老大议席都那么窝囊，其实不难猜到他像麻花那种议席会多窝囊"
假冒是神8,20160603,"不用等了啦淋冠英一上台不久我们就知道他多少斤两了看人不必看很久的看人须要用八年?8天8个星期8个月已经够到不要够了用错人看错人UNCLE生意没跨掉也伤重了前几年PENANG LANG不出声是没想到姑息养奸的后果是如此严重如此失控"
Aevin,20160603,"老pek做什么生意？嗯嗯"
鬼王,20160603,"老实说...下一届大选,槟城还是火箭的米,槟城人还是会支持火箭."
假冒是神8,20160603,"我们不关心我们不管谁输谁赢我们只会MAKE SURE淋冠英罪成入狱"
鬼王,20160603,"我们槟城人也不关心不在乎谁入狱,我们只在乎只关心火箭可否继续掌管槟州而已."
假冒是神8,20160603,"那是你们DAP的事不须要告诉我们PENANG LANG你们只须要知道一件事PENANG是PENANG LANG 的老爸的地"
鬼王,20160603,"你说得正确无误,所以下一届PENANG LANG肯定也会继续投火箭一票."
假冒是神8,20160603,"那就要看你们DAP自己的造化了"
鬼王,20160603,"其实我们最怕的,就是马华和民政忽然争气变有出息."
Aevin,20160603,"老pek做什么生意的?蒽蒽"
cct2050,20160603,"继续给淋政府刻薄槟城华人的命，真苦"
trin14,20160603,"Tokong只差还没有正式改名叫Mohammad Tokong Bin Abdullah Lim和带领贱粉排队sunat之外，其他的都做得比伊斯兰教徒更多。"
trin14,20160603,"拼伊斯兰化，KB输给Tokong咯"
chinkonlen,20160604,"好事。教導正確宗教觀念，思維，行為，人性純潔品格，那是好事。最怕的是指導類似iS行為 ，殘暴悪劣邪徑，才令人恐懼。"
假冒是神8,20160604,"非穆斯林都是邪恶的必须处掉是教义之一你说是好事?你信那门邪教的?从实招来难道你是淋教的教徒?"
tcguanz,20160604,"好极了， 在马来西亚， 仇视回教徒， 仇视马来人， 就是几个老而不立身之本， 还要教会下一代， 这才是团结之开始"
cct2050,20160604,"槟城华人交税 80，拿 20 ，穆斯林吃鲍鱼，华人喝冬瓜汤配面包屑DAP 真好，真慷慨，拿华人的粮，替异族办事，和大汉奸秦桧一模一样MCA 卖华 MCA2.0 卖族"
trin14,20160604,"贞洁牌坊遮不住婊子的真面目"
q(^_^)p,20160604,"比卖华更卖华，只差没跪舔。"
