Topic title: 一里路部长，张盛闻：华小师资全面解决
username,date,text
Ecor1,20161024,"（布城24日讯）困扰华小近20年的师资问题终于获得解决，教育部副部长拿督张盛闻表示，明年不但有足够的师资派往华小，而且明年华小更会首次出现师资过剩的情况。http://www.orientaldaily.com.my/nation/gn788当初张盛闻拍胸口说如果州选东马人全力支持国阵，统考被承认不是问题。结果现在一下又被打脸了。东马人又被骗在羞愧于难于面对全国的选民之下，马上再次拍胸口说华小师资已经全面解决，一下子解决了20年的问题, 期待这次功劳可以成为一个下台阶大家放长双眼看结果如果，如果真能解决，就应该给赞，他做了基本本份的事情如果又是骗人的，张盛闻这次的老脸不懂如何摆了"
SIEWMIN,20161024,"明年新學年這貼一定頂上來"
q(o_o)p,20161024,"盛聞是個好部長"
miloicekawkaw,20161024,"新的老师是补充了空位，但是他们没有列出退休老师的数量 ………真的肯定会够cover 空缺 ？……我在小学除了有读+数目，也有读-数目的………表骗我是小弟弟，我毕业好久了………"
罗马军团,20161024,"张盛闻的洋名是 Charlie Chong（张差里），你可以称他 CC "
雷克斯R,20161024,"為甚麼是明年?闻: 呃, 別問了. 才不是為了大選!"
q(o_o)p,20161025,"瑞凡啊，沒想到兩個字也可以屏障，你應該進回教提升馬來人種素質"
空中说话,20161025,"各位全国华小老师，如果你学校有教师短缺，请报告上来，我相信差里张有讲骗话"
侠者,20161025,"如果他真的解决了华小师资问题，至少在这方面应记一功。他背后所付出的努力找出问题根源和对出解决方案不应被抹杀，尽管因为本身身在整个腐败的体系而在某些时候发表倾向本身执政党的言论"
江夏,20161025,"國會第二大政黨：首長貪污；拿國會議員 + 州議員薪水將近 $30k, 卻在財政預算案集體離席，不聞不問教育的預算案，卻在離席後在自己 facebook po 抗議。如果靠國會第二大政黨處理教育課題，相信要十萬光年。"
justebelmont,20161025,"很简单的政府直接帮学生选学校，不由得你说就对了。迟早的。"
MC2,20161025,"华小师资短缺全面解决？张盛闻最好要做到。不然，他就真的是车大炮部长。华小师资短缺已经困扰华小那么多年，一句全面解决，谈何容易。"
wuyaya,20161025,"依据我长久的观察的结论是： 解决=未解决。"
beoa,20161025,"问题解决是好事。"
quekjh,20161025,"塞马来教师进华小也是一种解决方法咯。。。。。。"
侠者,20161025,"据我所知，要教导华小国话的只有马来语文系的被允许教，而马来系通常都只录取马来人，所以会派马来老师去华小执教马来文。我曾因我三年级女儿听不懂马来教师的马来话去向校长反映，而被告知现在一年级被允许华人执教马来文，二年级以上都被教育局规定要有马来系的才能执教。有些学校因怜悯小学生听不懂而偷偷安插华人去小二小三执教而常收到警告信"
comforter,20161025,"一里部长说的话是拿来忽悠傻傻笨苯的大家的，就好像喜欢鞭打的华小低级货总是对家长说老师鞭打学生是为孩子好啊，家长就哦哦哦地附和，就是因为蠢才会被忽悠。一里部长的言论意在忽悠和邀功，没有考虑到还有一群数量可观的六万年基因的华小教书，这些在华小混饭吃的六万年基因除了教国语就只可以教体育和美术，以效率而言那叫浪费资源。会计学术语叫 window dressing , 橱窗装饰，也称绣花枕头。这种技巧部长一里部长运用得炉火纯青，连他属下的华小低级货也对这招驾轻就熟。不过考虑到到很多六万年基因性情比较温和，不似那些自命清高的华小低级货这般热衷鞭打体罚，综合一下对华小的教学环境百利而无一害。所以，个人还是不反对政府安插非华文资格的教师在华小，前提是敬业，有爱，不暴力不极端，那就ok了。"
gaomin,20161025,"你是毕业好久了，会不会学到的，全都交回给老师？"
gaomin,20161025,"也可能，解决是暂时的，明年又有新的待解决。"
jellyfish_8,20161025,"那些是政治米虫故意离席然后在面书抗议每个月白领RM30,000   "
supersperm,20161025,"他算不错的。。。。　把那么多华人便老师　人人有工做，　你还骂他？　　现在的局面算是这样的了。。。　还是林神强，死都要做海底遂道。。。。　不懂干来做么。。全是市卖地干。。"
prince,20161025,"巫统代言人--马华，为讨好巫统欺骗华社60年，如今已没利用价值，已经被那贼勒令滚蛋，如无意外，马华不久酱走入历史！"
阿公,20161025,"如果真的解决，那么真的应该记一功~~~不过，那么又会把以前的部长拖下水，做么他们搞那么久都搞不出一个名堂？"
舞猫猫,20161025,"去年他也是这么说的，结果咧"
DKofCWK,20161025,"首相署拨款酱多，30k sub sub sui 啦，都还有剩"
wwuuhhss,20161025,"华小问题，在三十年前就开始到现在都没有解决，换了十几个部长了还是一样，就现在可以解决？那么为了学校还有那么多临教呢？"
CurrentMoment,20161025,"到时发现没有解决时，一里部长就会说媒体误解他的意思。"
夜铃,20161025,"他算不错的了。敢敢出来讲，然后又给污桶部长啪啪啪。好过尿总和公公，只会做应声虫和吃爷子们的口水尾。还有那班连后门部长和议员都没有份的蚊症党员，只是一味跟着首长有没有泊好车的问题，穷追猛打。"
richgod,20161025,"馬化仔会説他只是后门部長应该由国会第2大黨來解决才对。"
paranoidx,20161025,"看到他就sien 去"
PulauKentang,20161025,"我真的有很怀疑那两个太监党真的有参与决策吗？无意拿到了点数字。。。就自己凭着想象大做文章。。怪不得每次都被打脸。。这次应该也不例外吧"
applebee6,20161025,"张部长很厉害upgrade哦。一步之遥upgrade 成一里路。“明日复明日，明日何其多”upgrade 成 “明年复明年，明年何其多。。。”"
harry_lim,20161026,"比魏公公還要厲害大炮的張副部長"
supersperm,20161026,"有时，这些华人，不鸟也不醒的，　可能是华笑／独中生。。。　身位移的华人，外来者，才２２％人口，说话口气根王族一样大。。。。。　　还不醒呢，马国成立一开始已成定局，宪法都是有利土族的。。。华人最多可以看马来人脸色做人。。。。　身位马来人，多数是没兴趣看见华人做领袖的。。。。　不然槟城送那么读钱给回叫佬？你上面的问题。。没人能做好。就算是民联。。雪州管得ＵＮＩＳＥＬ到今天是１００％马来人就读。。。　华人做观众。。。　民联州也一样。。。"
AMOS5566,20171227,"根據全國校長職工會的調查，隨著一些老師在今年內陸續退休或離職，以致明年新學年開課時，全國華小缺乏500多名教師。這些空缺原本是由今年底畢業的400多位師範華小組畢業學員填補，但教育部在明年3月份才安排他們到學校執教，使明年新學年1月份開課時，一些華小面對師資不足的問題。教部必須探討這也意味著，缺乏教師的華小，若要教學進度不受影響，必須在明年1月至3月期間花費聘請代課老師。華小向來經費有限，部分學校唯有作出調整，通過縮減班數來緩和教師不足問題。縮減班數相等于把原本的班數“濃縮”，增加每班的學生人數，從而減低對教師的需求量。教育部必須探討師範學院畢業學員不能趕在學校開課日填補教師空缺的問題，避免問題年複一年重演。根據教育部的作業程序，師範學院畢業生，不能直接到學校執教，他們必須經過面試，才能成為正式教師。加快面試程序但面試程序，使到師範學員畢業3個月后才上能履職，也使到華小面對3個月的教師不足情況。教育部應加快面試程序，或讓師範學員提早畢業，以便新師資供應與開課日期接軌。既然今年師範畢業生趕不及在明年1月2日開課到學校執教，教育部便須作出妥當安排，以聘請臨教方式，先聘請400多位已經畢業的師範學員，作為代課老師。等面試完成后，這批臨教以正式教師身分繼續執。這也使得師範畢業生，不必呆在家裡空等，造成師資浪費，可說是一舉兩得。教育部必須履行應有責任，承擔聘請臨教的費用，確保所有學校，包括華小在新學年開課時都有足夠師資，讓學校得以順利運作，讓學生安心上課。（中國報社論）"
qazz1947,20171228,"给你一点不给您一点，应该是政策来的。不可能几十年来都少老师。目的是提倡国小，好像边缘化马华那样边缘化华小。华小只是重要时候的陪衬品，等你很饿的时候，给你几片roti你就很感激了。"
