Topic title: 如果大选前，纳吉下台?
username,date,text
roti89,20161115,"现在老马政党要加入希盟，全体一致要拿下政权。但是如果大选前，纳吉让位给希山，会不会打断反对党阵脚? 反对党胜算会大吗?有没有这样可能性? 反对党有应对路数吗?"
huenyichong,20161115,"可能要等到那位仁兄躺进棺材的那一天才会发生"
roti89,20161115,"不要那么铁齿，发生了你们准备叫我先知。让反对党上台，抓自己进监牢;不如放手一博，换人，胜算大，自己可能还可以逍遥。"
helsinkiev,20161115,"然候老妈带队返秤重拿3分2选区又随便划。政治上什么都有可能。就像1年前这里有人敢说唐老鸭做总统吗?!"
罗马军团,20161115,"世界上有这么多 ‘如果’ 就不会有乞丐了。"
huenyichong,20161115,"小心先知变先家"
乾坤,20161115,"纳吉千万不能走。"
Hishammudin,20161115,""
cobalt_blue,20161116,"纳吉下台？做梦都不可能发生的事"
kwai56,20161116,"那雞下台，一部份選票會回流 "
DrunkenAlien,20161116,"纳吉为什么要下台呢 希山又能何能 其他的巫统长老会听他的吗再说 老马的土团党赢了 也就是巫统权贵赢了 输的只是纳吉罢了"
wong23233030,20161116,"那隻雞下台換炸雞续位有分别吗？？？"
阿镖叔,20161116,"老马真的那么强吗？2013年他的儿子竞选污桶副主席，输了，2014年他帮两个土权头子站台，污桶没有提名参选，对垒伊党也输了，今年他替诚信党站台又输，马来票也不高。老马当年呼风唤雨全靠污桶主席这个位子，现在的老马的土团跟污桶的议席对比是79对1这么容易取得巫桶？"
梦想之追求者,20161116,"老马的目的就是要纳吉下台，让另一个巫统人物上台，以保住巫统的江山，因为到时候可以大声地告诉选民“我们知道选择纳吉是一个错误，所以我们要求他退位让贤了，请给新人一个机会，给新人一次5年”如果纳吉不下台，分分钟巫统江山不保，但是看最近spr的小动作，把选民再重新规划，似乎纳吉不肯下台啊"
kennyteoh818,20161116,"不可能。之前发生那么多光荣的事，如果要下早就下。"
DrunkenAlien,20161116,"不是强不强的问题 整个腐败的政权 都是老马时代的产物这些权贵 支持的钱 纳吉掌握国家的财产 所以得到支持老马的土团党从来没说过巫统不好 贪污腐败滥权的 都是纳吉一个人如果土团党赢了 巫统权贵集团与家族支持的 就是老马"
damienyh,20161116,"如果下届真的拿下Jib哥难保老马再次欺骗华人一次，所以我不认同希盟和老马合作！到时老马一定是强势回归污桶。。。"
accord08,20161116,"重点是希山或任何巫统的接班人 能够确保他不会被对付吗？"
wlwl,20161116,"GST都还没涨到9%，哪里可能下台？还没挂到脂肪膏！"
everyonecan,20161116,"纳吉会打完大选才风光下台"
阿镖叔,20161116,"老掉牙的始作俑者论老马的法宝现在在那鸡的手里，现在谁比较可怕？土团如果赢污桶，当然部分污桶领袖会靠过来问题是79对1土团如果赢的可能性高吗？军警，司法，行政，选委会会帮谁？"
盡用話題,20161116,"还想他下台、没有513都好偷笑了"
