Topic title: 纳吉哈迪同台声援罗兴亚人  “巫统与伊党非结盟”
username,date,text
Cari_TBL,20161204,"正当前首相敦马现身支持行动党代表大会之际，巫统与伊斯兰党领袖也同台亮相。首相拿督斯里纳吉和伊斯兰党主席拿督斯里哈迪阿旺今早在吉隆坡蒂蒂旺沙体育馆的声援罗兴亚人大集会上同台，抗议缅甸残害罗兴亚人。除了纳吉和哈迪阿旺之外，副首相阿末扎希、伊青团团长聂阿都等人都出席力挺。体育馆内外也聚集了数以千计的罗兴亚人和大马穆斯林。虽然两党领袖同台，不过纳吉已在昨日的巫统大会上表明，两党并非结盟，只在相同立场的议题上合作。"
alola,20161204,"牛姐會說看到兩人一起會覺得malu嗎？"
kenny16031984,20161204,"都是国际穆斯林兄弟会的成员。"
haku,20161204,"看到穆斯林就每天联想到战争，落后，欺压或被欺压，天天沉浸在污烟瘴气的自我想象氛围中，一点阳光气息也没有。"
VINCENT@YONG,20161204,"不知道有集会游行什么…结果去了kl市区…塞了个45分钟才出了塞车区= =还在想为什么星期天会塞车～～"
chanbs,20161204,"中立的看到这种场面不知道会拍破手掌吗？"
danetheflamer,20161204,"真悲催，自国种种问题不解决，还干涉他国内政。虽然我也支持为他国人名声援出份力，但自国人民为了集会只求一个公正廉明的政府却遭受种种阻碍和欺压，觉得他这是一巴掌打在自己脸上了，还是被人看笑话了？如果一个领袖自身公正廉洁，备受爱戴，当他呛一声时，他国也会畏忌三分。当我看到这则新闻时感到的是一份羞耻却不是一份光荣。"
cct2050,20161204,"PAS PKR UMNO 都支持收留罗兴亚人，给罗兴亚人钱验证它们都是国际穆斯林兄弟会的成员"
大话西游,20161204,"还没光明正大，算勾结 吧 "
周星驰,20161204,"虽然不喜欢马哈迪可是赞同他说的 ”马哈迪问纳吉示威给谁看““纳吉身为大马政府首脑，实则有权与缅甸断交，而无需大搞集会。”"
kwai56,20161204,"吉打多了一个种族   "
yk13,20161204,"净选盟搞集会就被说成非法示威现在和伊党一起同台声援难道就很正义感吗？"
lam69,20161204,"自己家人要示威就千方百计阻扰，别人家事就可以顺利进行，自己家事白孔千蒼，现在去kepo别人家事。"
johanson,20161204,"纳吉此举的背后动机有几个，第一是被宗教冲昏头脑，第二是想在政治上更加拉近与伊斯兰党的关系，第三是想超越马哈迪为穆斯林世界伸张正义的成就。在国内他可以为所欲为，只不过涉及国际事务，他可没有这个筹码。"
kingpower2016,20161204,"需要出席给自己族人外人知道。首相是多么仁慈。。。尤其是国际媒体。看看媒体是如何写他。"
无人达人,20161204,"阿布萨业和IS没听他喊将大声。。"
lam69,20161204,"原来是有“津贴”人出席的."
mchen3389,20161204,"你要和谁结盟，对不起，你家的事。。。但是，你愿为罗兴亚人申张正义之际，别忘了，你也是欺压国内少数族群的加害人，你和缅甸政府有何区别?"
第三空间,20161204,"这一幕的发生真的替马来西亚的原住民、华裔及印裔朋友悲哀…… 身为马来西亚公民不仅没有受到国阵政府的公平对待沦落为二等公民，现在国阵政府还公开表示支持罗兴亚人，并且愿意施出援手帮助他们。请问他们对我国有什么贡献吗？就只是因为他们是穆斯林！国阵政府在有需要时不断讨好华印裔及原住民，没事时就叫华人回唐山、印度人回印度…… 想起来这几年交的税就好像丢进大海了。丢进大海还有声音听，“捐”给国阵反而换来臭骂与侮辱！纳吉你还是下台的好！"
supersperm,20161205,"还有昂山的名很响。。。。 去粘她又国际爆光的。。"
supersperm,20161205,"成熟点。。。。你要骂的是巫统， 不是吉哥。。。 吉哥只是一个巫统CEO， 他下台没分别的。。 因为别个上也会变一个像吉哥， 吨马的。。。 "
chong_kokyong,20161205,"这一次，老马讲得很对...你们做这些，那边的人会看到吗？？会鸟你们吗？？虽然说断绝来往是比较无情，可是，也是一个施压的方法啦.."
lion_o,20161205,"罗族和 bangla 是亲近的所以罗族的问题当然触及 Banglasia 的敏感神经！"
lam69,20161205,"纳吉做这些事目的是为自己，不是为缅甸，罗新雅人只不过是个棋子。"
chong_kokyong,20161205,"嗯，始终还是利用宗教来取得支持...那个月亮党就这样的变成了他的另一粒棋子.."
AMOS5566,20161205,"巫伊拥抱  社会两极首相纳吉和伊斯兰党主席哈迪阿旺一同出席“与罗兴亚同在穆斯林团结集会”，两人再度同台，引起各界揣测。这是纳吉继去年12月在一场伊斯兰研讨会与哈迪同台及向伊党伸出橄榄枝以来，第二次和哈迪并肩同坐，但从巫统代表大会频频向伊党释出“团结”的善意来看，声援罗兴亚人集会显然仅是一个平台，藉此宣告巫统和伊党关系正趋向密切发展，也反映我国政治正朝向穆斯林大团结的方向挺进，祸福难卜。巫统和伊党实际上早在505大选后就一直互动频频，对这两个以马来人为基础的政党来说，合作可以美其名是为穆斯林团结或捍卫伊斯兰的宗教发展。纳吉和哈迪第一次同台见面时，已经强调“政治理念的差异，不容成为穆斯林团结的绊脚石”。而在本届巫统代表大会，从纳吉、副首相阿末扎希及巫统副主席希山慕丁等人皆不排除巫统与伊党合作的可能性，甚至认为“巫统与伊党合作是基于对全球伊斯兰议程的深切觉悟”，政府最近接手伊党主席哈迪阿旺提呈的《2016年伊斯兰法庭（刑事权限）法案》动议，变成政府法案的事件，也一一显示巫伊两党的关系已从过去的互送秋波和暗渡陈仓，逐渐浮出台面。巫统热情拥抱伊党，真正动机在于为大选争取穆斯林的选票，而巫统须借助宗教力量捍卫其政权，多少反映巫统内部分裂，使其执政权面对挑战的现实。巫伊合作，虽然团结穆斯林，也增加两党在大选的胜算，尤其在马来选区，对两党应无往不利，不过，巫统不断强调伊斯兰宗教价值观，使大马社会环境趋向伊斯兰化，这种将政治种族和宗教化的趋势可能形成穆斯林和非穆斯林两极化现象。一旦巫伊合作，肯定对整个政局带来冲击，尤其对国阵的非穆斯林成员党包括马华、民政和国大党，肯定会面对严峻考验。巫青团长凯里在巫统大会上肆无忌惮地指责国阵成员党只懂得坐享其成和争官职，显然已无视盟党的存在，巫伊拥抱，所谓的国阵精神恐怕更是荡然无存。尽管纳吉声明两党可以合作，结盟言之过早，但政治是没有绝对的事。前巫统主席马哈迪既然能与行动党林吉祥化敌为友，同台而坐，纳吉与哈迪称兄道弟，也并非不可能。只是，纳吉若是为了政治利益而与伊党合作，打造一个依据伊斯兰教义的大马，大马的伊斯兰国形象，恐对积极进行经济转型计划和想发展成为高收入国家的大马有弊无利。（文章来源：星洲日报/星观点·2016.12.05）"
loongken,20161205,"带罗兴亜人示威。"
