Topic title: 从明年1月1日起  雇主需自费承担外劳人头税
username,date,text
CARI_KJW,20161231,"副首相兼内政部长阿末扎希星期六（31日）指出，从明年绾氽倁1月1日起，雇主蝏僨績必须替外籍劳工雔岢缴交歔鞡膵人头税，而且睂櫎倜不得从员怢栜蚼工梬忞的薪资里扣除。这喸署敌项新条例塷盷是根据雇欨瑤烡主强制承诺（EMC）所定制，旨薦顎在确保雇主瘋缛埃为佛鵾柷烌辑其他须洮祻们的澳濕员篂燵质工负絖啈上全部责任。阿末扎希也强调，当雇主湃潷更加负责掚櫵地照顾员眅氱滅工鰺部墦时，就馢尛矋能歘妿有效减少外籍劳復雗工逃跑、私自转换幍攬朌工馓岯僿作领域、逾期逗留在朽柈嚰僀我标铩柁国等问题，同时碗傑蚩保障外籍劳工羇皕閵鲩宀醧的权益。这鐣怀芀项条例将从雇熊硩主提交聘请外籍劳翨眗菉工申请贈乎时开始生坠龅效，一殂浛直到蟐堸该名外籍劳工梘窗返回自己婌妡洭的舟飖国家盩脟軩为止。"
DEKARON,20161231,"这招对茶室雇主没用，他们大多数都是请非法外的。。。"
投资小新手,20161231,"泰国应该会超越马来西亚了 。。。"
华人美国队长,20161231,"会讲不做"
wong23233030,20170101,"没脑的政策"
yk13,20170101,"政府很喜欢还没和有关受影响的单位讨论过就自己做决定了，而且还要immediate effect那种"
raitolau,20170101,"印尼仔要关照印尼仔"
一零四,20170101,"有效解决外劳问题，就不要一边起人头税，一边不批外劳漂白，又没本事在外劳跑掉后退还人头税。"
Orochimaru,20170101,"你先解决马币大跌的问题啦，再跌下去外劳不跑都假，寄回家的钱一直减少"
空中说话,20170101,"泰国已经超越马来西亚了越南紧追。"
空中说话,20170101,"自从去年要印进100万孟加拉外劳。人民大力反对，他无奈喊停，抽水计划失败后。他就无时无刻找事刁难。继续刁难啦。已经很多厂商计划撤出马来西亚了。大家一起死吧。"
空中说话,20170101,"外劳Contract 完了也跑去别的国家了。"
cct2050,20170101,"马来西亚没有自主技术教育的水准也下降所以经济竞争力不足只有货币贬值救市"
投资小新手,20170102,"是吗 可怜。。。。"
AMOS5566,20171226,"政府將于明年1月1日推行“僱主強制責任制”，意味著聘請外勞的僱主，必須承擔外勞人頭稅。目前外勞人頭稅是由外勞自行承擔，隨著新政策生效，估計大馬僱主必須負擔總額約40億令吉的外勞人頭稅。此政策是內閣在2016年3月通過，原本于2017年1月推行，由于受到國內各行各業僱主的大力反彈，當局把此政策挪后一年，至明年1月生效，讓僱主有更多時間做好準備。然而，在此政策即將于明年推行之際，代表僱主的大馬僱主聯合會還是大力反對。催促減依賴外勞這項政策使大馬僱主每年承擔30至40億令吉外勞人頭稅，新政策生效后，外勞可省下數十億令吉，預料這筆錢將匯回他們的祖國，也使大馬流失數十億令吉外匯。對大馬僱主不利的政策，為何政府會一意孤行落實？政府的理由是配合第11大馬計劃，在2020年降低外勞比例至15%的目標。根據官方說法，此政策也可防止外勞逃走、非法轉換行業及逾期逗留成為非法外勞。無可否認，“僱主強制責任制”可催促本地僱主加速機械化和自動化生產線，減少依賴外勞和高薪聘請本地員工。對消費人不公平眾所週知，政府早在20年前已定下目標減少依賴外勞，然而多年來不但目標沒有達成，反而背道而馳，合法和非法外勞仍大量湧入我國，衍生社會問題。本地商家恫言，新政策實施后，他們將把增加的成本轉嫁給消費人，屆時可能引發惡性通貨膨脹。商家或僱主應該吸納大部分增加的成本，不能把一切政府政策或經商風險都轉嫁予消費人，否則對消費人不公平。政府當局應嚴格把關，對付動輒起價或將所有成本轉嫁消費人的商家，避免商家把經商風險轉嫁消費人的惡習“循環再用”。（中國報社論）"
猴年馬月,20171228,""
AMOS5566,20171228,"政府將于明年起強制僱主繳交外勞人頭稅，原本是外勞自負的人頭稅變成僱主來扛，僱主們重施故技，恫言轉嫁成本給消費者。大馬僱主聯合會表示，國家可能因此流失30至40億令吉外匯，意指外勞把不用繳付的人頭稅匯回國，造成大馬經濟損失。我國朝著先進國目標前進，前首相敦馬的理想是2020年使大馬成為先進國，目前來看已不太可能達到，而拖慢大馬成為先進國的原因之一，就是外勞過多。換言之，政府的用意是要以僱主為外勞繳人頭稅，來鼓勵僱主減少使用外勞，善用本地勞工，如此一來不必擔心外勞把錢帶走，還能協助大馬的經濟成長。縱觀全球勞工情況，沒有國家能夠不聘用外勞，它們只能設法降低外勞數量；更多的國家是歡迎專業人士和技術工人。大馬要朝向先進國，不能再把重注押在外勞身上。我國吸引外勞，證明我國的經濟發展水平確實高于一些國家，但這是較低的層次，大馬經濟要向前飛躍，不能只依靠外勞；本身能夠培訓更多專業人士和技工，或者選擇性從國外引進高水平的專業人士和技工，才能促進經濟成長。如果我國企業固步自封，只想著如何聘用外勞來減低企業成本，忽視培育技術工人和專才，則大馬的經濟再如何發展，也是有所局限，難以達到另一個高峰。大馬僱主不聘請本地工人理由，不外是本地人不愛當薪水不算低的勞工的老調；或者企業可以變通，與大專學府或技職學校配合，招聘時以再培訓來吸引才大專業畢或失業的年輕人，吸納他們進入相關領域。建立培訓機制企業或相關協會可與中學或技職學校合作，開設相關課程，從中吸納更多員工，使學生畢業后不擔心工作問題，企業不擔心找不到本地勞工，一舉兩得。大馬企業的僱主與其爭執繳納外勞人頭稅問題，何不及早開始與各方面合作，建立培訓機制，短則兩三年，長則五六年可能就可以吸納一批又一批的本地員工。本地年輕人真的不愛做外勞才做的工作嗎？如果企業願意高薪聘請和培訓，年輕人也像商人一樣愛錢，怎會不為了賺更多錢而心動呢？（中國報評論**潘有文）"
