Topic title: 刚刚去KLCC倒数，竟然发现。。。
username,date,text
kenny16031984,20170101,"满街都是外劳，有bangla，中东佬，印尼仔，黑鬼，感谢鸡哥，马国真是个多元的社会啊，本人看了别有一番滋味，这个国家基本已经被低文化外来人口沦陷了。"
kojin,20170101,"崇洋媚外的马来西亚华人女生还很欢迎中东人（假红毛）和黑鬼  然后帮它们繁殖下一代 加速华人人口下降！  "
kenny16031984,20170101,"有卖华1.0和卖华2.0的配合，没忧患意识的华人迟早玩完。"
haku,20170101,"的确是，看不到什么鬼佬。。"
cct2050,20170101,"在网上提醒伊斯兰的本质还会在网上被红卫兵围攻为种族主义者"
洗零,20170101,"发现？很早就已经是这样咯"
疯疯疯,20170101,"@kojin你有去KLCC吗？ "
cct2050,20170101,"由 KLCC 可以扯到 MCA 红卫兵很恐怖"
疯疯疯,20170101,"@kojin 他说你很会扯，什么也扯去火箭 [quote]被指非法收取豪华轿车大礼 廖中莱妻子前往反贪会录供发表于 2009年12月15日 下午3点31分     更新于 2009年12月15日 下午3点41分正马华副总会长廖中莱今早'总秘书提'一封未志期的辞职信之际，其妻子李善如在另一边厢也因为涉嫌非法接受一辆总值60万令吉的豪华轿车，遭到反贪污'会的传召盘问。反贪会的消息透露，李善如是从今早10点开始录供，直到下午2点，长达4个小时。这也是李善如首次'对此案，遭到局传召录供。'赶赴反贪会时已离开大部分'是指下午2点多才接到消息，在赶赴布城反贪会总部时，李善如早已束录供离开。《今大马》曾尝试致廖中莱，但是他并未接听话，因此无法取得其回。'站指李善如日赠轿车'主行动党士岩沫国会议'林立迎是于10月18日，'对李善如被指接受一家建'公司“汽车大礼”的传闻，前往冼都警区总部报案，要求警方调查。警方较后已将此案，转交反贪会接手调查。'名部落客拉惹波特拉主持的《今日马来西亚》'页，在10月14日刊登一则题为《致给尊贵的卫部长廖中莱》的文章，指廖中莱的夫人李善如在今年1月的日，接受Axis Construction私人有限公司（ACSB）所赠送的一辆丰Alphard（车牌WSB 15），价值'60万令吉。廖中莱'与马华党争有关不过，廖中莱早前已经矢口否认上述指责，反指这是对他的人格谋杀。他说，这项指责具有治动机，并怀'是与马华党内'期的纷争有关。“这是有人想要在治争议期间，击'的手段。就如大家所知，马华现在正面对一些问题，需要很多工作来稳定党，'希望那些人不要这种肮脏手段来对'进行治谋杀。”"
cct2050,20170101,"dap mca 都是汉奸一大堆骂 mca 的，我提醒注意 dap 汉奸"
FreeScotland,20170101,"因为他们的比较大所以比较爽"
舞猫猫,20170101,"不是今天才发生的事 "
q(o_o)p,20170101,"好奇 angmoh 和 天國龍族 去哪裏 countdown？"
q(o_o)p,20170101,"eh 可是 中東仔 有 高加索人種 的咧"
wong23233030,20170101,"以后过年过节都不好去KLCC，因为你会错以为到了異国"
q(o_o)p,20170101,"如果 KLCC 滿滿都是 龍族 和 angmoh，你又會有什麽感受？"
q(o_o)p,20170101,"不是所有 中東人 都是 假紅毛"
q(o_o)p,20170101,"呐， 事實證明 大馬龍族 得到的待遇比 馬來皇族 還要好，apa lagi cina mau?"
prince,20170101,"大选要到了，国阵当然要进口多点幽灵投票，根据内幕消息指出，巫统已经有至少14个乡间铁票区落入老马手中，时间拖得越长，巫统越没胜算，所以巫统一定会在华人新年后举行大选，为的就是让在外工作的华人不能回乡投票，以拉低华人票，来抵消国阵的流失票。所以你们会看到一班汉奸走狗欺骗华人不要投票，华人不投票就等于壮大巫统、残害华人。为了我们自己，为了我们的子孙未来，我们都应该出来投票，打倒巫统边缘化华人的政权，即使我们失败了，我们仍然可以挺起胸膛对自己的子孙有个交代，不要让我们的子孙嘲笑，就像我们现在嘲笑马华无能、卖华、缩头龟一样！"
