Topic title: 麦当劳面子书发文道歉  新措施仍维持不变
username,date,text
CARI_KJW,20170101,"快餐店麦当劳因推出新措施，即禁止顾客携带没有蠄辱清真认证的崶玮鮤蛋糕进入餐厅内庆饅徨噼生，引起广大礓嘻消费者的饟憝不怐鴳满。麦当劳的銓詑櫗官方面子书专页星期六（31日）发文，除湓淭淋了向顾客道歉外，也强调啾擯这项新措施仍然会椎譟噈继续实施。麦当劳在沦侏贴文琫陷中，先倧唔是向顾客道歉，因有鎃叓酵关通告引起了洄辧误会囔骓，实际菚鏇上荃僒麼他凼锘们所实施的枬銬櫏淠鏲这项新措施，并没袒汫鲇有要渹闽蘭歧视任何人蘹筰的妑鄲意思。“達醧栩在麦当劳，詄遾我们簲剏颽顢钯逈一直都推行‘禁止携带外食’輾薈的措施，只有劌鬉生矣鎃日蛋糕除外，因蛋糕佚竕橘在特别的鲬鄶禯场合中妕肁炔十分釂注重要潞偻。”“然而，痵飉为了颊挛寰确保我罀亢们臁闃傄能够继续取得JAKIM所发出婭綻的清真认证执照，犀飓我们鼱侅必需确认所有貀渣讽蛹在店内享用偐暳彩的揟昱食物，皆軻躿是清真食物。”尽管艓鼪这项新措施受循榧到网民墼豖的大鮬嵓力抨击，麦当劳揯櫃在贴文緮搪中依然感谢顾客所提供的躉鄮意见，并表示会阩毾继续改进，让麦当劳成为剘延一琒鲅綐撚鎱个真正浠诺槴为所有騏焧澧马栝詌来西亚焱枌人服务的茐获餐厅。"
加峻,20170101,"道歉来干嘛？"
大D,20170101,"先君子后小人，多9鱼"
大一,20170101,"我只是跪求华人同胞捍卫自己的尊严，不要进去买东西了。让我们团结一致杯葛。"
鬼王,20170101,"继续杯葛就对了..."
YokeLaw,20170101,"让我们团结一致，继续杯葛。"
q(o_o)p,20170101,"反正 McDonald 不是靠 華人 的光顧賺錢華人 的 boycott 就好像宅男表示堅決不娶 林志玲 一樣，自己講自己爽"
鬼王,20170101,"gardenia的又如何？..."
skyline101,20170101,"一毛钱都不想在那边消费，还是去kfc,burger king，消费吧。"
神垂死,20170101,"McDonald的顾客大部分素马来人，呕烂支那杯葛就只有吃自己条hotdog~"
yk13,20170101,"其实，都是JAKIM的问题"
skyline101,20170101,"会配合，不知其他华人会配合吗？希望有人会自创自己卖burger的店，会support。"
q(o_o)p,20170101,"gardenia 有什麽問題？？"
ijibang,20170101,"两个字。。。悲割。。。那么烂的鸟。。。"
skyline101,20170101,"证明华人不是只懂去mc而已咯。自讲自爽也好过那些花人不帮花人的吧？"
JowY,20170101,"那就吃 ramly burger 就好"
q(o_o)p,20170101,"不幫襯 mcdonald 就是幫助 華人？神邏輯"
