Topic title: 财政部呼吁BR1M受惠者 “善用援助金买车兼职Uber司机”
username,date,text
Cari_YWQ,20170105,"财政部秘书长依万瑟里加呼吁一絵訽马援助金的鈞曉谺受惠者，若鯺喒剽是没有冄墷汽车代步，可辗俦讱以利逖缥揈用这醘硇笔援助金当普腾Iriz的诞乖髪头期钱，然后兼职当Uber司机，以硍耩造赚取额外枂蕼绗的收入。据当今大袇歂马报道，财政部目前也正鄿絉在重新调整一讒篖璢马援助金，樌漖以便哥衙箌人民可顔遡粶以利圜魑綼用犌矜这笔援助金去购买食物和脑趝日苄飺用品等等，同浾誙囁时想出其翬酰桴他方式，更好地鰂祛掫帮助低收入者。“俦騋礂我勻愆们正纺艽軪在探讨簎祵頾如何让受惠者利用摪驘靲一峥乀马援助金去参加课程，协助蠒崤他们鸵处开始靵芁梹一门小敉煟门生意。”磆杧他也强调，政府派发一嫿驸購马援助金，并不夥盱是潛胈氮贿赂人豖怣民，而婰镽佪是想晊刚鑎要减轻低收入阶层人僛琦民的笯跊眅负担。"
禅师,20170105,"本來無一物何處惹塵埃"
Mr.LowGimWei,20170105,"还好没叫你拿援助金去申请护照去新国做马捞  "
feilong,20170105,"Brim受惠者应该学习高尔夫球。"
Jason929,20170105,"到時更多人欠車貸破產去荷蘭"
binkybinky,20170105,"问题是uber和grab后面的真正老板，连啊水都知道是谁"
lancelyod,20170105,"这个笨七秘书说话不经大脑的，BR1M才给鸡水那么多，就叫人家买 IRIZ，最便宜都要40千出头，连10%的头期也不够出。有些kampung 的地方都用不着车，那要怎样做uber/grabcar呢？"
肥仔聪,20170105,"等下被的士佬打的话你出钱给医药费吗？"
Mitutoyo,20170105,"等下被的士佬打那条数和医药费如何算！！！！！！！！！！！！！！？"
jackygogogogo,20170105,"所以brim 是给5千还是6千？ 多到可以买车"
JowY,20170105,"援助窮人的意思是減輕負擔，不是加重負擔"
c490920,20170105,"uber好像是法国公司， grab好像是新加坡公司。请问他们真正的老板是谁？"
loongken,20170105,"年青人只拿那几百元能出什么车？"
prince,20170105,"rm1000 还保险都不够啦，买什么LJ 车，fcuk u！"
180,20170105,"才拿多少錢哦，出車？"
Anthony89,20170105,"在讲什么哦 那一点钱做什么生意哦 买什么车哦 财政部长有没有脑哦 财政部有没有财政的概念哦 "
lumixcer,20170105,"为什么不是买cincin？"
重甲霸王,20170105,"拿鸡最会善用国家财产了。好像自己家的夹万似的。想拿几亿就几亿。"
SilLyPanDa,20170105,"grabcar也扯上关系？"
MindyHo,20170105,"请问马币450元的援助金够付车的头期钱吗?"
512MB,20170105,"跟中立一样，这家伙讲话没脑的，屁话连篇"
Hishammudin,20170106,"我怀疑他时常上佳礼内容一模一样"
weider,20170106,"用援助金买你的benz够吗？"
flashang,20170106,"可能是不小心当作是美元英镑来计算了。。。 "
平民1号,20170106,"纳吉布的国家财富属于谁的概念1个国民等价 RM5003千万国民等于RM150亿而已多出来的财富都是他的明白？"
kennyteoh818,20170106,"请问车是喝水的吗？"
monster.inc,20170106,"都夠窮了，還叫你出車，自己挖洞跳下去。"
黃貫中,20170106,"Iriz車尾箱那麼小，適合嗎？"
diotung,20170106,"Br1m又不是一次给到完，分几次给，还要人买车，有病啊！"
Ironboy,20170106,"出motor都难，还出车?"
猪哥靓,20170106,"请问他是印度人还是马来人？"
fatt911,20170106,"可以給知道真正老闆是誰嗎？  "
阿公,20170106,"哦，部长呀，部长，怎么你们全部都是一样的？？"
Subs,20170106,"这人的逻辑....第一：BR1M 多少钱？給头期？第二：给你存够了。买车了，做司机了。兼职够还车油 保险那些吗？第三：给你真的够cover。每个人学了，跑去做司机，谁来召车啊？我有车了还要召啊？第四：每个地方都那么多人召车吗？唉。一百岁不死，天天有笑话看。"
mikok730,20170106,"2017笫一笑话出笼了"
mikok730,20170106,"说真的,我想当面問他怎样買"
rometyk,20170106,"医药费从brim那边扣"
beoa,20170106,"这么好?不如秘书长也来试试？"
hellmales,20170106,"br1m拿来买车？最多才那一千多，是买脚车吗？请问uber接受脚车来载客吗？"
oneoftheuser,20170106,"白痴都可以掌管国家最重要的部门？"
mark,20170106,"要当官脑袋先拿下来，所以就变成这样白痴比较好控制"
一燈大師,20170106,"阿彌陀佛。許多回复好像要政府立即幫你給車的頭期錢，而不是自己連年儲蓄。可以看到一群比拐杖民族更 cacat 的輪椅華族。哀哉 悲哉。"
fcblue,20170106,"傻海，那够"
cct2050,20170106,"穆斯林 BR1M 是华人的 2 倍以上华人 400   穆斯林  800 以上"
wlwl,20170106,"条友分明靠害！！！"
loongken,20170106,"老人才有千多难道叫老人驾 uber."
aaxpower,20170106,"买新出 saga不能吗？价格不分上下是不是 Iriz存货太多没人要。"
cct2050,20170106,"穆斯林一年多少？哈哈"
ranth,20170106,"是的，每个跑去买车（欠多一笔债），去兼职（每个都是Uber司机？载谁？）"
肥仔聪,20170106,"他以为他给一个人10k的br1m吗？？"
qazz1947,20170106,"这是典型kampung马来人观念。有了一点钱就去买车。到后来没有钱供车，搞到要非法出租汽车"
aaxpower,20170106,"太多人去做 uber还能不能找到吃都是一个问题，"
Richman-S,20170106,"第4 ： 有的，雪隆很多地方的UBER / Grab还是供不应求的,除非你搭taxi咯。因为如今很多人不要搭taxi了，所以Taxi太多而且很得空"
rometyk,20170106,"马来人几百块就可以解决他们的临时燃眉之急了"
肥仔聪,20170106,"可是现在他说拿去做头期买车当uber司机喔。。。"
rometyk,20170106,"把他吃的钱呕10%出来就可以提升国家很多设施了"
肥仔聪,20170106,"应该说把“他们”吃的钱比较贴切。。。"
rometyk,20170106,"也对，枪手兄弟们也是有份吃的"
lam69,20170106,"这部长应该讲逻辑一点，拿brim的钱去买巴冷刀（枪买不起），然后去打家窃舍。"
肥仔聪,20170106,"相信撒尿有机会中到的都会有份，只是在于多或少而已。。"
rometyk,20170106,"每个人都有自己的生存法则，不要去打烂人家饭碗啦"
肥仔聪,20170106,"我可没这么得空管他们，但要知道国家有今天都是拜他们所赐，难道你会说人民生活困难他们没责任？"
rometyk,20170106,"他们会讲是林神的责任"
肥仔聪,20170106,"就等着瞧咯，反正他们这么喜欢pusing，反正大家都有下一代或下下一代，人可以愚蠢，但千万别愚蠢一生。。"
everyonecan,20170106,"这部长发烧发到脑袋有点问题"
rometyk,20170106,""
wong23233030,20170106,"你的IC加多一个 BIN 可以加多两个00。"
paranoidx,20170106,"Brim够给头期么？"
肥仔聪,20170106,"说给中立听的。。。"
vjcspore8899,20170106,"大马在鸡冠下。傻子特别多"
rometyk,20170106,"你不怕中立来咬你咩"
vjcspore8899,20170106,"你们受伤了就进医园。。。他会说这样会增加国家收入  "
thunder,20170106,"全部人当uber司机，谁来搭车"
mark,20170106,"中立只是奉命针对林神和槟城而已，这些它们是不管的"
肥仔聪,20170106,"我没说什么啊？？？"
肥仔聪,20170106,"增加了就方便入他们的袋咯，对不。。。"
RingRingRing,20170106,"买个二手motor 当uber 有可能 "
rometyk,20170106,"别人的宠物来咬你需要你讲什么的咩"
rometyk,20170106,"最近的宠物很凶了，有的还会脱光光说没水冲凉"
