Topic title: 都potong了名字还重要吗？
username,date,text
jellyfish_8,20170105,"最重要的财产都不可以传给非穆子孙。。國民登記局官員自作聰明，在一名華裔穆斯林商人的兒子名字中，加入“BIN”的字眼，讓事主非常氣結，在極力爭取下，官員不敢造次，讓后者兒子恢復原名。住在關丹的該名商人邱先生（45歲）指出，兩年前，他為當年尚9歲的長子申請國際護照時，發現兒子的名字，無端端多了一個“BIN”的字眼，讓他大吃一驚。他說，移民局官員指出，他們是依據國民登記局的資料而為男童名字加上“BIN”的字眼。“我取出兒子的報生紙查看，名字欄中，根本沒有‘BIN’的字眼，我前往會見國民登記局官員，要求解釋，后者指是在接到宗教局的勸告下，為名字中沒有‘BIN’字眼的穆斯林孩童，加上該字眼。”他說，他無法接受該理由，即要求官員指出，古蘭經哪一頁有此註明？“我也告訴對方，如果不恢復原名，刪除‘BIN’的字眼，不排除將以司法途徑追究。”他說，他是信奉伊斯蘭，但不是變為馬來人了，因此，兒子名字中，沒有必要加上“BIN”的字眼。“最后官員讓我兒子恢復原名。”他說，他也查了幼子的名字，慶幸沒有更動。“國民登記局是為國人註冊名字的機構，不是宗教機構，不應該擅自更改國人的名字及資料。”"
feilong,20170105,"小拿破仑做事随心所欲。很天真的商人，还以为自己是华人？ "
q(o_o)p,20170105,"為什麼不要加 bin 呢？？"
JowY,20170105,"Bin 跟變成馬來人什麼關係？bin laden 是馬來人？"
kenny16031984,20170105,"霸道的宗教。"
他旺,20170105,"只有受教育程度低的低级华人才会改信月亮教。不过就因为它们是低级华人的关系，所以拥有那种低级的个性，那就是善于占别人的便宜，而且还能下贱到两边的好处都要占。一方面改信月亮教后希望获得拐杖民族的福利与权力，不过一方面又不愿意完全放弃自己所谓“龙族”这个足以自high的身份。不过就算这种低级华人再怎样厉害玩这种身份的游戏，他们往往会陷入一个两面不讨好的局面，那就是华人瞧不起你，认为你是民族叛徒，拐杖民族更是瞧你不起，认为你一点民族气概都没有，为了福利而甘心抛弃自己的宗教与文化。"
seng1981,20170105,"都入教了，还介意bin 没？"
一燈大師,20170105,"放個 “Al- ” 在前面就很威水的了。善哉 善哉。"
syncsw,20170106,"原来是Al 比较威水，怪不得江夏衰改号一灯（A lamp = Al）来招摇行骗，以后可以叫江夏衰为 Al-SausageKia  "
q(o_o)p,20170106,"估計是想拿 回教福利 又怕去到外國被 angmoh 排擠"
monster.inc,20170106,"免費給你多一塊餅也不差啦。"
ohia2016,20170106,"应该。。。是搞了马来婆"
q(o_o)p,20170106,"一擧三得，又有洞插、又有福利、又不用怕被 angmoh 排擠"
ohia2016,20170106,"只可惜。。。只能偷偷喝酒，不然keling也要进"
q(o_o)p,20170106,"大把 mamak 半光明正大喝酒，喝酒的時候脫掉 songkok 就是了，所謂酒肉穿腸過，Allah 在心中 "
ohia2016,20170106,"大神朕不怕。。。是怕那砸金的啊，有理说不清"
平民1号,20170106,"济公应该是最受欢迎的神可惜做莫不红"
rio90,20170106,"汉奸，有华人不做，去入番还要害死后代"
q(o_o)p,20170106,"人家是促進 華巫和諧 的橋梁，你只會大罵 馬來人，搞到 馬來人 不信任 反對黨，對國家的危害非常大"
三鹿阿中仔,20170319,"哈哈，那高级华人又要怎么样？去向马来人传基督教吗？哈哈，已经有一个华人牧师被绑架了！你再说要向马来人传基督教，下一个被绑架的就是你！！"
Orochimaru,20170319,"应该是打算先拿福利，之后再全家移民去国外，这招不错"
弟兄姐妹,20170320,"更重要的是那个汗奸短暂得到小小好处，死后尸体及财物全部还给伊斯兰。非伊斯兰家属只能被赶走做乞丐乞吃。"
