Topic title: 馬哈迪從來不玩弄種族這種骯髒手段；馬哈迪從來不敵視火箭；也把國家經濟管理得很好
username,date,text
一燈大師,20170106,"馬哈迪從來不玩弄種族這種骯髒手段；馬哈迪從來不敵視火箭；也把國家經濟管理得很好。林冠英，Dec 4th 2016，民主行動黨常年大會閉幕致詞 *******************************阿彌陀佛。不懂大家贊成林冠英所說的嗎？貧僧難以認同。善哉 善哉。"
一燈大師,20170106,""
prince,20170106,"老马在治理经济方面完胜 najib，当90年代金融风暴降临时，亚洲多国破产，汇率大跌之，老马至少还能果断锁定汇率，拯救国民于水火之中。反观najib，没有面对任何风暴，却自己拖垮马币，马币大跌时更加不知所措，语无伦次，完全没有任何应变能力，当人民面对高通膨，najib却拿着人民的税金到国外逍遥快活，光凭这点，老马就赢najib 几百条街！老马烂，najib更更更更更更更更更更更烂，两个都烂，只好选哪个没这么烂的！"
一燈大師,20170106,"完胜？這點貧僧同意。馬哈迪家族完胜納吉。"
cct2050,20170106,"马哈迪家庭经济是全球第一"
14329989_10154477835853187_8200330342877406601_n.jpg,20170106,"有一兆转回来，就可以充公还国债了，为什么要阻止？请说明？"
prince,20170106,"一间1mdb 就够了，扎了几千亿！  "
prince,20170106,"剛才施主又說馬哈迪完胜？"
一燈大師,20170106,"嘿嘿内部消息，马哈迪转回来的款项，其中有 70 亿被中行扣留，所以马哈迪和纳吉反面"
cct2050,20170106,"這分析可以得滿分～"
Tocincin,20170106,"厉害，厉害，大师明显比江夏有料的多。"
山村野夫,20170106,"我个人是不会相信首长会说这样的话的"
kmrddecade,20170106,"你没有注明各个是多少百间要读者帮每一个自己去算么?嗯嗯嗯嗯嗯"
假冒是神20,20170106,"一兆又变70亿了！70亿也是贪污，几时要提控老马？"
prince,20170106,"你亲自打电话给纳吉问清楚吧 ！"
cct2050,20170106,"问了，它diam diam不敢出声！绝对是做贼喊抓贼，做贼心虚！"
prince,20170106,"马来西亚政治潜规则穆斯林权贵不互相侵犯条约   东姑制定的"
cct2050,20170106,"信老马是傻嗨"
herrhughie,20170106,"朋友， 我也想做抢手。。。 一定要像你有图才能拿钱？ "
supersperm3,20170106,"更新了高清圖。不多啦，每人一百幾十間而已。"
一燈大師,20170106,"馬哈迪從來不玩弄種族這種骯髒手段；馬哈迪從來不敵視火箭；也把國家經濟管理得很好。林冠英，Dec 4th 2016，民主行動黨常年大會閉幕致詞 *******************************阿彌陀佛。不懂大家贊成林冠英所說的嗎？貧僧難以認同。善哉 善哉。"
一燈大師,20170106,""
prince,20170106,"老马在治理经济方面完胜 najib，当90年代金融风暴降临时，亚洲多国破产，汇率大跌之，老马至少还能果断锁定汇率，拯救国民于水火之中。反观najib，没有面对任何风暴，却自己拖垮马币，马币大跌时更加不知所措，语无伦次，完全没有任何应变能力，当人民面对高通膨，najib却拿着人民的税金到国外逍遥快活，光凭这点，老马就赢najib 几百条街！老马烂，najib更更更更更更更更更更更烂，两个都烂，只好选哪个没这么烂的！"
一燈大師,20170106,"完胜？這點貧僧同意。馬哈迪家族完胜納吉。"
cct2050,20170106,"马哈迪家庭经济是全球第一"
