Topic title: CNN = Crap News Network 瘸子网站。
username,date,text
answer01,20170109,"CNN 已經 淪為 一個 Crap News 新聞网。 美國人民 都 不 信 CNN 講的東西， 我國人民 却還把他 看似 神。CNN 最出名 就是造 假新聞。"
bkkt09,20170109,"不久前CNN还说希拉里90%会当选美国总统 "
q(o_o)p,20170109,"有很多 馬來西亞人 看 cnn 咩"
herrhughie,20170109,"CNN再次列槟城为最好旅游的地点,不错地"
hanford,20170109,"CNN和BBC不能看除非天灾新闻"
bkkt09,20170109,"BBC还okCNN的嘛，他讲的倒反过来看就对了比如刚出炉的最佳旅游地，可以看成最烂旅游地 "
lumixcer,20170109,"不信CNN信TV3？"
大炮勇男,20170110,"NO，是TV１。"
一燈大師,20170110,"原來是這樣。人家去美國度聖誕後，回來就拿獎啊。"
answer01,20170110,"CNN 過去造假新聞， 說 伊拉克 有 大殺傷力武器， 结果 伊拉克 被打爛了， 侯賽因 被推翻了。结果，甚魔鬼武器都没有找到。但是，幾十萬人却已被殺了，還多了一個 ISIS。CNN， 最好不要報導我國，不然，有一天我們 會死很多人。 不管，是馬華 或 火箭 的支持者，必須要頭腦清醒地看到这點。 不要被人讚一下， 就得意望形。"
dupont378,20170110,"总共 ５２ 家主流媒体在计票前预测 希拉利当选只有两家预测 TRUMP  当选"
dupont378,20170110,"TRUMP 把 CNN 叫 CLINTON NEWS NETWORK"
bkkt09,20170110,"是哪两家媒体那么眼光独到？？"
answer01,20170112,"美國大选舞弊 好嚴重， 美国民主党係地球最邪恶的政党之一。 之前 CNN 等主流傳媒 做假民調， 目的 係 方便 大选时造假票。他们 以为做假票 一定会赢，到时 他们会講 民調都係 希拉利 赢， 所以 你 Donald Trump 不能懷疑。结果， 民主党 做了 至少 7 百萬張 假票， 但 最后还是輸掉。"
answer01,20170112,"Donald Trump 今早 講 ：  CNN ，you are Fake News .https://www.youtube.com/watch?v=1IDF-8khS3w"
thunder,20170112,"我去年年尾才去Penang玩，其实是挺不错的，至少感觉比去香港还好，港灿LCLY,服务差到淋酱，给钱他赚好像欠他几百万那样，去过一次就不想去了!"
bkkt09,20170112,"还真的跟特朗普总统扛上了！！斥CNN传假新闻 特朗普怒轰记者（纽约12日讯）美国候任总统特朗普于纽约召开胜选以来第一次记者会，焦点完全集中在媒体爆料俄罗斯握有他的隐私、俄国骇客干预美国大选等。他点名指摘美国有线电视新闻网（CNN）报导“”，不准该媒体记者提问。综合外电报导，距离宣誓就职9天前，在总统奥巴马发表告别演说后，特朗普于大马时间周四凌晨在曼哈顿寓所特朗普大楼一楼大厅召开大型记者会。他一开始就反击早前有传媒报导俄罗斯掌握他的“黑材料”，并在总统大选期间一直跟特朗普团队接触的消息。“这全是假新闻，骗人的东西。这都没发生过。这都是一群反对者、有病的人，将垃圾凑在一起。”特朗普抱怨情报机关容许“假新闻”流出，简直有如纳粹德国。痛斥许多媒体是“不诚实的人”，并直接点名指摘网站BuzzFeed及CNN发布“假新闻”。在场的CNN记者阿科斯塔（Jim Acosta）表示：“既然你攻击我们，你可以给我们问一个问题吗，总统先生”，特朗普指着该记者大叫，“你不要无礼”，又说“我不会给你一个问题，你们专门报导假新闻”。双方僵持约1分钟，特朗普才让下一名记者发问。内定白宫发言人斯派塞（Sean Spicer）也警告CNN记者，如果下次再这么做，就会把他赶走。特朗普还强调，俄罗斯从来没有企图影响他。他与俄罗斯一点关系都没有，“没有交易、没有贷款，目前也无悬而未决案件，什么都没有。”CNN和Buzzfeed依据不具名消息来源报导，指美国情报机构简报表示，俄罗斯掌握特朗普个人与财务的把柄。当中包括俄方拍下特朗普在莫斯科奥巴马曾下榻的酒店套房内，召来一些妓女表演低俗的性行为影片。CNN在事后发声明反驳特朗普，称CNN并没有像Buzzfeed般把35页黑材料的内容具体刊登出来，又促请特朗普的过渡团队既然这样声张批评其报导内容，就应明确指出究竟哪些地方是不正确。Buzzfeed的行政总裁佩雷蒂则表示，不会回应特朗普的批评，该公司亦不会与其他大型传媒机构作比较。http://www.themalaymailonline.com/chinese/world/article/20170112-trump-news-conference"
otkkalahteruk,20170112,"特朗普馬仔，回去看你們的fox吧"
dupont378,20170112,"DNC 背后金主是 VATICAN KNIGHT OF MALTA GEORGE SORO也是 BERSIH 金主所以马奶是没希望的那些喊改革的都是 DNC 傀儡、连火箭也被 VATICAN 狗腿渗透和香港占中 勾结"
dupont378,20170112,"Breitbart,  Fox"
answer01,20170112,"背后有一个目的, 就是 New world order. 把地球人口降到 5 亿, 然后由一群华尔街的超级富好领导. 他们提昌的民主,干涉别国内政,让一群傻瓜相信他们,最后再把这些傻瓜消灭掉.所以,当 CNN 赞我们大马的时后,就要小心了, NWO 要把触角伸到这里来,不会是好事!Donald Trump 的出现,打乱了他们的计划..Donald Trump 不按规则出牌, 但 Donald Trump 是个国家主义者, 与 他们这批 Globalist 是对手."
dupont378,20170112,"他是第一个和教宗顶嘴的总统希望他活的够久才能看得出他到底是不是来真的"
kenny16031984,20170112,"阿弭陀佛，施主大悟也。"
