Topic title: 納吉：我所做的一切 都是為了國家和人民
username,date,text
abc74,20170109,"納吉：我所做的一切 都是為了國家和人民  2017年1月09日首相拿督斯里納吉強調，政府制定財政預算案發放撥款，都是為了國家和人民未來的發展，若當中有政府機構出現弊端漏洞，人民會感到非常失望，甚至逐漸對這個政府失去信心。他說，從他率領政府執政到現在，所作的一切，包括推行的政策措施或發放的撥款，都是為了國家和人民的未來；人民應有的權益必須得到維護，沒有人可以搶走它。“人民的權利終究是屬於人民的，我們（公務員）不能奪走（人民的權利），我們做的預算、工程計劃和一切都是為了人民，如果當中出現弊端漏洞，人民會失望和對政府漸漸失去信心。”納吉今日在首相署部門常月集會上致詞時，這麼指出。他強調，公務員在傳遞優質公共服務時不應只是停留在表面上，同時也應該傳遞正確價值觀，並根據績效指標傳遞優質的公共服務，“若服務當中面對任何問題，也必須立即解決，不能拖延。”http://www.chinapress.com.my/201 ... %E4%BA%BA%E6%B0%91/"
alola,20170109,"公務員的福利比人民好太多了去政府醫院，機關看病都享有津貼折扣"
kwai56,20170109,"為了國家和人民 改變吧 "
miloicekawkaw,20170109,"肯定是为了国家与人民 …………不然满屁股债要给谁？………"
vjcspore8899,20170109,"这么多人死……"
prince,20170109,"出国shopping 也是为了人民？马来西亚很多shopping centre 要倒了，najib 应该在国内消费，帮助本地商家，而不是出国帮别人促进经济！每间shopping centre 消费1000万就好，26亿 可以拯救260间shopping centre！"
wong23233030,20170109,"被河马看中的东西本地买不到滴"
beoa,20170109,"都是为国家，人民。。好伟大！！"
kojin,20170109,"人家当官的买到便宜豪宅也是为了人民？  "
AMOS5566,20170109,"魚肉國家的財富  讓人民體驗儉以養廉 "
loongken,20170109,"有没有这么巧                   "
prince,20170109,"不是买不到，是怕我们拍到它买太多！  "
prince,20170109,"不止买便宜豪宅，也卖便宜屋给人民，一间rm42000，jb 却要卖rm150000，便宜的合情合理，有本事你就叫国阵把rm150000卖rm42000，我就讲你厉害，行动党体恤人民，真是槟城之福！"
luvpris,20170109,"当作笑话来看。。。。"
luvpris,20170109,"那么那些买贵的又如何呢？"
morris43,20170109,"可是 坐公务机带全家出游为国家和人民带来什么好处了麻 可否明示一下"
ICEMAN2011,20170109,"未讲完：”...都是为了国家和人民.......................................................................的钱.“"
盡用話題,20170109,"人民做多多都不够他吃和官员。。。最近动不动又saman了"
fcblue,20170109,"为自己把"
nyluon,20170110,"我投反对党也是为了国阵好"
kojin,20170110,"有谁不知道刮阵贪污腐败？  华人不是早就唾弃刮阵，你还妄想刮阵卖便宜房子给你啊？    火贱党的确体恤人民？ "
IMG_6100.PNG,20170110,"所以华人早就唾弃刮阵，华人寄望的是火贱党（卖华2.0）所以火贱党那么做对得起华人吗？"
