Topic title: 纳吉有信心令吉今年內回稳
username,date,text
Hishammudin,20170109,"纳吉有信心令吉今年內回稳（布城9日讯）首相拿督斯里纳吉有信心，国家银行所採取的措施將协助令吉在今年內回稳。他指出，令吉兑美元匯价贬值，不是我国独有的问题，因全球149个货幣当中，就有123个货幣兑美元匯价贬值，因此令吉也未能倖免。他承认，令吉贬值確实令各方感到忧虑，但令吉的贬值是受到外来因素所致，而不在政府所能控制的范围之內。纳吉也是財政部长，他说，3大政府所不能控制的因素，包括离岸市场的过度投机活动、原油价格下滑以及美国在去年12月升息。纳吉相信，通过国家银行所採取的行动，市场对令吉將在近期內回稳。他也说，我国经济在经歷了充满挑战的2016年后，隨著原產品价格的回升，相信能够在今年恢復。他举例，国际原油价格去年是每桶44美元，现已回升至每桶54美元，棕油则从去年的每公吨2600令吉回升至3200令吉，橡胶价格也翻了3倍。http://www.orientaldaily.com.my/nation/gn45635010495354"
使用者,20170109," 嗯嗯。我信。。为何不信？"
gaomin,20170109,"谎言总是比大选的脚步快。"
SIEWMIN,20170109,"鐵票區選民相信已足夠"
fcblue,20170109,"又做仙家了"
重甲霸王,20170109,"它也讲政府人员不应私用公家财产。真无耻到无敌在等天收境界。这种人还能大摇大摆上台做贼喊贼。在国外早就上法庭进监牢了。"
kojin,20170109,"华人都没投票给鸡哥就不用理会鸡哥了，相反的华人应该关注自己所投票的对象是不是仙家才对吧！  2007年没有官位坐就反对新经济政策2015年有官位坐就全力支持新经济政策这才是仙家  投票就像买股票  华人没买刮阵的股票，那刮阵的股票一直跌也无妨吧？华人买的是火贱股，但火贱股也在一直跌，这才是让华人心碎的！  "
IMG_0616.PNG,20170109,"鸡哥有马来票的支持即可，华人奈何不了他！马来人也不喜欢火贱党但火贱党有华人票的支持即可！"
IMG_0238.JPG,20170109,"不再跌你已经帮大忙了。。"
kojin,20170110,"他讲乜7都是讲给自己听爽的。。"
lumixcer,20170110,"为什么执政党（国阵包括马华与民政党）要制定这些对华人不公平的财政部与工程部规定来陷害华人？ "
盡用話題,20170110,"这等于说我们马币的基本面不够稳定，外来因素一冲击我们的汇率就摇摇欲坠"
疯疯疯,20170110,"有共產黨加持，國政肯定贏的。 "
yk13,20170110,"馬幣漲全靠納吉  "
monster.inc,20170110,"这数学程度比那只什么兵城成长率输鸡懒丹几倍的程度好一些  人民应该感到欣慰  至少统计的概念没搞错  虽然只说了第一句  但对马乃够用啦  反正重点是千错万错拿哥不会错"
Hishammudin,20170110,"对，靠它滚蛋！"
morris43,20170110,"回稳的意思是回到多少？升10仙20仙？还是US1=RM3.50？抛一个没有答案的答案。。。"
prince,20170110,"我倒绝望了。"
