Topic title: 当初一直歧视友族运动员的华人
username,date,text
科学就是未来,20170110,"一直自high 华人运动员几厉害（批评运动员，但是自己只是在家宅）。现在马来足球员成为首个获奖年度最佳进球的亚洲球员。该球员效力槟城足球队，相信槟城的华宅还可以继续自highLoading FB Video...（瑞士‧苏黎世10日讯）效力於槟城足球队的大马29岁前锋法伊兹，在当地时间週一举行的国际足联（FIFA）颁奖礼上，如愿成为首位贏得普斯卡什（最佳年度进球）奖的亚洲球员！法伊兹是凭著去年2月16日，在大马超级联赛对垒彭亨队时，以一记32公尺“超级香蕉自由球”破门。法伊兹创造大马足坛历史，以59.46%压倒性得票率，打败其他两名晋级三强的竞爭对手，即科林蒂安的巴西球员马罗內，与委內瑞拉女足17岁小將达妮乌丝卡，最终成功获得了2009年设立的普斯卡什最佳年度金球奖，为国争光！普斯卡什奖是FIFA评选的年度最佳进球奖，旨在表彰最精彩的进球，并纪念50至60年代的匈牙利传奇球星。由於进球时间限度在2015年9月末到2016年9月末之间，因此有些去年年底的进球也得以入选。"
qweasd147-,20170110,"这样都可以扯到去种族话题。。"
bashlyner,20170110,"华人可能踢球不如马来人，但是对足球的认识肯定超过马来人，尤其是那些赌球的华人 "
一燈大師,20170110,"火箭兵最自豪莫過於奧運丘光耀說 ：“如果華人真的balik cina，馬來西亞奧運吃蕉啦”。現在非華人拿獎，火箭兵是否吃蕉？"
wakevinwa,20170110,"这样都可以扯到去种族话题"
拓也哥,20170110,"给这里一个整天埋怨槟州政府拨款几百万令吉来赞助槟足的版主打脸 "
gaomin,20170110,"像楼主这类的，讲话全是倒过来讲，在这里，只有华人被歧视，他几时被人歧视了，总之，蛮期待什么时候再来一粒类似的进球。"
Hishammudin,20170110,"这样都可以扯到去种族话题。+1"
morris43,20170110,"是有多没自信心 这也能扯骑士"
科学就是未来,20170110,"原来不可以，那么奥运会时，在华人拿到第一面奖牌时，cari 也有不少华人讲“你看，马来人都不能拿到奖牌”，后来麒麟赛给马来选手拿到铜牌才diam diam。华人一向来自视过高，给马来人反感，这也就是为什么种族牌一直在这个国家政坛有很大的影响力"
科学就是未来,20170110,"不要开玩笑，在华人私人企业，多少人歧视马来员工？华人歧视马来人，马来人歧视华人，一直都存在，而尤其是华人在一点点功劳，就自high 到翻天，然后部分华人开始骂马来人，去facebook 看看就懂。所以这个国家政坛才会一直这么落后，不能到欧洲那么level。虽然美国也走种族牌了，美国走种族牌也是因为部分白人被歧视，还是被非白人歧视，才会反击"
ckianhong,20170110,"其实这贴要表达滴是什么？？？"
科学就是未来,20170110,"赞助运动是需要的，这里的人不舍得买票去支持运动，也没兴趣，基本上没有赞助的话，运动员很难cari makan 也不能练到神人一般。"
科学就是未来,20170110,"给看不起马来西亚，看不起马来人，觉得华人number one 的分子看的。华人可以继续自high, 在政治就继续吃亏。"
科学就是未来,20170110,"这个贴给很多人对号入座了“当初一直歧视友族运动员的华人”很多人自己潜意识歧视马来人，然后很不爽，自己对号入座。"
科学就是未来,20170110,"华人一直相信我们是马来西亚人，马来西亚人的马来西亚，现在却不敢宣传了美国人也是觉得他们是美国人，结果让白人至上的总统胜利了，非白人觉得美国只有美国人，保守派白人没有觉得美国就单一只是美国人。"
ray34,20170110,"谢谢你分享麻花的想法"
ray34,20170110,"华人爱马来西亚 但不爱麻花 尤其是廖化与张一里"
一燈大師,20170110,"給了 600萬，再扮闊佬追加 200萬。收入不夠開銷，還一直充大頭，檳城人買單。自己撥款自己辦公室，然後自己又是水供主席，自己借錢，自己 approve，拿去亂貼足球會，導致開銷州失衡。一個獎，打臉檳城全州民。600万足球赞助金林冠英不敢亲自回应让州球队晋级马超．槟水供再赞助足协200万- 地方| 星洲网槟城4月起调水费．家庭：16.7%．商业：18.8%（槟城）槟州水供机构主席林冠英说，2015年槟州水费的调整，在长期方面有助于维持该公司的业务。。。佔預算案一半首長辦公室秘書署獲撥7億| 中國報China Press槟政府连续9年呈赤字预算发展行政开销严重失衡槟州一年收入不够首长办公室及州秘书属开销"
ckianhong,20170110,"老实说：马国滴政府有许多不公平滴政策。少数民族不被保护，反而是多数民族要被保护。这个前提之下少数民族已经注定吃亏。"
wakevinwa,20170110,"“傻傻人”ckianhong有必要改变“消极”，“负面”滴思想"
ckianhong,20170110,"谢谢你滴关注"
wakevinwa,20170110,"“傻傻人”ckianhong有必要改变“消极”，“负面”滴思想"
latte3948,20170110,"我不是“傻傻人”，是西马人"
ckianhong,20170110,"谢谢“傻傻人”ckianhong有看我滴回复希望“傻傻人”ckianhong会改变“消极”，“负面”滴思想"
wakevinwa,20170110,"吃回之前排出的米田共 "
latte3948,20170110,"是滴“傻傻人”wakevinwa，我不是“傻傻人”，是西马人"
20tlv04,20170110,"这样滴要求不算过分吧"
ckianhong,20170110,"是滴“傻傻人”wakevinwa"
latte3948,20170110,""
wakevinwa,20170110,"是滴“傻傻人”wakevinwa，不过我不是“傻傻人”，是西马人"
ckianhong,20170110,"这样都可以扯到去种族话题"
latte3948,20170110,"“傻傻人”wakevinwa？？？什么意思？？？"
wakevinwa,20170110,""
ckianhong,20170110,"是滴“傻傻人”wakevinwa，"
wakevinwa,20170110,"谢谢“傻傻人”ckianhong有看我滴回复"
ckianhong,20170110,"不客气，“傻傻人”wakevinwa，我是西马人，不是“傻傻人”。"
wakevinwa,20170110,""
ckianhong,20170110,"是滴“傻傻人”wakevinwa，我是西马人，不是“傻傻人”。"
wakevinwa,20170110,""
ckianhong,20170110,"“傻傻人”wakevinwa，你终于承认你是西马人，不是“傻傻人”"
wakevinwa,20170110,"是滴“傻傻人”ckianhong，我是西马人，不是“傻傻人”"
noman,20170110,"宣揚種族歧視！原本我也沒有想到的~給LZ這樣開帖才煥然大悟，原來是種族歧視！ "
wakevinwa,20170110,"是滴“傻傻人”ckianhong，我是西马人，不是“傻傻人”"
ckianhong,20170110,"背叛“傻傻人”滴“傻傻人”wakevinwa。我是西马人做不到。"
wakevinwa,20170110,"是滴“傻傻人”ckianhong，我是西马人，不是“傻傻人”"
