Topic title: 刘嘴炮论马华公会
username,date,text
kenny16031984,20170111,"好久没自己发帖了，都是回复网友们的帖，所以今天来发个帖骗骗分。避兰东义山事件——侧写柔佛马华公会的组织崩坏与论述破产（下） 马华公会有其组织的结构性问题。每一个马华区会是一个自成一格的王国，就算区会与中央领导层不协调，只要获得巫统的资源，还是可以独霸一方。陈书北输了大选后，受委为柔佛大臣卡立的华人事务官就是一例。在马华拒绝加入内阁时期，柔佛苏丹坚持委任为行政议员的郑修强，与陈书北势不两立。马华的区会之间壁垒分明，很难跨界参选。在这个区会的小王国里，国王很少换人，久而久之形成地方派阀，也形成近亲繁殖而导致人才凋零、论述破产。同时，柔佛马华公会还有很多资源，一个区会主席可以委任的芝麻官多不胜数，从最无聊的医院巡查员、村委、新闻官到市议员，最少有100个职位以上，所以办什么活动，至少就有这一百个人出席，再加上马华控制的一些华团，每一个活动都看起来出席率很高。这又进一步导致论述破产，形成心理学说的团体迷思（groupthink）。 我2017年1月的第一个星期为什么耗在陈书北身上？因为陈书北与避兰东义山事件，是马华公会组织崩坏与论述破产的典例。新山市议员陈姗姗是陈书北的左右手。她也是避兰东华人义山管理委员会主席，她的表弟杨子安是避兰东现任村长兼义山管委会的财政，她的舅舅杨忠道是管委会副主席。 陈姗姗以义山委员会主席身份，公开宣布避兰东华人义山在新山－古来地方蓝图草案中变成伊斯兰坟场，对我们这些熟悉结构蓝图（structural plan）与地方蓝图（local plan）规划的政治工作者，演大戏的成分太重了。虽说新山－古来地方蓝图草案横跨四个市议会，但1976年城乡规划法令非常清楚，地方蓝图的“主人”是地方政府。还有一个很好笑的说法，就是“我们只是市议员，你们民主行动党的国州议员要去管好国州政府。”居銮的马华市议员常用这一套。我最初以为是宣传说辞，后来发现有些市议员真的相信这套说法。这套说法，一拿到网上去，就经不起任何对政治有一点认识的人的考验。但为什么马华还继续麻醉其中呢？也许论述破产是最好的解释。廖彩彤指出，陈姗姗应该要在市议会内部检查，陈姗姗回应说她比廖彩彤提早发现，比廖“有做工”，进一步指责廖彩彤不关心选区。我就在此时介入这个争议。我们打从一开始就知道这座义山处在州务大臣卡立的选区百万镇，而非柔佛再也。谁的选区其实不重要，任何公共议题都是我们关注的。然而，陈书北大概没有想过，他会栽在马华自家的“选区逻辑”：如果是大臣的选区，为什么大臣没有“做工”？为什么大臣没有出面解决？为什么身为大臣华人事务官（甲必丹）的陈书北没有禀报大臣？不要忘了，土地、地方政府和规划权最终在大臣和行政议会手中。在这件事上，陈书北一直宣称义山在柔佛再也选区，指责“廖彩彤没有做工”，直到我们把选区地图拿出来证明。为什么会犯这个低级错误而变成一个没有诚信的人？因为陈书北相信自己的优越感，行动党人不会比马华更懂政府的资讯。我听说陈书北在选区的神庙宴会讲到义山时听众嘘声四起，民众看到陈书北真的是演戏，只是剧本不够好被揭穿。1月8日的义山汇报会，陈姗姗两次开记者会公开邀请廖彩彤出席。我们的估计是，马华因为区会壁垒分明，加上近亲繁殖、论述破产，对民主行动党人的大胆进取精神似乎完全不理解。当廖彩彤、黄书琪和北干区州议员杨敦祥出现时，陈姗姗、陈传平和陈书北都慌了。他们坚持不让廖彩彤发言。陈书北两届议员、高大的形象，为什么连一个年轻女生的发言也不允许？因为他们没有真正面对过对手。马华公会都躲在公权力、精英网、传统媒体的背后，突然面对正面交锋，慌到完全没有头绪。整件事，是一场马华自导自演的闹剧。我们用了一个星期，一步一步让柔佛马华公会的小丑姿态一一尽显。根本的问题是，马华的组织结构导致的论述破产，已经与网路时代脱节。马华之所以还在，靠的只是巫统的马来选票（马来海啸来的时候，巫统也会崩盘）和手上掌握的大棒子与大萝卜。我们将继续为选民揭开马华的论述破产，好让马来西亚结束无聊的政治模式，开启新的马来西亚。最后附上靓照一张。"
火狐截图_2017-01-11T13-02-30.859Z.png,20170112,"淋神党员都是得学习如何Pusing才能成为党员么，这么来误导群众。"
kenny16031984,20170112,"狗头军师刘镇东的神理论：1。胡毒法是伪命题2。柔佛火烧连环船，林神父下振林山， 505 柔佛变天3。开明派包头佬出走后，包头党会面临二次分裂4。阿德南无能抗衡白毛与纳吉，火箭在砂捞越选举有机可乘5。马哈迪事最有能力的反对党领袖6。挺慕尤丁，是媒体误导丁丁反统考的言论"
bashlyner,20170112,"阿彌陀佛。guess what，劉鎮東 轉回槍頭罵這些拉布條的 安哥安娣，劉鎮東忘了他自己也是這些 安哥安娣選他的。另外，【避蘭東義山匯報會】是由 避蘭東義山管委會和避蘭東村委會主辦的。不是馬華自導自演。自導自演的是火箭潑婦廖彩彤，用潑婦罵街本領在【避蘭東義山匯報會】搗亂，剝奪居民得到匯報會的資訊。"
一燈大師,20170112,"阿彌陀佛，安娣安哥的眼睛还是雪亮滴，鄙视淋神党的嘴炮，民粹和投机主义。"
kenny16031984,20170112,"好人巫承豪和诺曼都被你们干掉了。。。"
表酱紫,20170112,"照片显示卖华就剩下一些安涕安哥支持了。"
盘古盘古,20170112,"感觉还是‘内斗’最内行了"
ohia2016,20170112,"地是 UMNO 要结果是华社内部自相残杀"
cct2050,20170112,"可怜的安娣安哥投了淋神党一票还要被这里的红卫兵教训和当成是马华的狗。"
