Topic title: 骗子盗用信用卡公司电话线  这些电话号码与短信都是假的！
username,date,text
Cari_LSV,20170111,"诈骗分杚峵災子无处不嚦兛在泸妧栻，缗盅如果不湃穑擧小心提防，很可能就腃卢歩会轙父堕入骗子辄嘊的圈套，被盗走个琳鶤髭簼漵人资料，娭棓捳用做焾寝橿不法行为难蛒铨！最近几厞莦啞个月就驚钑専鍻岳有不滻袟肏少网民透过社交媒体投诉，煜牃他们嶋惕收到窡螥了眖腨鎔类似短信。图片踱镻鑧来源：AEON Credit Service短信一瞴举般写道，你以鲤鶯AEON购物广场信探登簻用卡佶昙粡在某家商店购买某件商品（一拴殫璳般譠第是首饰或电器）。之后，就裒缭捶会秭膮蜖有扂倧鯎辏一名自称是骃哕霅AEON信麌鐭用卡中餧憘瞻心职员禀鼫的华裔男子，通过03-27199999或03-2719xxxx联系你，跟你确认鯱珽忩这项交易。图片来越霨源：Ng xx 面子书其中飫鱄一呼侱灳名网友Mr Ng墰闐在面子书上鑯忊厹转载燖奈了朋友纉鲡賙上传甕莌的警惕文，并写道，“萡脒我楌誓層和经历和顉梜錫文章礯失椊的攅潂絨主角滶峜一模晅旊軘一样。”Mr Ng向《佳礼资讯网》投诉：“氳决俥不论谑昝是鑫邞地点、金额、买的椖畵东西、电话，还膡嘇有男子固箥的名字都籢谅是一檭聚郡样的淭狸孉。”蛩韹躐他指出，当时隕煹惈艒娱一名自称Jeffrey的菌魯殴男子指自己痗貵是信憊蘳用卡鮂绲中心的鐒涜鮲员郭嬞工，说他葓酞絡在禺摕圛吉隆坡暀渡彼国际机场頁揰菘的一凰禑家首饰店刷卡购买镱畕了4千299令吉捜轖藖的首饰，要俯崂炖鷀忺傏他确认交易。“他鈇袮课徤恖要跟噧鏀我确认身份，嗽葆阙我就矜囏直接告诉他呾漱裩，我歝曛氖没有剾訤AEON卡，所以崆莛不硛匮可能做过这炩垉项交易。Jeffrey当散麲遨时就濤膙礒告诉我嘊撙，如蓐挝虿果没茒徐有豵缺这回事婪鷶僳的话，那么就冨缤应该拨电蟉悗到驖林朂国家银行了牋穥解详情。他课纼牚也给了枧额氊我蟮韗彵国詏謴家银行羴髖的联络号码（03-27884464）。”图片来啋维源：网络Mr Ng之后按照指示拨电给国睜顢家银行，但电话拨通后，接听电话的妾貟竟然是遖鐼刂华衃錪铦人，还口操华语，机警禚坃的麩顇他马葉垁澃上知道事有挘膥蹊跷。“电话接通后竟然场鼠是华覵緜人接电话，撸鲅国家银行哪里有摞傧这嗚虜圼样多华人樑缵，还讲华语的綝祵掗？如胉嬅果虘蠽丮是就慓頱弑好咯。荬癰鯽我那时乺箁禂候就霵裟凶他眂孔袒说潱淞熸我要命灶喲报警，可是峿犖鹣係酕他阻止萶殪我，还说之前那个鎛粼闿男子会膯髦蜜再联络我咥賦。他継偢过后再打来吰踡腫，牑雊瘸我頪侠就没瘀錍有再理他靀潔。”图片轗山来源：网络唙礔格不过，为踲醿了憄鎰傁预防万一訁釀，他顆殕齡还譊阾檗是亲自致电搗孄到虝詃国家银行的嘆畷官方联络电话，告知相关官员有镮豊鱊关案件，但银行职员竟然告诉翾籿旌他，已经不歊讈娐少人誙磍误信类似的乕疩鱷诈骗电话，堕入诈骗集团的忱砦鏂圈套。此外，他崃鉛也泏毓和妻子亲自到埇礩姍AEON信用吇槹尫卡公司客服侬禆弍中心走一礪蚸漻趟，结果证实两徖瞩刀人并没有钃譄堎相关银行爕攊孟的信用瓅濷卡。然而，客服人弯蒛员告诉他囸秡，当局经常接壈洑到类似干缧的投诉。《佳礼资讯网》记者稍后致电AEON信用蓣耈馈卡客服壎侍中心，客服鰲圸人员告知，軓壠他们郬鳦从去年镽孓10月开始就褊撄接到禂蟄叱类似鷇萖燬个案，但至今还未找馓壗到骇客的挿篋源头。“03-27199999是淘褍冮我咺峣縧尰们鞅旞十的主餾嘴耫线，骇客骇入我蛇屦鑨蛎薵们的覸槔电话后，拨电给受害者。除佳襈衲了簁鳤这个闞臥篧号码，他疓鎯廓聵们还肂荟会使用長涜譢03-2719xxxx榼莢的号码，都歗稍和礂甝烎我们蓳魰潩的簔腣裩韢主线号码很相似。”图片来冸嫒源：AEON Credit Service相信是烦摤已经收到丐僛蝌太多投诉，AEON信用巳厎蔢卡謭恏瑝中心直接嘿蝤眄在官网列出骗子縢媍簇一般使用鐃啲叙曮粪捖的诈骗短信，让民众提高警惕，贖穴不惁筞要傿瞺上当。点击图片看详文【图片惬屳来源：AEON Credit Service】再次提醒网友，信嘚摏用卡勣鲅中心是貳盛黓绝耫鰷对腭唭翃不箥騊会透过电话、电邮、短信或信函咨询你的冋汥臶厼兕镗个嶤另人资料。千万不礿鸸鳾能把信用羧穃卡密码、軥騱用户名字、安全提问等等告诉任何人趽描！"
kahao,20170111,"申请接近你们哪一区的电话号码，电话号码当然接近相似啦"
GiaWei,20170111,"知道了，感谢分享"
sm99999,20170111,"我前两年就收过了，还Email去问银行。"
Jason929,20170112,"橋唔怕舊 最緊要受國人應該要加強辨別是非對錯的能力"
justinchua,20170112,"我第一次看到你没有骂记者勒。。"
elvinday,20170112,"我最近时常收到email说我在UOB，CIMB，CITIBANK有钱要汇进去但是却过不到，要我去settle。。问题是我根本都没有那些银行的户口。。收了几次生气了直接F字头请他，第二天没看到email了"
GiaWei,20170112,"虽然是旧闻，但佳礼义廉记者有打电话求证，尚可一读"
justinchua,20170112,"这个同意。。。"
thunder,20170112,"张张卡都碌爆它就不怕受骗了"
