Topic title: （29楼更新）綁富家女2匪落網‧欠債4萬狠索500萬 同謀落網哭訴很蠢
username,date,text
无名好留,20170111,"公眾目睹窮追．推肉票出車外 綁富家女 2匪落網 綁匪被民眾追逐至雙溪布隆15英哩時，貨車失控翻覆。華裔綁匪遭警方逮捕。綁匪遭民眾圍毆。警方在綁匪的貨車內，發現他們干案時使用的器具。（雙溪毛糯10日訊）華裔富家女今晚遭2名綁匪強擄載走，公眾目睹后一路窮追不捨導致匪徒驚慌下，竟把肉票強硬推出車外，富家女因而受傷脫身！綁匪乘坐的貨車最后在一個轉彎處失控翻覆，2人被公眾揪出后痛打一頓，甚致放火焚燒匪車洩憤。這宗驚險萬分擄綁案于今日傍晚6時30分，在雙溪毛糯Sieramas一間國際學校前發生。肉票是28歲葉姓女子，父親是經營窗簾和家具商人，目前在父親窗簾工廠任職經理。案發時，肉票和一名印尼籍女傭乘坐寶馬車抵達住家附近一間商場，步下車后即遭2名乘坐一輛白色貨車前來的華裔男子擄走。 转自中国报http://www.chinapress.com.my/201 ... %e8%90%bd%e7%b6%b2/"
wcl94,20170111,"好奇女的美不美"
无名好留,20170111,"你只关心美不美而已hor？"
monster.inc,20170111,"這種廢物沒被打死便宜他們了。"
fcblue,20170111,"应该被打的"
fcblue,20170111,"有手有脚不去工作"
fcblue,20170111,"社会的拉级"
Orochimaru,20170111,"很危险啊，还好还有见义勇为的人追上去，不然这个富家女应该是被xx然后yy了 坐宝马很危险，下次坐日本车就好了，toyota， honda，nissan也不是很差啦"
无名好留,20170111,"唉。。见义勇为的都是友族，我们华人各扫门前雪。。新年前绑匪应该只是要财而已"
kmrddecade,20170111,"华人为何为难华人？华人被马来人打，大家都静静不出声先出手打人的就是错了普通民众不可以把法律操纵在自己手上这些绑匪并没有伤害女票，他们是好人"
thunder,20170111,"可怜，看来这两条粉肠新年要在扣留所里吃团圆饭了!"
bcteh,20170111,"绑架應該沒幾會出來了"
tskiller131,20170112,"自己拿来虽"
天然夜行者,20170112,"這女的美不美？"
天然夜行者,20170112,"民眾比緊茶有用。。"
杨妮,20170112,"好人会干出绑票这种非法勾当?"
科学就是未来,20170112,"还好有马来民众见义勇为"
科学就是未来,20170112,"绑匪还没有带女票去匪徒的地方，当然没什么事，带回去了，什么事都会发生"
pornking,20170112,"华人是死在我前面都不管我的事！要推翻政府就是个屁"
kennyteoh818,20170112,"如果成成功被绑回去。鲍鱼一定完了。"
D,20170112,"有没有搞错，这种时候你还分种族?"
shenny727,20170112,"还好有人见义勇为"
alienwong,20170112,"说真的，见义勇为的永远都是友族，华人最厉害就是拿钱压人而已，出事情时哪里会帮别人的～～～这也是华人走到哪里都被欺负一样。。。"
XHunterOz,20170112,"IGx 国际学校  有钱人的学校， 年费 6万 - 8万，不包括其他费用 这间学校很靠近highway , 很厉害选 "
无名好留,20170112,"綁富家女2匪落網‧大耳窿狂逼 債仔當綁匪求財還債 嫌犯被帶上法庭申請延扣（雙溪毛糯11日訊）大耳窿過年“忙撲水”，狂逼債仔還錢，債仔鋌而走險，冒著可換來14年牢獄之災的風險，策劃綁架案！昨日在雙溪毛糯Sieramas一間國際學校前發生的綁架案，2名綁匪被公眾追捕制伏，並交由警方處理，警方查悉，兩人是為了償還大耳窿的債務，才策劃這宗綁架案。2名綁匪前陣子在澳門賭錢輸了一大筆錢，之后回馬后又向大耳窿借貸一大筆款項，結果卻無力償還。偷貨車跟蹤女事主雙溪毛糯警區主任阿茲警監今日召開記者會披露，落網的2名華裔男子（26歲與27歲）是a于1個月前開始跟蹤女事主，在決定動手后于昨日凌晨在隆市增江偷一輛貨車，準備綁架女事主。他說，警方調查發現，2名嫌犯是因欠下大耳窿的債務，才會鋌而走險策劃綁架案，警方仍在調查兩人欠債總數。“2名嫌犯並不認識女事主，只是月前無意中盯上后者后，才開始策劃綁架。”他在記者會上宣告破案，沒其他人涉案。目前警方援引刑事法典第365條文（綁架或拐帶）調查此案，2名嫌犯一旦在此條文被控下罪成，最高刑罰可被判監禁14年。28歲葉姓女事主于昨日傍晚6時30分回家途中，在雙溪毛糯Sieramas一間國際學校前被2名華裔男子強擄上一輛貨車，所幸被數名公眾目擊后窮追不捨，匪徒驚慌下就把肉票強硬推出車外，女事主也因此得以脫身。接著，2名綁匪乘坐的貨車在一個轉彎處失控翻覆，兩人也當場被公眾制伏，交給警方。計劃周詳算漏熱心公眾“菜鳥綁匪”雖初次干案，卻計劃周詳，甚至連若事敗后用來花費于潛逃的現款也帶在身上，但千算萬算，算漏一班熱心的公眾！阿玆說，警方分別在兩名綁匪身上起獲逾千令吉現款，警方相信嫌犯是打算若事敗后，能利用這筆現款潛逃去其它地方壁風頭。此外，綁匪月前開始策劃綁架女事主，故才會在女事主回家的必經之路即雙溪毛糯Sieramas一間國際學校前下手。据記者觀察，案發現場雖說不上偏僻，卻鮮少路人于街上行走，有的只是車來車往，若沒遇上放學時間現場就更加“僻靜”。阿玆說，綁匪擄走女事主后，留下勒索信于女事主的寶馬轎車，信上除勒索女事主的家人500萬令吉外，也言明若家屬報警肉票會被撕票。“綁匪也于貨車上放有1個大行李箱，警方相信綁匪打算在遠離現場后，將身材瘦小的女事主裝進去，方便運往禁錮肉票的地點。”哮喘救了她一命富家女的哮喘病，救了她自己一命！女事主被綁匪擄上貨車后，因驚慌過度導致哮喘病發作，綁匪因擔心若肉票發生意外會拿不到贖金，故立即打開車窗讓空氣流通。女事主也立即趁此機會，對著窗外大喊救命，結果被經過的摩哆騎士聽見，遂引發后來的追匪過程，讓女事主因此脫身。阿茲說，女事主被綁匪推下車時，匪車的行駛速度並沒有太快，女事主主要是因手腕被勒綁，及被推下車時身體多個部位被擦傷。女事主事后被送入雙溪毛糯醫院接受治療，記者于週三（11日）中午前往醫院時，被告知女事主已出院。熱心公眾不分種族危難當前，絕無種族之分！阿玆指出，當有公眾發現女事主大喊救命后，在場的多名摩哆騎士及轎車司機紛紛追趕匪徒的貨車，當中以巫裔同胞居多。他說，這班熱心公眾看見綁匪把女事主推下車后，立即分為兩批人，其中一批留下照顧女事主，另一批人則繼續追趕匪車。他指出，綁匪的貨車在發生意外翻覆后，追趕的公眾除揪出2名綁匪，也把貨車上的所有物品移出，因此讓大部分的證物都幸保不失。他說，警方也將在近期頒發表揚狀給協助制伏匪徒的公眾。2名嫌犯來自士拉央及峇都喼，兩人都沒有任何犯罪前科，尿檢結果也是呈陰性；警方獲批延扣兩人至週六（14日）。他說，2嫌犯干案當天凌晨3時許，在隆市增江偷1輛日產貨車，也就是干案時使用的貨車。嫌犯遭公眾圍毆，眼部清楚看到傷勢。嫌犯被帶上法庭申請延扣。雙溪毛糯警區主任阿茲警監週三召開記者會。拍攝:劉潔雲转自中国报http://www.chinapress.com.my/201 ... %e9%82%84%e5%82%b5/"
无名好留,20170112,"这2个绑匪在扣留所里吃团圆饭好过在外被阿窿打"
无名好留,20170112,"数度险被撞倒仍一心救人．巫裔骑士勇追匪     见义勇为协助被绑架的华裔女少东脱困的莫哈末沙林。（图：星洲日报）            （雪兰莪．八打灵再也11日讯）一名协助救出窗帘公司女少东的巫裔摩哆车骑士莫哈末沙林在目睹绑架案时奋不顾身紧追在绑匪车后，虽然数度险被绑匪蓄意用车撞倒，但他毫不退缩，一心只想救人。现年32岁的莫哈末沙林说，事发当时他与妻子共骑一辆摩哆车，准备到学校去接5岁女儿放学，突然听到经过身边的一辆白色客货车上时听到有人喊救命，于是他不假思索就尾随该辆客货车，一路上还呼叫其他骑士一起追。听到呼救马上施援莫哈末沙林指出，他与数名摩哆车骑士追该辆客货车至双溪毛糯新镇时，匪徒突然停车把肉票推下车，他就停下摩哆车帮忙对方电召救护车以及联络女事主的家人，他陪伴在女事主的身旁，直至救护车及事主的家人抵达才离开现场。他接受星洲日报访问时坦言，当时追车的情况非常危险，因匪徒一直企图撞击尾随他们的摩哆车。但是他们并没有因此而退缩，最终成功救出女事主。“当时在我的前面也有一名年轻骑士，他非常勇敢的用摩哆车紧追着客货车，以致匪徒的客货车失控撞入沟渠。”他说，以前经常在脸书看到网民分享白色客货车掳孩童的传言，因此当亲眼看到掳人案在眼前发生时，他毫不犹疑就挺身作出。盼人人能互相帮助莫哈末沙林说，如果当时他听到女事主呼救后没有马上采取行动，恐怕女事主会遭遇不测。“如果单独去救人，当然会感到害怕，有其他人相助就能壮胆，更能达到施压的效果，让匪徒感到惊慌失措。”育有3名孩子的莫哈末沙林指出，他非常高兴能成功救到女事主，并希望每个人都能以身做则，互相帮忙。文章来源星洲日报／报道：黄劲鸿、林佳香．2017.01.12 http://www.sinchew.com.my/node/1 ... 7%E8%BF%BD%E5%8C%AA"
vongolia,20170112,"判这些绑匪死刑吧，免得出来再害人。受害者真的要谢谢见义勇为的各族人士尤其是莫哈末沙林，没有他们，恐怕她早已遭遇不测。 绑匪连用来撕票用的行李箱都准备好了，可见他们何其无人性。"
无名好留,20170113,"綁富家女2匪落網‧欠債4萬狠索500萬 同謀落網哭訴很蠢 （雙溪毛糯12日訊）前日綁架富家女但失手的主謀綁匪僅欠下4萬令吉的債務，但為過個豐足的農曆新年，竟獅子開大口勒索肉票家人500萬令吉，如今只能在扣留所度過接下來的農曆新年！年僅27歲的主謀因嗜賭欠下4萬令吉債款，才把心一橫和同樣嗜賭的同伴（26歲）策劃綁架案，還承諾一旦贖金得手，兩人將平分500萬令吉。26歲的嫌犯落網后，多次向警方哭訴自己很蠢，也非常后悔因一時財迷心竅，斷送自己的前途。2名綁匪除了經常到國內外賭場，還會流連一些非法電玩中心。尋獲逾10證人錄供此外，案發時現場多人都有撥電投報，事后卻只有2人願意到警局報案，警方經過一番追查，終尋獲十余名證人，並向他們錄供，預料下週將調查報告呈交副檢察司，以提控2名嫌犯。28歲葉姓女事主于前日傍晚6時30分，在雙溪毛糯Sieramas一國際學校前，被2名華裔男子強擄上一輛貨車，所幸被數名公眾目睹一路窮追不捨，匪徒驚慌下把肉票推出車，女事主得以脫身。接著，2名綁匪乘坐的貨車在一個轉彎處失控翻覆，兩人也當場被公眾揪出制伏，再交給警方。模仿港片情節策劃兩名綁匪以為能模仿港產片情節策劃綁架案但失手。據悉，2名嫌犯在策劃綁架案前，鑽研有關綁架題材的香港電影情節，包括一些藏屍案題材的電影備有大行李箱及塑料繩扣，以防肉票一旦意外身亡，就能用塑料繩扣捆綁其手腳，再裝進行李箱。為發員工花紅鋌而走險為發花紅給員工，綁匪才鋌而走險干案！其中一名綁匪的父親指出，當他得知兒子因綁架被捕的消息后，震驚不已，並表示之前已聽見兒子出現財務問題。他指出，從事拉電線工作的兒子有4名員工，因農曆新年將至，除了需要支付薪金，還需出花紅給員工，加上其他因素造成其兒子一時周轉不靈。他澄清，兒子為人節儉及善良，不會爛賭成性，更不會有殺人撕票的可怕念頭。他與妻子已做好兒子隨時入獄的心理準備，盼兒子出獄后能夠重新做人。此外，嫌犯女友指出，其男友與另1名嫌犯是小學同學，都是電線技工。她說，前陣子從男友口中得知另一名嫌犯也是面臨財務問題，但不確定到底誰才是主謀。转自中国报http://www.chinapress.com.my/201 ... %e8%a8%b4%e5%be%88/"
无名好留,20170113,"他指出，從事拉電線工作的兒子有4名員工，因農曆新年將至，除了需要支付薪金，還需出花紅給員工，加上其他因素造成其兒子一時周轉不靈。他澄清，兒子為人節儉及善良，不會爛賭成性，更不會有殺人撕票的可怕念頭。又一个他儿子是全世界最乖的uncle，你儿子不止绑票还赌博欠阿隆。。"
jellyfish_8,20170113,"红豆看不顺眼这种不分肤色，睦邻友好，见义勇为的活例子。这种正能量精神要被鼓励，被赞扬。那些一味问美不美的，应该庆幸被绑的不是它们亲人。预与其每天鸟麦当劳，倒不如多多赞扬一些正能量的生活好人好事。"
总司令,20170113,"载着老婆去接女儿，很多人都做不到半路改变计划去帮人，包括富家女一家人，他却做到了。给他一个赞，有机会去找他，结交一个这样的好汉是一乐事。"
