Topic title: 十年一度的金融危機爆發 Trump 政府成型 後 任何時候。
username,date,text
answer01,20170113,"現在看來， 會在 Donald Trump ‘s inauguration 之後的任何一個時候。 不過，不是一下子來， 而是 以下山的方式 慢慢來。國陣最好 在 3-4 月間大選，不要等。 这次，我铁定 投國政。我們不能冒险 让 某 馬 回潮。"
answer01,20170113,"我估計， 這次 是 一次 漫長的經濟衰退， 熊一浪 會 長達 5 年。在没有新增收入， 大量的房贷，車贷，信用卡， 是靠 储蓄， 特别是 老爸老妈的储蓄来维持。會死掉一批人。熊二浪， 反弹浪， 可能 3年，。經濟好像跌到底了， 還有閑钱的人（聰明投资者） 開始入市，買房買地。。熊三浪， 2年左右，急跌浪。。很多人會破産，大公司會倒闭， 部份聰明投资者離場，。大量外资开始進場。"
512MB,20170113,"你是hazellam吗？"
洗零,20170113,"这个地球有两个经济一个美元 一个人民币现在是美元拖衰家人民币表示 你死你贱"
answer01,20170113,"我还以为 hazellam 是个女的. 你说他(她) 是不是?不过, 我不看好大马华人, 我不看好还留在马来西亚的华人(我在内). 这个民族没前途.大马的华人报章已经没有人才, 全都是中学水准的思维, 华人都被他们弄蠢了. 包括, malaysiakini, 都一个样.陶杰讲的 小农基因, 鲁迅讲的 阿Q. "
answer01,20170113,"RMB 已玩完!"
512MB,20170113,"此话怎讲？请分享。  "
洗零,20170113,"继续发梦 有益身体健康"
answer01,20170113,"国际上所有资源最后都以美金结算, 中国目前美金水泻式的流出, Donald Trump 都还未上台. 没有足够的美金, RMB 根本没价.RMB 本该3年前,一下贬值到 10元,把外资封锁,但现在外资的主力已撤离, RMB 现在已不能跌了, 因为在跌下去就买不到进口粮食了."
512MB,20170113,"谢谢分享。那我继续守着新币好了。  "
CjHyMC,20170113,"不一定，以中国的体量，和改革开放之后的影响力，虽然不一定能够建立出RMB结算系统，但是如果单纯地因为没有足够的美金而认为没价，那也未免太武断了。"
大话西游,20170113,"你可知道目前世界只有三个国家有直接 国际黄金交易所而 中国 就是其中之一 足证明又是一个 危言耸听 的汚棍 "
kennyteoh818,20170113,"分那么多身干什么。文法一出。8,9 不离 10."
拓也哥,20170113,"最终的目的也是要你们支持马华给马华一个机会 "
XHunterOz,20170113,"开那么多分身我们还认出你 "
look586472,20170113,"拜托你先去中国海关的统计报表上看看中国的进出口结构再来大放厥词可以吗？中国的出口40%是机械和电子两大类，很多是绝大多数国家根本不会生产的，除了从中国买就没有其他什么渠道。美国的一个民粹主义消费者写了篇文章，说她去商场要买个微波炉，本来打算买个美国制造的，结果看了十几个品牌，从几十美元到几千美元的所有微波炉，都是made in China.以我自己的经历，我在新加坡Challenger电子零售店里看耳机，从十几块新币到几百块新币的耳机，不管是入耳的还是头戴的，不管是新加坡品牌还是日本品牌，也全都是Made in China。我公司去年有个project替换了几十个监控摄像机，替换了大量老旧的路由器和网络交换机，摊开一看全都是中国产的设备，光我公司去年就为中国的出口贡献了接近十万新币。而中国的进口都是些什么？ 第一大类是半导体芯片和显示器面板。第二大类是飞机和汽车零部件，第三大类是医药和医疗设备，第四大类才是农产品，尤其是主要用来做动物饲料的大豆和玉米，用于人食用的农产品所占的比例微乎其微，中国基本上是个农业自给自足的国家。阿里巴巴卖力的到世界各国说要帮他们国家把特色农产品卖到中国，只是改善中国人的口味，但不是必需的需求。其中第一第二大类，除了少部分极其高端的零件，中国现在正在大量投资生产替代进口，光一个紫光集团投资在半导体的资金就是700亿美元，是美元，不是马币。生产高端面板的京东方股价最近狂飙，因为它的面板厂从今年到明年会不断正式投入生产，台湾面板厂的好日子快到头了。第二大类中国的国产飞机C919不再说了，本土汽车品牌的市占也在逐年上升，尤其中国人爱买的SUV汽车，80%卖出去的都是本土品牌。只有在第三大类，目前还是中国的短板，所以最近一个三胞集团跑去美国买了个治疗癌症药物的公司。中国的战略就是世界上所有的东西我都要争取自己能生产，不求外人，吸引外资来投资很重要，但自己本土的公司能制造更好。随着这些投资，世界上中国不会造的东西越来越少了，一个不仅能自给自足，还能供应世界上绝大多数国家不会制造的产品的货币会垮，没有经济常识也要有点基本的逻辑常识吧。。为什么马来西亚吸引中资很重要？ 因为中国会逐渐在世界各国建立为自己国家服务的经济体系，一切围绕中国消费者的需求在世界各国建立供应链向中国提供半成品的工厂会逐渐建立。马来西亚不要中资，很多国家会抢着要，世界不再围着美国消费者转的趋势越来越明显。中美欧这三个大消费漩涡，中国这个漩涡会越来越大，吸收各国的资源进去，而其他两个大漩涡基本就是那么大了，增长极其有限。川普的排外战略更是在让美国这个漩涡减速，变小，有点眼光的都知道美国指望不上了。出口对中国经济的贡献越来越不重要，2016年中国的进出口小幅度下降，对美国的出口更是减少了10%以上，so what? 中国人还不是照样过的很爽。中国的外汇储备减少，一方面是确实有部分资金外流，毕竟美国加息中国没加，更重要的方面是中国不需要那么多外汇了，放在美国拿那么1点几趴的利息，我投在哪里不能把这点利息挣回来？尤其美元现在对世界很多国家货币强势，可以去这些国家买很多中国需要的战略资源。中国的油库都装满了，海上还飘了不知道多少艘油轮在等着油价上涨。很多反中的媒体天天在唱空中国，只不过是意识形态作怪。美国对中国的围堵太迟了，如果是小布什执政那个时间围堵，还是有效的，现在基本没用。99%的产品中国自己能造，研发的投入又很足，发明专利仅次于美国，只要把那些极其有限的一些高端零件补齐了，美国拿中国没有任何办法。更不要鬼扯什么人民币要垮了。。"
使用者,20170113,"雞哥哥會處理。你擔心啥。"
