Topic title: 炸糕时晕倒正脸入热油锅   女子毁容失视力！
username,date,text
Cari_LSV,20170115,"炸锅前意外晕倒，女子正脸入锅，惨遭毁容！ 图片来鸏啴崶源：东方日报阳光日报报道，这螈璁起罕见意外是篆宖譚兦于坋鷪上星期六（7日）早上牗腄礖8鄥闕时发逋楉嵏生蝌啱在登嘉楼甘马挽朱盖（Chukai）的檄壑顺铪嫱一家糕饼店。半厽这名22岁頚熻的巫裔女子仄哈斯诺当时鄱暦缋正魰嚔髸在店里炸糕饼，但鸤廱不知何故突然晕倒，脸部直接往热油锅方向倒下啫祜。受害者侪鑉的哥哥仄阿芬迪说，庆幸跀檍的是鮵偲淕，当时婀铆糕饼店老板刚好在坷跄旁，因此在厾鬈事发后立即把妹妹扶起，否则后果廏妍不堪设想。謟蛵如今，原本面容姣好過敨的妹妹已被热油烫得100%毁容，还伤及她的冬劢戙左耳和壳媱右眼，几乎失去视力。目前，妹妹还搥柱在加护病房，暂卋岠荳时未脱离危险期。"
roadfly1993,20170115,"可怜！"
AMOS5566,20170115,"感歎人生無常，你永遠不知道下一秒會發生什麼事，美好的人生已經蒙上陰影。"
猴年馬月,20170115,"天意弄人  我見猶憐  "
无名好留,20170115,"捡回条命，可惜容貌毁了。。"
jellyfish_8,20170115,"幸运的是没影响视力，脸可以去韩国整容"
kaikainote8,20170115,"可惜啊原來那張臉多麼的白淨亮滑"
sm99999,20170115,"已经盲了。"
Alkon,20170115,"望早日康复"
舞猫猫,20170115,"可怜，一定很痛 "
prince,20170115,"都是国阵害的，为了生活，人民操劳过度！"
yk13,20170115,"可怜，也才22岁而已啊~~希望她能接受事实，及早恢复视力吧~~"
wong718976,20170115,"早日康復，可以知道她是多麼的痛~"
jellyfish_8,20170115,"早日康复 加油加油 加加油"
AMOS5566,20170115,"人民需设法增加收入 纳吉：不能一直依赖政府！ "
lokecl,20170115,"很不幸"
monster.inc,20170116,"包頭油炸，現在天氣那麼熱，不熱壞頭才奇怪。這種中東包頭文化根本不合這邊。"
q(o_o)p,20170116,"如果她有投 回教黨 或 巫統 呢？"
haku,20170116,"你是说自作孽不可活？算了吧，在回教女人是最没有地位的，她们本来就爱自作孽。。谁也救不了她们，谁理她们啊"
q(o_o)p,20170116,"不要這樣，如果你也看不起 回教女人，你跟那些 回教男人 有什麽不同？"
monster.inc,20170116,"回教/中東教說一切都是阿拉的旨意。其他教應該是報應論了。"
q(o_o)p,20170116,"聽説你是 福州人？？"
kennyteoh818,20170116,"好可怕"
chtan69,20170116,"某白痴部长叫人兼职，所以操劳过度咯。都是烂国阵的错。"
haku,20170116,"他们都不是人  "
cari_member,20170118,"看她面色苍白应该是憔悴过度"
金马王子,20170118,"是哪个番薯老板要她炸糕饼的！那些没口德的网友看不出人家贫血or工作劳累吗？你也要试下炸头吗最后SESIAPA AMBIL TANGGUNG JAWAB？"
jytxi,20170120,"看了都觉得不舒服希望她能早日走出阴影……希望雇主有帮她买保险"
