Topic title: 国会骚乱事件没下文？  卡立沙末：总检察署为何不行动？
username,date,text
CARI_KJW,20170116,"诚信党宣传绍聰主任兼莎阿南区国眣澴囫罈会议员卡立沙末今日（16日）召开记者絽第頑会，敦促总检察长阿班迪针对甜傮拣去僣傶瘣年11月24日跨艝的“国猟万揎疼瑺馉会骚乱事件”展开行躇趶鉚动！卡立沙末指出，农业部长达祖丁的蜳牞洞儿子餍廗于去年詙敢11月24日，公然聗缕擹在孂鴗国会憥蘬撦大殚緛厦范围内殴打他堈譇，虽然证据确凿，却迟迟不獜敐袈见总检察署展开行蓾茤袢动。他漎攺说，警方早丄冥峋在两个婄焆星期前，就鶵滐将此案姬拺鹿的调查报告提呈给总检察署，但总检察署直悵畯到现醱菭在都没衢襕有任何行动麰壕凜。“我玦饔淏苘袬獯们想知道到慌寬底臢茌是怎么翵阾潓一回事，涉案者又群邩凼会暔鼪在什么条文下矅阴被控。”新闻背景不鮇鯲繭满父亲被称“Sial”达祖丁儿子闯雟敮国会鮝淓追打卡立沙末！达祖丁儿子证实堷妟为闹事者之一薾抵誱 卡立：耆酚下午2躿喉时前不氮瓄曾自首就惕獯捉达祖丁儿子鑫蒕到警局自首 将被扣留调查"
yk13,20170116,"睁一只眼，闭一只眼MO1没说什么，下面的人是不会采取行动的"
jackygogogogo,20170116,"选择性提控。。。这样都不懂。。。不怪的希联不能执政"
mark,20170116,"它老爸是MO1的手下啊！！打狗也要看主人最后以被告有大好前途，所以无罪释放close case"
啊鸡啊做,20170116,"又不是林冠英。。 "
Hishammudin,20170116,"再催會不會換來case closed？"
loongken,20170116,"对其他人就窮追猛打。"
阿白,20170117,"再催，等下给你睡油桶"
BILLCLINTON,20170117,"打人无罪！被打该死！这就是马奶国会！"
yk13,20170117,"不如反对党也去国会闹场打架确定下警方是不是双重标准"
chtan69,20170117,"大马司法谁人不知根本就是笑话一个。国外对1MDB都开始采取法律行动了。大马根本就连提也懒得提"
lumixcer,20170117,"这么出脚，国家是不是需要更强大的反对党？"
frankling,20170117,"在这种国家里，讲的是不公义，护短，选择性执法，有钱人贿赂执法者所以他们犯罪却可无须承担后果。我呸！还天天用大喇叭大声的告诉全世界他们最虔诚。"
wlwl,20170117,"预料之中，如果被提控，也不会是那部长的孩子，有替死鬼咯"
wong23233030,20170117,"见怪不怪"
我是无赖,20170117,"因为你不是鸡哥河马的人，就这么简单"
vongolia,20170117,"我认为这里的法制机制有个问题，总检查署的权利会不会太大了些？ 他们如果选择性不公平的决定要不要提控，这样岂不是不公平？ 没有任何机制可以制衡他们？"
lam69,20170117,"总检察长阿班迪正在想要用什么堂皇理由来 Cover 这个罪行"
仓底货,20170117,"你知道我是谁吗？"
wong23233030,20170117,"打狗先看主人"
loongken,20170117,"给全民看看这班政棍无法无天的行为。"
肥仔聪,20170117,"位置调换的话情况也是一样的。。"
macdude,20170117,"别讲那些啦， 最重要这个月的薪水准时。。"
sleepingk,20170117,"好听叫做多重标准，不好听叫做狼狈为奸。"
Orochimaru,20170117,"如果是林神的话就很快啦，这种部长儿子应该是不了了之"
prince,20170117,"肿检察鼠忙着伪造罪证指控林冠英，西北不得空！"
quekjh,20170117,"那位种族歧视的总检察长不敢出声？？"
Longan,20170117,"总检查长 : 没证据证明犯罪. 林北主张case close."
