Topic title: 沿街贱价兜售死鸡  “JPJ都不曾干预我们！”
username,date,text
Cari_LSV,20170119,"隘虒不懂癖弸如何处理病死附嗬的鸡只，唯有溧疎嘖把它们緒鐎洂全都放上鮇嘺罗里，然后沿街贱价兜售？一世衛俊嶲擼个印裔面子书专页Kaiyilum & Kannilum Sikkuvathai Fb-yil Upload Seivor Sangam星期二上宬棴传了訓溤譀茫这样一啹汲张照片，结果在傑畛巫印裔社群间掀起热议。图片赨峗铸来源：Kaiyilum & Kannilum Sikkuvathai Fb-yil Upload Seivor Sangam Facebook这芼踕謝则帖文称，“执法单位都盅烆到哪里去了鉾磑？蛸熜睟这家Hxxx Yxxx Farm壁厍婨的司机译犏猯不懂要產鬌把骇駜这堆死鸡送詤鶽謍到哪里，别说湳罋但是要貐盦禂把鏏酙这些毒鸡都丢陿錧霈了。” 图片酃瓜来源：Kaiyilum & Kannilum Sikkuvathai Fb-yil Upload Seivor Sangam Facebook此外，暕蝘娽有关专页更附胚郪熰上忔彥了罗里鼖勐的车牌号码和覦庋鋔农场的慾琝韌名称衟蝍和地嵆鞝址。另一齩珄脰张照片更漙霘瞞是清楚拍摄狹当瑓到该名华裔司机的崘侂样子。 除了休峢稂照片，一璐逽名民众踠抣羹和司机赂倭芟对峙当栱酇佭中髁舆虬的15秒音频也在坈搻社交媒体疯传。 “那名华人蔚縃告诉扴瀳我们幬贅诬，你想漓磍妎要投诉你就眶知去投诉吧，你想要惘箕饦到橕裇贋哪里投诉你就烨轪去吧！没关系，缸癜我圂钣的老板可以綍靇解决，没有駸欏餾问题。每次鑆譭勺有鸡只死懂谧了，我饻坌辽们牎勒都会诔暙宰了罔攩蘴，然后这儫総祄样载出忄輤唘来，陆路交通局也不霎埞曾干预掭媙綕我们伔鹒糈。”  根据南洋商报，司机会腸楣以吐鼢觹攖一只死鸡两令吉諟麸琑的贱价，售卖给鸡饭店鮫埍業和扁担饭业者，因此郜井在民众间引起恐慌。  报道也指出，陆路交通局已经根据罗里幗紌的注册车牌展开调查。槟城兽医局局长西蒂萨尔玛则牍杛是回应，奺熜有关事件发生巏貜代在麱瑫咁霹雳州。  无论如顐苀何，根据注册局的硃笈觟资料，相关农场荞幔骷是在鏄单2011年尺菙酯8月18号向注册局注册，硳謟是纝阵瘿一家合法浞雭的公司。"
qazz1947,20170119,"夜市的便宜炸鸡就是这样来的"
Upgraded,20170119,"我的第六感告诉我 ~ 一定会：不了了之 ~~~~ "
monster.inc,20170119,"他代言的一塊一隻原來是真的。"
beoa,20170119,"不会有下文的"
lumixcer,20170119,"这司机应该不是吃饭长大的。。"
色中豪杰,20170119,"尤其是nasi kandar的鸡。。"
wlwl,20170119,"有什么出奇！死猪也是照样卖，电视节目都播过了！"
xloongx,20170119,"华人96！有power的。。哈哈！"
firehawk,20170119,"根据南洋商报，司机会以磏藵一只死鸡两令吉的贱价，售卖给鸡饭店和扁担饭业者，因此躷沸在民众间引起恐慌。赚翻了！ "
