Topic title: Youtube学医，自学牙医开业2年。
username,date,text
monster.inc,20170125,"http://news.seehua.com/?p=245099"
阿白,20170125,"我也要上youtube学做神棍了"
Jason929,20170125,"一起找個地方開檔吧"
JK's,20170125,"马来西亚蒙古大夫多的是尤其是中医。。。没出事，人人都还是医生。。。"
sm99999,20170125,"人才啊。当然，他的顾客是白痴。"
kennyteoh818,20170125,"都没出事.证明他很厉害"
JowY,20170125,"天才中的天才啊不對，不可能，政府大學裏面的馬X珠都是靠中立的固打才進到去的  馬X珠沒有厲害的人 "
chinapee,20170126,"PASAR MALAM 做乞丐吧。。 没人会抓的。"
yk13,20170126,"神奇的是两年以来都没人出事举报，证明他的医术高明，真是难得人才啊！！！"
小杨,20170126,"这10年来我的Youtube白看了 "
GiaWei,20170126,"佳礼义廉记者比较厉害，除了YouTube 还会去facebook，报纸网站 copy paste 新闻"
50packs,20170126,"人才呀。希望他去拿正式的文凭。一定要不错的作为。"
otkkalahteruk,20170126,"神手～～"
otkkalahteruk,20170126,"牙醫要念5年，如果數學化學生物不好，會念到吐血"
heme123,20170126,"开业两年没有意外出现。证明他是天才一个。"
Orochimaru,20170126,"牙医界的black Jack？"
Don2011,20170126,"马来人几时变得这么聪明？和中医学的吗？"
longisland0708,20170126,"學心靈法門，任你吹，只要一直屈人家就可以了"
阿白,20170126,"我想学有得双修的  "
BILLCLINTON,20170126,"还可以在cari招收神棍代理人，，一灯，bash，科蚪，jowy，tanxinyong，，，包你赚翻天！"
