Topic title: 调查报告：过半数大学新鲜人月薪低于2500
username,date,text
CARI_KJW,20170125,"一仒娒讛项调查报告显示，我洎蚹鼗竧咰国賭臖有超过一驝箕半荏狛睌的大概趖学賂芊欤新鲜举薤人，每个嶊鏛月只能领取低貳皮鍭于2千500令吉的螚塭狸薪资！根据马鄱赸来西亚怡安翰威特（Aon Hewitt Malaysia）所发布的洜羱嚑《2016赘鴐年薪金调查报告》，从事工音緸程、研发与项目管理领域的超嶛障大漍掸学扜叅新鲜人兺笗所领取鵵禌议的月薪最高，每个槍渱月可领取超过3千500令吉薪资。报告也揭露，大髄眝马雇宋鍏主愿意付出较高的騆竛薪资擻跊来聘请高科技銧摴产业专才，整体焌墳砛上来硤薽说，高科技产憍綗业专才的菒褴縉薪资比物业及建筑产懟譀哰业专才的料鏑沢薪资，高出僤譧訳了27%。而飒谘我国灃笠柆儘蹾韑在2016胋錹年呣贀褄的薪资增长率与往年冕嘏相比，也稍微下訨辫灟跌0.4%至5.2%。"
GiaWei,20170125,"那么长的报告，佳礼义廉记者连五个要点也找不出？"
hoongyin07,20170125,"别这样 "
jack249,20170125,"IT工作的fresh graduate确实比较吃香3年前我朋友fresh graduate就4千了"
coveygoay,20170125,"一般刚毕业投身生产业的总月薪大约只有RM 1500， 每年领13个月薪金。不知道这个报告是怎么做的？"
yk13,20170125,"第一份工我的薪水也才1900而已"
CjHyMC,20170125,"这份报告我找了大约半小时的Google，实际上所找到的就只是新闻稿而已。实际上整份报告他们并没有公开，要就是付费购买或者是和他们合作（提供数据）"
AMOS5566,20170125,"大學生普遍缺乏工作經驗，薪水偏低應該不是課題。 題外話~大學生和拿督一樣，滿街都是，今非昔比。"
GiaWei,20170125,"证明佳礼义廉资讯网吃免费餐后，还要拿人家的东西来骗点击率"
GiaWei,20170125,"人家的新闻稿，他们只翻译一点。不知道是翻译水平不够还是理解能力有问题。不过我认为两者皆是"
cleongsio,20170125,"居然還下跌，有沒有搞錯啊"
angrybear,20170125,"反正馬幣都不值錢了 薪水還不昇 就繼續人才外流 "
Nicheadison,20170125,"大家最爱看见的事就是这种。大学生要求高一点的薪水就酸人家狮子开大口，不自量力，等等。。。大家问问自己，是不是20年后到自己的孩子读完大学出来拿RM2500才开心？是不是20年后发现自己女儿的男友大学出来才RM2500才开心？物价一直在上涨，工资却一直保持，那些上涨的物价去了哪里？大家看见大学生拿RM2500很开心吗？我若干年前毕业也是拿RM2400，但我不会眼红现在的大学新鲜人拿RM3500（如果老板肯给）。因为我知道当时KL云吞面RM4.50可以吃到，MILO冰RM1.80可以喝到，现在云吞面RM6.50，MILO RM2.20。老板还经常问我为什么年轻工程师做两三年就辞职去卖保险，卖地产。。。"
BILLCLINTON,20170125,"这是真的，在马乃做医生，工资还不如在新加坡扫地的阿嫂！"
monster.inc,20170126,"典型chinaman 公司就是這樣的。然後這些人從chinaman公司出來，創業後也是一樣offer 人家低低。"
舞猫猫,20170126,"我看很多到现在还有人想RM1200请人工作的招聘广告 "
heme123,20170126,"市场是这样的luo。supply多过demand价钱就会贬值。demand多过supply价钱就会提高。这是基本的市场经济学。"
VINCENT@YONG,20170126,"走在路上大学生满街都是…一开口就要两千……哪一间公司会给哦！！？新手，实习生一般都是最低薪开始的说～我姐大学生 开始当实习生时才500叻，两个月后才升上1900，然后在半年现在近3000薪水了…跑地场+管理会场员工的～另一间大公司有意用4000+请她过去，需要从低做起…不是头头了><她还在考虑"
VINCENT@YONG,20170126,"问题是IT工作是最闷的><交际什么都没，还要天天对着电脑……久而久之人就变得很糟糕的……我也是it的，前段时间辞职了…现在都不敢找回it工作不过他的薪水真的很高…一般在3千以上～"
leouy,20170126,"看你什么公司，小公司都不定的，以后也不知会不会加多"
leouy,20170126,"大部分工资保留是肯定的了，现在经济都没以前好，工程师就另计你这个理由和公务员喊加薪是一样的"
coLa528,20170126,"double diploma holder...正式第一份工rm700左右吧...好不容易挨了要10年...现在2千多罢了...失败吖....不过目前的公司福利都不错所以现在为自己找更多找钱机会....不然就一世了"
180,20170126,"最大的问题是现在的年轻人都是草莓族。"
siewky,20170126,"搞到这地步，最大的问题不在于大学生的起薪。会有这么样的状况原因是我国已经陷入中等收入危机，国家的生产率超低，大量依赖低素质外来劳工，遇到问题就用“钱”来解决。想要成为高收入国，就先看看TN50做的如何。2020宏愿已经注定失败了。"
大赚小赔,20170126,"每每有这种帖子出现，就会看到一些人跳出来踩大学生。这些人通常都是没有大学文凭的，心里自卑，唯有透过贬低别人，来寻求内心的一点点安慰。这些人的口头禅是：大学生满街都是，没什么了不起的。现在大学生确实满街都是，偏偏你就不是，哈哈哈。"
小杨,20170126,"zomok酱鸡冻 他又没有指名道姓   难道你..."
prodigys,20170126,"每个利拜吗? "
天然夜行者,20170126,"大學文憑也要看哪一個科系的吧"
can_fei_ren,20170616,"薪水低是事实，主要老板抓住员工，付少少要求多多。"
kennyteoh818,20170616,"如果是小公司chinaman 公司。2.5k （不是salesman）已经是非常高的薪水了"
