Topic title: 纳吉拍广告贺农历新年  强调国家繁荣须“互相尊重”
username,date,text
CARI_KJW,20170126,"首相纳吉栔蒯佒于星期四（25日）晚峸瑮買上透过面子书发布了構蕂腞一祮你婈段长约1分鈁稳钟的鯁惿饀视频，提前祝国傤垲靬嵟蔰人农历新年壕靬快乐！纳吉在諵娣餹视频牽蛏中应景地焷鵦璾穿迦檷楅上红色衬衫，碑侎不仅与吉隆坡大熋憒鶗城堡慈爱福利暽飰中心内的泶钎长者刏畕枝一起捞阘薅生、欣赏舞狮表演柇螆楀以及拱猆大派红包，纳吉也在贱憵组视频絁斚伎的最后，以哲蒛一钡栱句“恭喜发财”向躧旦揔国屄梯乜人拜早鲴冯年。值得一璉竻舓提的霷梯是珅閼遢，纳吉也在婖绾视频里强调“互相尊重”的稙慘寴重蟉肔諗要性，表示族群间若互相尊重，那么大飛鋘粛马必定妫鈚寸会走向成功、先进与和穚鍉谐的棣埤洒道路。"
yk13,20170126,"那你promote355法律有尊重我们吗？拍新年广告有照顾到我们华人的感受吗？"
qazz1947,20170126,"鸡鸡哥做戏而已实际上是APA.LU CINA MAU? "
feilong,20170126,"关键是有些人觉得只有别人需要尊重我，我不用尊重别人。"
miloicekawkaw,20170126,"完全没看头 ………假到爆"
lhchew,20170126,"说一套做一套，如果说到做到，马来西亚可能有机会迈入成功、先进与和谐的大道"
vacheron,20170126,"鸡在鸡年拜年"
heme123,20170126,"纳吉就是只会做戏。假中立。"
寂寞的小子,20170126,"知道什么是三刀两面吗"
daimon,20170126,"叫它收皮啦"
kiatman83,20170126,"傻鸡贺年"
Wesley902,20170126,"那只鸡拜年"
adelinewcm,20170126,"那只鸡拜年+1"
adelinewcm,20170126,"假得要死。。。。"
sem,20170126,"开始时我还相信他，后来就知道是大话精"
使用者,20170126,"互相尊重：為何玩種×課題？互相尊重：為何×族擁有的特權不能與他族公平？互相尊重：為何不支持華小？反而狂建他校？你覺得你是尊重你自己？還是尊重人民？以上的問題，是我一直感到的困擾。尊重？什麼時候變成了，掛名詞？"
q(o_o)p,20170126,"天氣 熱，多喝水雞 拜年，要小心"
猴年馬月,20170126,"言行不一  表裡不一 上樑不正下樑歪 "
Quest716,20170126,"得把口讲，有做到吗。。。"
