Topic title: 【沙巴环滩岛船难】生还者送院治疗  肇事船只或非法出海
username,date,text
Cari_TBL,20170130,"一艘载有28名中国游客的快艇周六前往环滩岛（Pulau Mengalum）途中沉没后，搜救队成功救起的20名中国人在今天凌晨约2时将他们送到亚庇伊丽莎白女王医院救治。生还者都出现脱水以及严重晒伤的情况。同时送到医院的还有2名遇难游客的遗体，而大马海事执法局已确认他们的身份，但仍有1名遇难者的身份待确认。警方正继续进行海空搜救行动寻找依然下落不明的6人，至于最早被救起的2名船员正在接受警方问话。调查方面，除了天气恶劣的因素，警方也会从其它角度，包括人为疏忽着手调查这起船难的原因。与此同时，沙巴旅游局、文化及环境部助理部长彭育明表示，有关快艇违规，在没有获得允许下到丹绒亚路码头载客。他说，虽然船只拥有执照，而且设备齐全，但丹绒亚路码头是不能载客的，相信业者是因为哲斯顿城码头船只流量大，继而违例在丹绒亚路码头载人。这艘载有28名中国游客和3名船员的快艇是于28日早上9时从丹绒亚路码头出发前往环滩岛，在出发1个小时后发生事故。"
q(o_o)p,20170130,"在海上漂流一天了"
kingpower2016,20170130,"很多时候就是新闻被某单位掩盖。"
feilong,20170130,"看来马中八字相冲"
Orochimaru,20170130,"zomok交通部长阿廖没有出场说明的？"
kanwt,20170131,"落水后的游客发现船上的大部分救生衣已失效，只能勉强靠着船上仅有的5个救生圈求生。"
探险家,20170131,"上次去Tioman Island也是一样发现Blue Water Express Ferry超载, 外国游客还被逼坐在凳子上, 当时我都在想万一船沉也不出奇....."
yw98,20170131,"人口还是很多。。"
我是kelefeh,20170131,"中国人恨死马奶下料 "
prodigys,20170201,"后续呢？"
