Topic title: 人口红利假说 被马来西亚政府认真实行  将来是无穷的灾难
username,date,text
cct2050,20170131,"一个 1980 年代就盛行的假说，马来西亚有超过 5000万的时候，人口足够多就可以支撑内需，马来西亚就不需要依靠外销，不必依赖出口 ！传承自中东人口红利学说的马哈迪为首的伊斯兰权贵，一心一意增加国内人口，积极引入国外千万穆斯林进入，于是百万印尼穆斯林，几十万菲律宾穆斯林，百万南亚穆斯林，几十万缅甸的罗兴亚穆斯林，几十万叙利亚穆斯林，一批接一批的被有计划的引进来 ！不过发生在中东人口暴涨导致的缺水缺粮的现实情景，已经证明这个人口红利学说是完全错误的伪理论，伪命题 ！全球水荒2040年加劇 中東生靈塗炭更無休日http://www.storm.mg/article/64023中东人口炸弹爆了http://redchinacn.net/portal.php?mod=view&aid=30206欧洲难民潮只是中东“人口炸弹”的提前爆发 2015-09-06http://www.caogen.com/blog/infor_detail/72646.html"
kenny16031984,20170131,"之后MSL就会娶华人妹妹，用她们的子宫传教，华人将会在马来西亚灭种。"
一燈大師,20170131,"穆斯林生七八個。華人一直把讀了些不咸不淡的西方育兒文章，自我得意地 “重質不重量”，只生一個。馬來西亞華人滅亡是自己拿來的。"
Akira_sendoh,20170131,"早期是人口多，好用来打战，现在行不通了，没人骑骆驼打战了但是大批中东难民/移民涌进欧洲。成为公民的话还可以成为造王者，所以无耻政客都尽量拉拢这些低智商的家伙为自己的选举铺路"
cct2050,20170131,"现在不是讨论华人生多生少 （  你华人怎么厉害生也没有用，你生 6 个，穆斯林政府引入 30 个国外成人穆斯林 ）而是错误人口理论，导致生存环境日益变差，20年后就和中东一样缺水缺粮 "
一燈大師,20170131,"人口蓬勃，理應會提高國家的生產力，包括生產糧食在內。但這理論不適合用在一天消耗 5 小時左右去拜神 5 次的教徒人種。這些教徒人種一旦把自己區域的資源耗盡後，就會征服周邊區域來維持文明。"
一燈大師,20170131,"人口蓬勃，理應會提高國家的生產力，包括生產糧食在內。但這理論不適合用在一天消耗 5 小時左右去拜神 5 次的教徒人種。這些教徒人種一旦把自己區域的資源耗盡後，就會征服周邊區域來維持文明。"
cct2050,20170131,"土地有限水资源也是有限 （ 雪兰莪州不过人口 600 万，就常常缺水 ）一个地区能够容纳人口也是限制的高文明的人类可以通过创造和技术克服，缓和人口增加的压力低文明如伊斯兰，完全没有办法，只有通过发动战争和人口迁移"
q(o_o)p,20170131,"然後 lz 並沒有解決方案，自殺吧"
cct2050,20170131,"都说你的进回教 也是自杀"
q(o_o)p,20170131,"所以說没有差，如果走不出 馬來西亞，要嘛就進回教，要嘛就自殺，二選一"
一燈大師,20170131,"進回教，或自殺，都打擊不了回教文明的擴張。但是進了回教再自殺，就會直接打擊到回教了。"
坏孩子1989,20170201,"投行动党就对了"
cct2050,20170201,"行动党是檳城转变阿拉伯清真地域的推手"
q(o_o)p,20170201,"我不認爲 馬來西亞 的 回教+中東化 有阻止的可能，這是地理、氣候、人種因素決定的叫 中下層華人 進回教 或自殺，只是兩个比繼續上網鳥 回教 過得舒服一點的選擇而已"
一燈大師,20170201,"南北大道一路上，那幾十個黑 niqab 廣告牌簡直是中東化的象徵。"
q(o_o)p,20170201,"生命中無法承受的輕氣候中無法承受的熱"
一燈大師,20170201,"唯有皈依伊斯蘭，身心才獲得安穩。"
cct2050,20170201,"马来西亚在人口 3000 万的现在已经出现一大堆乱象人口 4000 - 5000 万，肯定出现大乱局，甚至内战"
cct2050,20170204,"朝野一起搞丹州鼓励穆斯林娶多妻多生育 2017年02月03日https://news.cari.com.my/portal.php?mod=view&aid=95544http://www.orientaldaily.com.my/nation/gn45635010495878"
cct2050,20170131,"一个 1980 年代就盛行的假说，马来西亚有超过 5000万的时候，人口足够多就可以支撑内需，马来西亚就不需要依靠外销，不必依赖出口 ！传承自中东人口红利学说的马哈迪为首的伊斯兰权贵，一心一意增加国内人口，积极引入国外千万穆斯林进入，于是百万印尼穆斯林，几十万菲律宾穆斯林，百万南亚穆斯林，几十万缅甸的罗兴亚穆斯林，几十万叙利亚穆斯林，一批接一批的被有计划的引进来 ！不过发生在中东人口暴涨导致的缺水缺粮的现实情景，已经证明这个人口红利学说是完全错误的伪理论，伪命题 ！全球水荒2040年加劇 中東生靈塗炭更無休日http://www.storm.mg/article/64023中东人口炸弹爆了http://redchinacn.net/portal.php?mod=view&aid=30206欧洲难民潮只是中东“人口炸弹”的提前爆发 2015-09-06http://www.caogen.com/blog/infor_detail/72646.html"
kenny16031984,20170131,"之后MSL就会娶华人妹妹，用她们的子宫传教，华人将会在马来西亚灭种。"
一燈大師,20170131,"穆斯林生七八個。華人一直把讀了些不咸不淡的西方育兒文章，自我得意地 “重質不重量”，只生一個。馬來西亞華人滅亡是自己拿來的。"
Akira_sendoh,20170131,"早期是人口多，好用来打战，现在行不通了，没人骑骆驼打战了但是大批中东难民/移民涌进欧洲。成为公民的话还可以成为造王者，所以无耻政客都尽量拉拢这些低智商的家伙为自己的选举铺路"
cct2050,20170131,"现在不是讨论华人生多生少 （  你华人怎么厉害生也没有用，你生 6 个，穆斯林政府引入 30 个国外成人穆斯林 ）而是错误人口理论，导致生存环境日益变差，20年后就和中东一样缺水缺粮 "
一燈大師,20170131,"人口蓬勃，理應會提高國家的生產力，包括生產糧食在內。但這理論不適合用在一天消耗 5 小時左右去拜神 5 次的教徒人種。這些教徒人種一旦把自己區域的資源耗盡後，就會征服周邊區域來維持文明。"
一燈大師,20170131,"人口蓬勃，理應會提高國家的生產力，包括生產糧食在內。但這理論不適合用在一天消耗 5 小時左右去拜神 5 次的教徒人種。這些教徒人種一旦把自己區域的資源耗盡後，就會征服周邊區域來維持文明。"
cct2050,20170131,"土地有限水资源也是有限 （ 雪兰莪州不过人口 600 万，就常常缺水 ）一个地区能够容纳人口也是限制的高文明的人类可以通过创造和技术克服，缓和人口增加的压力低文明如伊斯兰，完全没有办法，只有通过发动战争和人口迁移"
q(o_o)p,20170131,"然後 lz 並沒有解決方案，自殺吧"
cct2050,20170131,"都说你的进回教 也是自杀"
q(o_o)p,20170131,"所以說没有差，如果走不出 馬來西亞，要嘛就進回教，要嘛就自殺，二選一"
一燈大師,20170131,"進回教，或自殺，都打擊不了回教文明的擴張。但是進了回教再自殺，就會直接打擊到回教了。"
坏孩子1989,20170201,"投行动党就对了"
cct2050,20170201,"行动党是檳城转变阿拉伯清真地域的推手"
q(o_o)p,20170201,"我不認爲 馬來西亞 的 回教+中東化 有阻止的可能，這是地理、氣候、人種因素決定的叫 中下層華人 進回教 或自殺，只是兩个比繼續上網鳥 回教 過得舒服一點的選擇而已"
一燈大師,20170201,"南北大道一路上，那幾十個黑 niqab 廣告牌簡直是中東化的象徵。"
q(o_o)p,20170201,"生命中無法承受的輕氣候中無法承受的熱"
一燈大師,20170201,"唯有皈依伊斯蘭，身心才獲得安穩。"
cct2050,20170201,"马来西亚在人口 3000 万的现在已经出现一大堆乱象人口 4000 - 5000 万，肯定出现大乱局，甚至内战"
cct2050,20170204,"朝野一起搞丹州鼓励穆斯林娶多妻多生育 2017年02月03日https://news.cari.com.my/portal.php?mod=view&aid=95544http://www.orientaldaily.com.my/nation/gn45635010495878"
