Topic title: 是否加入了行动党？ 再益：下星期会解释！
username,date,text
Cari_PHJ,20170203,"再益依布拉欣是否已经加入了民主行动党？下个星期二自有分晓！前首相署部长再益依布拉欣今天上午于其面子书上发布直播视频，就近日流传他已经正式加入民主行动党一说表示将于下个星期二（7日）作出解释。再益依布拉欣在视频中说道，为了在第14届大选为希望联盟以及前首相敦马哈迪提供协助，他将会亲自上阵，而此之前他必须要先加入一个大政党。他指出，最近已经收到许多来电询问他是否加入，或即将加入民主行动党，他针对此事宣布将于下周二正式作出解释。据了解，再益依布拉欣将于下星期二连同前首相敦马哈迪、行动党领袖林吉祥以及行动党秘书长林冠英出席武吉加拉雪兰莪皇家俱乐部召开的记者会，媒体相信再益依布拉欣届时将会针对其动向作出宣布。"
GiaWei,20170203,"你的惊叹号强迫症已到末期了，快去求医吧"
apurumakke,20170203,"他的惊叹号有问题吗？"
GiaWei,20170203,"只有天天受惊的人才会如此滥用惊叹号"
apurumakke,20170203,"马来西亚的法律规定如果没有天天受惊就不能用很多惊叹号吗？"
假冒是神20,20170203,"马哈迪已经OFFER他几家公司当董事?嗯嗯嗯嗯嗯嗯嗯"
阿镖叔,20170203,"预料马来中立会大骂他是效忠华人的马奸，华人中立会去挖掘他过去几十年的谈话，然后添油加酱把他打成种族极端分子！"
oneoftheuser,20170203,"再益这种喝酒的马来人会有多极端？  "
kojin,20170203,"只要谁与火贱党（卖华2.0）结盟的话火贱党（卖华2.0）都会帮他们漂白白  安华、老马都被火贱党（卖华2.0）漂白了，等到鸡哥下台后或许就会帮鸡哥漂白了  以前安华、老马在坐大位时淋屎父子最爱骂他们，等他们离开大位后就来个拥抱再漂白，所以来日鸡哥下台后火贱党（卖华2.0）与鸡哥拥抱漂白也不会使人觉得意外  火贱党（卖华2.0）教会了我一件事就是没有永远的敌人只有永远的利益，为了利益可以跟魔鬼拥抱再漂白  "
阿镖叔,20170203,"华人中立肯定会鸡蛋里挑骨头把他打成极端，马来中立肯定会把他打成马奸！"
阿镖叔,20170203,"安华跟中立首相不一样，他已经为过去的错误道歉，也因此被中立首相和马来中立打成马来叛徒！老马没有道歉，我们支持老马打纳鸡但是没有支持老马当首相，这点跟支持纳菊当首相的中立公会是完全不一样滴！以前中立们歌颂老马英明神武，也曾经歌颂安华英明神武，现在老马和安华都失势了，他们就不在英明神武了，将来纳菊失势，中立们也不会再歌颂他英明神武，，纳菊失势后会不会被接受加入在野阵营？阿镖叔认为在野阵营不会接受他，因为纳菊根本是废材一个，他现在有优势只不过是仗着污桶这个平台，离开污桶纳菊就废物，只会拖累在野阵营完全没有帮助！"
kojin,20170203,"那你就等着火贱党（卖华2.0）为鸡哥下台后漂白白  等到老马成功推翻了鸡哥之后你们/火贱党（卖华2.0）绝对没有能力阻止老马登上首相的大位，你知道为什么吗？一个连副首相位子都不敢争的火贱党（卖华2.0）哪有能力阻止老马上位？？？  就像麻花（卖华1.0）那样无力阻止五桶  "
阿镖叔,20170203,"我们现在没有漂白老马，只是利用老马打鸡而已，不过老马跟纳菊比至少没有把国家经济搞的那么糟糕，这是事实，不算漂白如果纳菊离开污桶他根本就是废材一个，没有人会欢迎他，更加不会有人为他漂白！"
miche0724,20170203,"讲真，我希望这不会发生"
kojin,20170203,"UNCLE!请你不要那么幼稚好不好？在马来西亚只有马来人利用华人，什么时候轮到华人利用马来人？？？？？火贱党（卖华2.0）连副首相的位子都BO HOOD 争，还敢谈利用老马  505的时候包头党利用火贱党（卖华2.0）号召华人投票给包头党，结果是谁被利用？？？？当年淋屎父子狂鸟坐大位时的安华、老马、木有丁的时候也没有想到日后火贱党（卖华2.0）会为它们漂白，所以既然如此有谁会百分百确定日后鸡哥下台火贱党（卖华2.0）不会为鸡哥漂白白？"
阿镖叔,20170204,"所以中立的看法是华人必须乖乖让你的污桶利用就好？老马被火箭利用是你的中立首相说滴！中立首相说的虽然不一定全是事实，但是至少华人和老马可以互相利用如果有得选择老马当然不会选择这条路，只不过老马现在是枭雄末路，没有其他选择了华人和老马互相利用比中立公会被污桶利用好得太多，老马没有污桶的强势，他的党最多能削弱污桶，完全没有一党独大的本钱！"
kojin,20170204,"刮阵得不到10%华人票，只是你个人认为华人应该被五桶利用  老马被火贱党（卖华2.0）利用是你说的  ，你不是说火贱党（卖华2.0）利用老马来推翻鸡哥吗？  火贱党（卖华2.0）已经在505被包头党利用  ，对于此事火贱党（卖华2.0）从来没有向华人道歉！火贱党（卖华2.0）得到90%华人票却BO HOOD 争副首相的位子，还敢谈利用老马？火贱党（卖华2.0）得到90%华人票却在委屈求存、作贱自己、廉价抛售自己！不顾自己过去所批评的人物贪污腐败一律都可以结盟，难道你不觉得火贱党（卖华2.0）很便宜吗？  "
阿镖叔,20170204,"你的说辞跟中立首相和马来中立们的完全相反，你到底是不是认为中立首相在说谎或者没有见识？中立首相说老马被利用的报道需要放上来给你看吗？马来中立说505是伊党被利用，壮大了火箭削弱了自己，伊党现在只有14席，火箭当初帮伊党拉票赢得7席混合区，现在都是在诚信的手里。所以马来中立说伊党上当了，幸好包头迷途知返看清火箭不支持伊斯兰法的真面目，包头转而跟污桶合作，伊死烂法才得以实现！"
gaomin,20170204,"只有马来人利用华人，什么时候轮到华人利用马来人？我看，幼稚的是你吧，根本就是互相利用，就像阿里峇峇。"
科学就是未来,20170204,"他加入什么政党也好，都没有号召力，加入行动党也只是拿到华人票好处。应该加入诚信党，去跟回教党抢地盘，不要再来拿华人票了，去打马来票"
仓底货,20170204,"行动党如果收留他，那么可以改名叫环保党了。收集垃圾循环，那么环保，不叫环保党还叫什么？再说，这类垃圾都不知道能不能再循环运用？"
