Topic title: 马华：我们若有38国席　敢爭副首相职
username,date,text
abc74,20170206,"马华：我们若有38国席　敢爭副首相职2017年2月4日        （檳城4日讯 ）檳州马华联委会主席拿督陈德钦指出，如果马华像行动党那样拥有38个国会议员，马华也会堂堂正正向国阵爭取副首相职。可惜现在马华只有7个国会议席，根本是心有余而力不足。他反讽行动党，政治力量提升了，却没胆提升华裔的政治地位，如该党在雪州和霹雳州都拥有多数州议席，连副州务大臣职都不敢爭取。他透露，檳州马华主席职12年后回归本土，本土领导层首要工作是找回各区会失联已久的党员，以稳住基本盘。大会主席兼升旗山区会主席陈协成指出，檳岛就好比一个大选区，马华须积极面对挑战，吸引更多年轻人、专业人士、成功商人加入。晚宴出席者包括檳州马华妇女组主席拿督黄秀金、顾问拿督骆福汉、拿督郭家驊、副主席蔡天送、副財政蔡振川、前州议员拿督黎兆荣等。檳岛马华六区会包括升旗山区、武吉牛汝莪区、丹绒区、日落洞区、浮罗山背区、峇央峇鲁区。http://news.seehua.com/?p=247569"
quekjh,20170206,"哦，问过印尼仔了吗？？"
cyber20,20170206,"中立想要３8席等下个世纪吧"
wong23233030,20170206,"看清楚只是争取而已"
chinapee,20170206,"都7-11 了。。。 吹大点了无坏。。。"
alex2083,20170206,"卖华的话可以信，大便都可以吃了"
皇上爱皇朝,20170206,"他们想拿下1+3D执照吗  "
lam69,20170206,"去查查历史，1982，1990，1999，2003华人给你多少席，结果你做出什么 ？"
lim9999,20170206,"叫他去吃蕉吧"
完美@1010,20170206,"好像才竞选36席而已噢"
一燈大師,20170206,"看來許多火箭兵不敢罵林氏父子 bohood，唯有拿馬華來發洩壯大聲勢。"
chinapee,20170206,"2004 年有31 个。。。 不见他去巫统拿？ "
使用者,20170206,"我個人覺得沒機會。"
kmrddecade,20170206,"老老实实做事，不要一直大嘴巴"
loongken,20170206,"自己升官发财对华人一点用处都没有。"
feilong,20170206,"财政部长丢了，教育部长丢了，现在说可以挣副首相。"
paranoidx,20170206,"食懵你啦"
oneoftheuser,20170206,"白痴马华，行动党现在虽然也是废物，但是好歹他们也让华人当了高级行政议员和州议会议长，你们马华民政以前有这个本事吗？"
