Topic title: 中國還想買什麼。。。
username,date,text
畢畢畢,20170207,"中國還想買什麼，我們還有什麼可以賣。。大力支持政府政策，有利國家進步  "
畢畢畢,20170207,"我猜他們還想買間銀行玩玩。。"
pulauturtle,20170207,"把MAS买掉吧。felda也一起 买"
仓底货,20170207,"强国其实只有一个目的，就是买九段线。"
完美@1010,20170207,"最后目的：控制马六甲海峡+南中国海"
畢畢畢,20170207,"這兩件產品他們應該沒有興趣。。  "
畢畢畢,20170207,"九段線本來就是他們的。。"
畢畢畢,20170207,"檳城巴生馬六甲柔佛到已經入手了。接下來在沙巴或沙佬夜應該還要一個碼頭。"
仓底货,20170207,"等邪恶的人造航空母舰岛建好后就是，现在说什么都不是，米国就是怕输在时间上来不及阻挡邪恶的人造航空母舰岛。到时候全部九段线的人造岛建完后再部署核子武器，谁还能阿鸡阿左？"
完美@1010,20170207,"2020年内完成中国大统一 "
畢畢畢,20170207,"剩下太平島。。  "
白天发梦的熊,20170207,"最好把巫桶买掉"
仓底货,20170207,"不是空心菜的宝岛咩？"
畢畢畢,20170207,"賣一半股份搞聯合政府嗎？  "
pulauturtle,20170207,"这个根据历史本来就是中国的"
畢畢畢,20170207,"空心菜都不敢上島，怕被島上的綠皮紅心幹掉  "
仓底货,20170207,"历史只是跟我说谁的枪大枝就是谁的。"
kanwt,20170207,"建议把北婆罗洲卖给中国。。。"
仓底货,20170207,"你知道你在说什么吗？什么是宝岛？空心菜不在宝岛在哪里？"
kanwt,20170207,"他说的是太平岛。。。菜英文不敢上岛"
畢畢畢,20170207,"太平島！太平島！太平島！重要說三次！！！不是寶島  "
pulauturtle,20170207,"买下整个泰马边境,然后开条运河"
畢畢畢,20170207,"到時可以入贅中國公民  "
pulauturtle,20170207,"中国当时就是弱,现在枪大支了,他会拿回的"
畢畢畢,20170207,"這個不好，開了那條河我們大家一起死翹翹  "
Gnot,20170207,"中国人民共和帝国！！"
pulauturtle,20170207,"不会的。北马明天会更好。死的是新加坡  "
仓底货,20170207,"什么叫做枪大枝？小小一个钓鱼岛都拿不回还叫枪大枝？大俄帝国拿了太阳国的岛，太阳国 ek 都不能 ek 一声。"
畢畢畢,20170207," 這樣會被查水表的  "
kanwt,20170207,"世界已经发生翻天覆地的改变 甘愿给同文同宗的人统治好过被没开化的人蹂躏"
pulauturtle,20170207,"中国现在是不武力进攻, 也不让人进攻。但是中国经济进攻可厉害,日本倒了,美国日子也不远  "
畢畢畢,20170207,"你就不可憐可憐馬勞們嗎！！  "
pulauturtle,20170207,"买下马来西亚港口最好。买槟城港口及渡轮最好"
pulauturtle,20170207,"你放心, 小新如果看见情况不妙,自然会向中国下跪求请的  "
Barryliaozs,20170207,"他不用枪，用枪打回来的其他国家会有意见 ，所以他用银弹就可以解决了。"
pulauturtle,20170207,"这个才叫高招。你看美国的名声多臭  "
畢畢畢,20170207,"如果真發生我第一個入贅北婆羅州，然後再改嫁  "
kanwt,20170207,"你错了回看10几年前，日本曾经登过钓鱼岛你看日本现在还敢不敢登岛？我敢保证如果日本敢登岛，解放军立刻包围钓鱼岛。。。"
Barryliaozs,20170207,"共和又怎么跟帝沾上呢。中华帝国或中华大帝国就差不多。"
畢畢畢,20170207,"如果梧桐再執政多五年你的願望一定會實現～哈哈哈  "
pulauturtle,20170207,"其实我倒真的希望巫统再败家多几年到地球王子受不了的  "
畢畢畢,20170207,"我也是這樣想。。。    "
仓底货,20170207,"登岛就是宣誓主权吗？真的太笑话了。大俄帝国部署导弹在千岛群岛，太阳国 ek 都不能 ek 一声，这样才叫枪大枝。"
盡用話題,20170207,"还有很多经营不善的朋党公司。。不过，先派一个连的解放军來驻守一下。。以防老马的飞弹射错方向"
kanwt,20170207,"千岛已经是俄国领土了这已经无法改变的事实，除非俄国主动放弃否则日本想都别想。。。钓鱼岛根本就不适合人居住，如果登岛不是宣示主权是什么？中国要真正成为你说的枪大枝的话：还需要时间，等解放军造出6艘航母后，迫使日本无法接近钓鱼岛。。。现在中国已经开始制造第3艘航母了，而且是有弹射器的航母。。。估计2030年中国会有4艘航母"
梦想之追求者,20170207,"把布城卖给中国，变成马来西亚省就更好"
cct2050,20170207,"一大堆政府资产已经变相卖给中东"
猴年馬月,20170207,""
oyak5155,20170207,"钓鱼岛不重要，重要的是“琉球”。琉球地方长官学者到中国，已经开始沟通关于独立的问题，日本也开始指责中国支持琉球独立。有些事情只能做，不能说。只要琉球独立，钓鱼岛和日本屁关系没有，并且被锁死东亚东北角落。"
monster.inc,20170207,"去買緬甸的孟加拉。"
Longan,20170207,"个人猜测 : 油棕芭.一来棕油在大陆市场有需求.二来大片的油棕地若将来透过某种路径转换成商业地, 森林城市2.0, 3.0, 4.0,....财源滚滚来"
justebelmont,20170207,"演"
justebelmont,20170207,"已经经常在沙巴的沙邦加军港停泊了。  "
kanwt,20170207,"即便中国有和球独有所接触，可是想让琉球独立并不是这么简单的事情。。。还是中国自己增强实力比较实在点。。。  "
killbrick,20170207,"最想他们买马航。"
夜铃,20170207,"先把槟变联邦直辖区，中央有了主权就容易变卖 所以想成为中华帝国的槟州子民们不要反对槟变邦。"
kennyteoh818,20170207,"世界大战过时了。现在用买的比较文明。 中华大马。"
thunder,20170207,"多几年可能会组团来买春，如果马币好像劳塞那样一直跌!"
洗零,20170207,"大马6百万的亲中龙族就是阿中下一个目标奉劝大马龙族 把屁股洗干净点卖个好价钱"
Orochimaru,20170207,"不会啊，槟城会很旺"
麻辣哥,20170207,"目测马国国内版的亲中网友多得数不过来。  "
科学就是未来,20170207,"你太小看中国人了，他们早就组团去日本韩国买春，还贪你马币便宜来买春？"
cz_mineral,20170207,"希望中国尽快光复台湾"
feilong,20170207,"以前不文明时代就八国联军，现在就真金白银买。"
lokecl,20170207,"希望中国会把MAS买下来"
easywin3,20170207,"在泰国开运河成本太大阻力多。最新的计划是在我国东西岸开几个港口，建东西高铁运送货物，减低货物运送航程。这可比开运河简单可行多了。"
麻辣哥,20170208,"现在是货币战争，看谁的厕纸值钱。  "
麻辣哥,20170208,"如果新加坡和马来西亚都抱美国大腿，中国就会开通泰国那个运河，现在是新加坡和马来西亚各自中美之间选边站，马来西亚现在是抱中国大腿。  "
beyondseek,20170208,"請問你的中國大統一版圖是哪一個版圖?? 包括成吉思汗當時的版圖??"
h3op,20170208,"买起一个畜生"
完美@1010,20170208,"我不会历史。我觉得中国想要南海一带的周边国家 "
michaellmj,20170208,"买MARA吧"
thunder,20170208,"现在大马买春还不哈拉，等马币一直下，可能会变哈拉!  "
hong07,20170208,"不应该让琉球独立，而应该收回的，那是中国清朝失去的领土。（严格上说是清朝附属国）二战后，美国总统罗斯福曾经两次提过要将琉球交回给蒋介石，只因为姓蒋的没卵蛋要回。直到1972年美国静悄悄将琉球的管理权交给日本。听清楚是管理权，美国还没承认那是日本的领土。不管是美国还是日本都违反了“旧金山合约”，毕竟那是日本侵略的地方，是不可以再拿回的。"
仓底货,20170208,"难道现在南海建造的人造岛适合百姓居住？既然你已经认同强国的枪不够大枝，那么就没什么再有继续纠缠下去的理由了。"
kanwt,20170208,"南中国海南海小国要的是油田和鱼权，对于中国来说战略位置更重要，中国在南海掌握主动权就意味着掌握自己生命线。。。南海除了有油有鱼有航线之外，说白一点，如果有域外国家入侵的话!!  南海就是一道防火墙"
壬炜,20170208,"就等一下吧，槟岛东北的填海小岛北半部都谈妥给它买下了！"
easywin3,20170208,"所以那些说马来西亚要破产的伪专家都只是片面之词，只是从国家经济角度评论，没有概括政治因素，不准确且误导人民。"
麻辣哥,20170208,"是的，新加坡越亲美，中马两国就越亲密，中国跟穆斯林国家打交道，经验丰富，像那个巴基斯担就是，国与国之间的政治利益往往超越宗教利益。"
pulauturtle,20170208,"如果中国把槟城买下是好事"
look586472,20170208,"槟城当初能发展是因为加入了全球PC生产的供应链，有很多为PC制造零部件的工厂。但是现在的新兴产业 产业链极短，而且基本在地化，比如FB，google，阿里等。而手机供应链基本被中日韩台瓜分，没有东南亚国家的份。所以槟城和马来西亚就都陷入发展瓶颈。所以主动寻找自己的城市为全球消费者服务的定位比被谁买走更重要。"
easywin3,20170208,"把槟城买下然后搬一千万中国人进来，你能做的他们也能做，你不想做的不能做的他们也能做，你有能力跟一千万人竞争生存吗？"
s2143,20170208,"还有很多啊。proton，tm，tnb，petronas等。"
s2143,20170208,"你要去卖吗？"
Anna520,20170208,"先把亚洲买了。。。再进攻欧洲～"
洗零,20170208,"所以一路走软的马币最大的得益者是中共"
sleepingk,20170208,"他们很喜欢鸡和河马，没有它们，他们没法买。"
oyak5155,20170208,"谁告诉你有1000万中国人要移民马来西亚？你怎么不说5000万1亿？"
畢畢畢,20170208,"老馬以前說我國要有5到7千萬理想人口，現在才3千5百萬所以可以進入大概100%3千5百萬。。"
畢畢畢,20170208,"中國幣也是下滑，但是用美金買就大賺很多，你知道在馬六甲沿海處被誰買去一大片繁榮土地嗎？"
畢畢畢,20170208,"笨蛋他奶逼已經完蛋料。。。"
畢畢畢,20170208,"檳城有反對黨比較難，馬六甲就可能而且已經動手了。。。"
壬炜,20170208,"你是说槟城是由林氏父子皇朝所有的？一个大口鼠已经够乱了，还加上个激动的老番颠啊！http://www.thestar.com.my/news/n ... ment-of-journalist/"
easywin3,20170208,"一千万只是个比喻，你的智力如此理解，我就无语了。如果你只是要强辩狡辩，你慢慢自个儿说个饱。不奉陪。"
pulauturtle,20170208,"可以的。死的是马来至上的种族份子而已"
XHunterOz,20170208,"买官  。。。"
mchen3389,20170208,"商场讲的是实力，你可以买人家，人家也可以买你。。。别那么小家子气，你买英国公司可以意气风发，落难了，也要放得下。。"
s2143,20170209,"1000万，500万，100万，50万，对马来西亚的影响是不同的。就比如你明天中万字1000快，1万快，10万快，100万快对你而言是不是不一样？1000快吃几餐就完了。1万块可以换手机，换pc，买一些家具。10万块可以买车，100万可以买一栋房有一样吗？"
类一凡,20170212,"马六甲海峡的地位其实对中国来说已经没那么重要了。根据推测，未来中国应该会在越南，菲律宾或者砂沙有更多的投入。"
Orochimaru,20170212,"下一个目标应该是大马邮政， 可以整合支付宝以及淘宝货运"
