Topic title: 传中国吉利汽车 成普腾技术合作伙伴
username,date,text
合气求道,20170207,"（八打灵再也6日讯）中国汽车制造商吉利汽车控股有限公司据说成为国产车制造商普腾控股有限公司的技术合作伙伴。此外，据悉，普腾控股已对其高层进行改组，以准备迎接新的技术合作伙伴。为此，据称，这些改组包括首席技术员阿都拉萨慕沙将接管该集团的销售支臂Proton Edar私人有限公司，以促进销量。阿都拉萨将会取代Proton Edar的前首席执行员罗希米沙菲益，后者已被重新委派在普腾另一家子公司担任要职。新的首席技术员据说是一名前任英国莲花集团的高层。这些改组经已生效。据消息人士指出，法国PSA集团（欧洲次大汽车制造商，生产标致和雪铁龙等名牌汽车）也在普腾总部积极展开尽职调查工作。然而，消息来源表示：“在两者之间，吉利似乎表现出更大的兴趣。两者都忙于它们的尽职调查。”据了解，吉利和PSA皆希望能收购普腾位于丹绒马林汽车制造厂51％股权。而大马政府已批准外资拥有汽车装配厂多数股权。大马汽车研究院首席执行员拿督迈达尼萨哈里透露，普腾的丹绒马林工厂是进入东南亚汽车市场的宝贵资产。他说：“丹绒马林工厂是普腾最优越的资产之一。普腾的任何新技术合作伙伴都可以立即使用普腾的品牌来生产汽车，它可以作为它们在东盟的制造中心。”迈达尼补充：“除了制造厂外，普腾自20世纪80年代初以来一直活跃于汽车市场。它很了解东盟购车者的要求。”关于普腾高层关键人物出现变动，他认为，让阿都拉萨领导销售团队可以局部帮助集团将月度销售目标提高至每月1万辆汽车，以及配合最近作出的技术改革将该品牌推向市场。迈达尼称：“该汽车制造商对其汽车进行了大量的技术改造，而阿都拉萨被调任到那里，可能会发出关于其最新技术的消息。”来源：光华网坊间传言是收购叻，而且老马哭惨了。"
qazz1947,20170207,"日本人、法国人、英国人、现在又要找新床伴。这个proton不知道有没有用套的"
科学就是未来,20170207,"只有中国公司才会无顾虑收购，他们很多行动是包含政治考量，而不是单纯商业。反而PSA 是完全商业考量，PSA 会更加要求对proton 公司的控制权力，而中国公司可能在这点会放宽。"
kennyteoh818,20170207,"中国会买这个烂牌子。背后一定有故事。"
morris43,20170207,"如果真是这样当然要卖给PSA 一了百了 反正由马乃把持永远赚不了钱 卖给老共尾大不掉 不管赚不赚还是一直要由国库输血"
princeforlan,20170207,"例如 买破桶得马新高铁？"
johnlow,20170207,"大马汽车研究院首席执行员拿督迈达尼萨哈里：“除了制造厂外，普腾自20世纪80年代初以来一直活跃于汽车市场。它很了解东盟购车者的要求。”这是张眼说瞎话的典型列子。如果普腾了解购车者的要求，它的销售额就不会一年差过一年。"
kingpower2016,20170207,"如果是收购 与合作有分别。。。收购的话，连proton的制造厂地技术一并收下。。。中国企业欧美的车厂都有份，这小意思的车品牌怎么不会要呢。东南亚很多人都许要这类的车款。"
仓底货,20170207,"51% 股份控制权。地球王子是不是真的舍得？"
Orochimaru,20170207,"不是收购meh"
SilLyPanDa,20170207,"它真的可能了解购车者的要求，但就不停做出否认的策略"
feilong,20170207,"中国产能过剩，本土经济开始瓶颈，必须转型。东南亚市场庞大，再贵也要买，再贵也要投资，最重要就是走出去。"
pulauturtle,20170207,"赶快把老马的班子赶出局!"
kanwt,20170207,"意思是说 proton会变成中国车？是不是这样的意思。。。"
kanwt,20170207,"我认为吉利看重的是proton背后的“花花”。。。"
gaomin,20170207,"这不是舍不舍得，是还顶不顶得。"
Xounds,20170207,"去4吧，破捅败家。"
oyak5155,20170207,"中国去年销售了2800万辆汽车，普腾再厉害也卖不出零头。东南亚市场大，还不如去印尼设厂。吉利看中的是Lotus，不是普腾。"
我是无赖,20170207,"老马出局后的第一件大事 "
cyber20,20170207,"Lotus也是吃老本而已"
kanwt,20170207,"Lotus是proton的一张王牌，如果没了这张牌proton基本没什么东西是值钱的了。。。老实说lotus本来就属于人民的，是人民帮proton买单的。。。  "
cyber20,20170207,"proton值钱的是政府的津贴"
feilong,20170207,"关键是印尼没马来西亚那么多东西可以卖"
feilong,20170207,"莲花跑车那么冷门，况且他的技术也不会太出众，吉利都有了Volvo核心技术，莲花跑车技术没什么软用。"
mchen3389,20170207,"有买家是好事，能买成是喜事。。不能人民就成一道一牛多吃的大菜。。慘。。。"
洗零,20170207,"阿中就是呆眼睛就只看销售量你只能是个销售员但永远不能做企划大马可以说是同是拥有海洋霸权和陆地霸权的国家大马薯头链接亚洲内陆薯身一边链接中东欧盟一边链接中国薯尾更是新加坡不过最得天独厚的是大马番薯体型够圆够小够集中所以造就物流快速成本低在战略上又够中心只要在大马设立军事基地基本上就是一举反三同时钳制泰国印尼越南甚至菲律宾再加上大马拥有六百多万的不掺水的亲中龙族所以2017年撸起袖子要乱干宇宙的阿中不拿下大马 我真的找不到理由"
Orochimaru,20170207,"合作伙伴就没有意思鸟，都换过一大堆啦，之前写买下还以为是真的 -0-"
神垂死,20170208,"proton除了copy cat技术还有其他技术咩，中国素山寨大dog，cat跟dog一起copy合作愉快~"
cct2050,20170208,"东协市场不小"
cct2050,20170208,"还没定案"
50912cmea,20170208,""
蓝火爆,20170208,"你真正了解莲花吗？。。。。"
JowY,20170208,"那天 fb 看到專頁寫 納吉 敗家子敗掉 proton，讓大家有多年感情的 proton 被買掉了！我差點噴飯華人給林吉祥馬哈迪這兩條友真的是搞到精神分裂了，呵呵"
使用者,20170208,"現在是。。。吉利搞扑騰？還是扑騰搞吉利？"
大炮勇男,20170208,"扑腾搞吉利，是不是在搞扑吉啊？！"
BILLCLINTON,20170208,"你在fb看到一条新闻，就当是全体华人也一样，看来你真的是被蚊子党阿neh搞到，，神智错乱，是非不分，黑白癫倒，慢点会不会跑到tampoi去住？"
才子不才,20170208,"吉利应该还未见识地球之子的效率。haha不过马来西亚人只买日本车。吉利应该去印尼菲律宾开卖。"
JowY,20170208,"你不傷心嗎？你親愛的馬哈迪的普騰也"
lh2006827,20170208,"吉利应该看中的是Lotus，之前还有过吉利收购Lotus的传闻。现在Lotus已经确定在中国合资成立金星莲花，在福建建厂造车了"
BILLCLINTON,20170209,"怎会伤心nia？你以为个个都像你酱，为个阿neh痴狂，为粒蚊子党流眼泪！"
JowY,20170209,"你也支持馬哈蒂普騰撲街？ 很好"
s2143,20170209,"中国买了那么多马来番的土产。那一条如果这群马来番不认账，中国会怎么做？经济制裁？还是直接打"
