Topic title: 取缔猪毛漆刷五金店业者遭殃  民众：五金店也要分Halal！
username,date,text
Cari_LSV,20170207,"经常鬱覞巍用来侅鞰粉刷房子潽隅的油漆刷子是棌崁用罌梋猪毛做成的粐騤？！马碐探来报章日前爆出了鹐宆这港鋟则新闻后，贸消部开始大辗賟桖肆取缔五金业者，充公覥栧剳了不紋碇少“猪毛刷”，让业者叫苦连天！檖悑莂不过，在薑殫巫裔看淟鏓梆来，吵怢蕻这样的搰惊风波，究竟会壋喕豧况鏀对素廲他鳱务沎们造成什么样的歛勫胜影响？"
cct2050,20170207,"清真 清真  蒸死自己"
总司令,20170207,"怕条毛哦。"
awek-pegang-babi.jpg,20170207,"什么时候取缔猪肉摊，猪肉餐馆等等？"
feilong,20170207,"没事找事，猪肉商碰过的钱在市场上流传，那要怎样算？"
khteoh2001,20170207,"这次果然没有用生殖器官来思考问题了！"
cikmekyee,20170207,"蠢的人做的，全是蠢事，干嘛要提这种事？我的家，漆，全是用猪毛漆扫油的（当然会有猪毛黏在漆里），现在怎么办？要把墙拆掉吗？不然，我岂不是要跟猪同住。"
gaomin,20170207,"他们憑什么充公这些刷子？"
Doraemon,20170207,"用这个课题来盖掉RM0.20 油价涨价课题，biasalah.... malaysia... "
素还真,20170207,"某牌子的猪皮鞋子呢？"
浴血天使,20170207,"用这个课题来盖掉RM0.20 油价涨价课题 +1"
phoi86,20170208,"也有的商家也肯能在不知情的情况下进到的。。。叹气"
jetfighter135,20170208,"弱弱问一下，我以为只有食物才分halal tak halal他们有吃猪毛漆吗？唉，都是同类，何苦为难自己的同类呢？"
yk13,20170208,"人蠢无药医。。。"
metis,20170208,"看來我以後新年還是別招呼神教徒上門了，免得被人說我的房子油漆不清真侮辱神教"
nyluon,20170208,"越來越sesat 了。"
monster.inc,20170208,"很简单而已，全部五金店都贴上non halal就可以了，"
梦想之追求者,20170208,"一个吃饱等着生大病的国家经济教育交通贪污。。。一堆大问题不去理会只会一直在乎东西名字用品halal不halal玩这种宗教课题"
JK's,20170208,"血库要等到什么时候才分类清蒸与非清蒸？？"
quekjh,20170208,"吃过猪肉的不能捐血"
kennyteoh818,20170208,"迟点汽车摩多也要清蒸了。honda halal,toyota halal. 牌子也不一样。"
仓底货,20170208,"猪毛刷搞到全城戒备，看到某间 Mr DIY 开始整理漆刷了。现在邪教发展到取缔面包店的蛋刷是否含有猪毛。除了五金店，西饼面包店将是下一轮的邪教牺牲品。"
lam69,20170208,"最好弄死他们（马来回教徒）自己。自己挖坑埋自己。"
Hishammudin,20170208,"人民真的再窮也不能窮清蒸？還是有心人故意transform他們視線？"
猴年馬月,20170208,"挑三揀四，雞蛋裡挑骨頭；乾脆自己開一間有清真認證的漆刷連鎖專賣店好了。 "
miche0724,20170208,"真心要求缴税的时候，也一定要分清真或不清真"
seankaz,20170208,"越来越无言了，这样的执政手段 如何服众"
猴年馬月,20170208,""
颓废猴,20170208,"new balance,你们还不把pin skin 鞋子下架！！！？不用感谢我tixing！！"
morris43,20170208,"现在经济状况不致于要开始集体催眠自己 好好想辨法还国债还有黄金铁路 还是可以用解决国家问题的方式继续执政 为何偏要用这种逃避的方式呢"
amadeus82,20170208,"妈的，又没人逼你买，这个伊斯兰宗教法，超级可恶http://amadeusbv.blogspot.my/2017/01/blog-post.html"
kingpower2016,20170208,"猪肉商的钱这真的不能进mbb, rhb, bsn, cimb了。。。"
鹰扬万里,20170208,"也有用nylon制造的只是没标签清蒸或取得清蒸许可执照也不能算是清蒸用品"
使用者,20170208,"這回是深度思考。。。豬毛。。豬毛！意味著 陰毛！陰毛！"
chtan69,20170208,"干脆不做它们神教的生意吧。越来越过份了"
hangz81,20170208,"政党都在争相p回徒lp，比回教化国家这是意料中事而且会陆续有来"
crazeqq,20170208,""
sweety1982,20170208,"为什么厕所没有分HALAL的？你吃猪肉，小出来的尿很肮脏。。。。。要分就彻底一点嘛。"
tickyeforum6,20170208,"那买猪肉找回来的钱怎样分清蒸？"
wallas,20170208," 原来那些刷有用猪毛做的，我一直以为是塑胶材料之类的"
Takashi,20170208,"惨了！全国的回教堂要拆掉了，因为墙壁是用猪毛刷油漆的！"
探险家,20170208,"以前我国的海岛到处有半裸体的外国美女游客, 一直以来都没有任何行动, 直到有人放上网.....同样的贸消部会不知道产品的材料?宗教判官才是最大的原因....."
Wesley902,20170208,"摆明就是要找华人麻烦"
weiwei318,20170208,"强烈建议某族不要出来社会，因为社会很多猪元素不想伤害到他们的心"
sleepingk,20170208,"猪毛的卖一块，halal 就 10块。简单。"
Botty,20170208,"各位朋友，一门好的生意和一个崭新的部门将要建立。1）Halal的漆刷生产工厂。如以上短片所说，就算再贵，穆斯林也只能用这种漆刷。就算RM500 一把，谁敢不用？此非暴利，何为暴利？2）清真用具鉴定局，以鉴定所有物品（非食品）必须符合伊斯兰教义。到时雇员必需是穆斯林，甚至是宗教司。由于物品繁多，雇员人数1到2万少不了。如此一来，解决失业问题和经济低迷问题指日可待啊！"
Diend,20170208,"如果真的是有猪毛出个通告实行在数月内把刷分类好了，更本不需那么突然就上门充公。竟然都不hala的还充公收在货仓那岂不是属于不符合教义了吗？我就不信他们充公了马上拿去烧毁咯。之后要这怎拿回那些货心照吧"
daimon,20170208,"好像商場的鞋墊， 球鞋如果是用豬皮做的會包起來，然後貼張 註明是豬皮的鞋子"
Eni@cari,20170208,"我的血不哈拉的哦。能捐血吗？"
quekjh,20170208,"政府应该全面禁止Made in China进口到大马。。。。。"
morris43,20170208,"另一个问题是马乃有法令可以充公不哈辣的东西吗"
sm99999,20170208,"墓死淋应该全部搬到火星上面去住，哪里全部都是halal的，随你们玩。"
frankling,20170208,"所以特朗普當選也是受到全世界非邪教徒的讚賞的。"
岃,20170208,"要计较的话不只五金行业, 文具糕饼业者也受牵连, 也别忘了有些工厂机械也会用到毛刷之类的."
beoa,20170208,"国家领导也得清真。（包括其行为举止）"
Orochimaru,20170208,"五金店要申請halal執照？？"
福气又安康,20170208,"我想这种取缔不合法的。法律上应该没有一个条例让这些东西被充公。五金店把含有猪毛的漆扫摆出来卖，就好像超市把啤酒放在柜子上摆卖。如果因为这些漆扫而对商家采取行动，那干脆把全国的超市取缔算了。把全国的啤酒和猪肉和任何不清真的东西充公。"
Barryliaozs,20170208,"三四十年前的马来人真的开明很多，懂得做自己。现在的呢。。。拿上次热狗的事来说，即便觉得没大碍只是名字而已但面对宗教的事不敢提反对意见。"
