Topic title: 我愛伊黨之『沙登伊青团抗议．比基尼摄影赛取消』
username,date,text
一燈大師,20170208,"沙登伊青团抗议．比基尼摄影赛取消（吉隆坡8日讯）随着沙登伊青团公开抗议，万宜长城水上乐园（Bangi Wonderland）原定于这个月举行的比基尼摄影比赛宣告取消。该乐园今日在脸书专页上发帖文，指主办方ICreative Event有限公司已决定取消这场摄影比赛。根据网络媒体《马来邮报在线》的报道，上述比基尼摄影比赛是2017年大马国际超模比赛的其中一个项目，20大选手中无人是穆斯林。I Creative Event有限公司也拒绝回应此事。沙登伊青团昨日针对比基尼摄影比赛进行抗议，指这违背了马来居民占大多数的万宜，所秉持的价值观。他们也极力要求州政府与联邦政府，包括相关伊斯兰执法单位与地方政府阻挡上述活动的进行。*******************************這就是 PRU13，『月亮代表我的心』的禮物。N26 BANGI Jumlah Pengundi: 53,268 Mohd Zaidi Md. Zain @ Zakaria (BN) - 17,362Mohd Shafie Bin Ngah (PAS) - 29,200MAJORITI: 11,838 Jumlah undi: 47,016 | Peratus mengundi: 88.26% | Undi rosak: 454 ********************************"
yk13,20170209,"不要假假，是男子都是好色的"
bcteh,20170209,"火賤在洲政府要防止伊党做坏事.出事時，就像马华把龟头缩了.不像救国老林英雄，被赶去停车场喝酒也可庆祝勝力"
leouy,20170209,"不知反伊斯兰的团体怎么看，伊党口中不反伊斯兰的麻花就没关系"
一燈大師,20170209,"火箭說即使和 PAS 切割了，但留在雪蘭莪聯合政府是為了制衡 PAS，不讓 PAS 亂來。現在火箭當家不當權，國會議員和州議員白拿薪水，不出聲，不反對，不捍衛雪蘭莪非穆斯林族群的需求。KEPUTUSAN RASMI #SPR #PRU13 NEGERI SELANGOR !!! #GE13PARLIMENBN - 5PKR - 9DAP - 4PAS - 4DUNBN - 12PKR - 15DAP - 15PAS - 14"
ray34,20170209,"好无能的麻花不可以投国镇"
bkkt09,20170210,"不是说伊刑法是伪命题吗？为何会有比基尼摄影赛被取消的事件？dap 刘镇东是否该出来解释下"
一燈大師,20170210,"火箭贏得雪州最多州議會，可是卻不能做主，不敢出聲。火箭愧對雪州萬千華社選民。"
孔子训话,20170210,"它娘亲的沙登伊青团，你这妖孽应该要做的是禁止比基尼在马奶出售！！"
一燈大師,20170211,"火箭沒有阻止，就代表火箭認同 PAS 是做好事了。"
