Topic title: 繼美國、新加坡、中國後，現在連 Swiss AG 也說 Najib not a suspect
username,date,text
一燈大師,20170208,"美國司法部 DOJ 不捉 MO1，新加坡視 MO1 是受害者，捉幾個銀行經理了事，中國甚至不管，還和納吉簽署了 1436 億雙邊貿易，輪到最後大家寄望的 瑞士 Swiss 總檢察長也為納吉洗白，說納吉不是 1MDB 事件的嫌犯。 http://www.reuters.com/article/us-switzerland-malaysia-investigation-idUSKCN0VB2LJSwiss AG: Najib not a suspect in our 1MDB probe - MalaysiakiniSwiss A-G: Najib not a suspect - Nation | The Star OnlineSwiss say Malaysian Prime Minister Najib not accused in 1MDB probe - Reuters**********************************謝謝 瑞士 Swiss 總檢察長的精明調查，還馬來西亞首相納吉一個清白，馬來西亞全民感謝你。#難怪林吉祥pusing請納吉救國#來收拾火箭破壞國譽的爛攤子#respectmyPM#makeMalaysiaGreatAgain#redbeanGGjor"
miche0724,20170208,"应该是陈金隆"
siewky,20170208,"这就是“放长线钓大鱼”，在处理高度据权人士的案件都是错中复杂，不可能像是一般案件处理。"
一燈大師,20170208,"別自我安慰了。希拉里用自己電郵而已，都可以搞到『電郵門』被法庭出 warrant 給 FBI 深入調查。這證明約有高權力的人士，調查越緊密。納吉如果涉及，早就往納吉查，而不是其他公司的股東了。"
空中说话,20170208,"巫统人可以大作文章了。"
prince,20170208,"没什么好稀奇的，所有文件和盗款都是刘肥仔帮它处理，那贼只是幕后指使，然后再把款项汇入那賊的户口，所以表面上那賊没有直接参与，这种方法我都会啦。"
一燈大師,20170208,"幕後？好像 The Lord of the Rings 的魔戒指使那樣嗎？哈哈哈。    "
morris43,20170208,"还是再换个id吧 不然现在只当笑话看 没法洗脑了 完全没说服力"
guang,20170208,"管他是不是suspect1mdb就是个烂摊子，亏空了那么多钱（各国调查中），还要是under财政部，身为财政部长和整个计划发起人的他怎样都要负责任就是了"
syncsq,20170208,"一年前的新闻当现在的新闻来开贴，江夏马华仔最近要meet kpi 是吗？ 本来拿以前的东西来翻炒也是无可厚非的，但是标题和内容就不要骗骗骗咯，以为每个人都跟马华仔一样笨的咩。"
syncsq,20170208,"马华江夏仔很多ID啊，不同的ID，不同的角色，不同的风格，有时还自己跟自己对话呢。"
chtan69,20170208,"老师都有教说不要讲骗话了。讲了骗话迟早还是会被揭穿的。看。。。看，中招了。被人揭发拿旧文来骗吃了。唉。。。衰了咯。"
laith,20170208,"下次做好功課，重複溫習念幾遍，才發帖吧。"
一燈大師,20170208,"納吉和公司是受害者，希望各國調查揪出犯人。"
一燈大師,20170208,"以上全部國家都在去年發生的。"
guang,20170208,"所以你赞成，他们不需要负上任何责任？"
一燈大師,20170208,"2017 了，你有新的 AG 文告指控納吉嗎？"
一燈大師,20170208,"受害者的責任就是協助調查，幫助捉犯人。"
guang,20170208,"除此之外，身为公司总负责人、策划人，用人不当导致公司损失，也需要负责任的"
一燈大師,20170208,"那條法律說？    "
一燈大師,20170208,"火箭的商業奇才也算是炒新聞 meet Rocket KPI 了。"
guang,20170208,"法律的确也没有这样说反正大马也就这个样子了，道德、良心、智慧也都不存在了"
syncsq,20170208,"马华江夏仔好像没有跟老鸡鸡的剧本走哦，这样会扣 kpi的吗？http://www.swissinfo.ch/eng/corr ... es---again/42585152"
laith,20170208,"你都會說了是去年的事。Move on please."
梦想之追求者,20170208,"哈哈哈哈，2016年的新闻也变成现在了......多么希望还是2016年啊......."
一燈大師,20170208,"黑白照片年代的陳東海，火箭迷還整天說呢。1MDB 事件必須還首相一個清白。"
一燈大師,20170208,"還有 “原則” 和 “黨魂”，也被丟完了。"
prince,20170208,"马币大跌是事实，刘肥仔逍遥法外是事实，那賊是始作俑者也是事实。"
Weewee,20170208,"楼主这样交差，你的主人会相信你干得好？对于这样子的帖，如果你主人也相信，并且奖赏你的话，证明你与主人的智商也不过如此。。"
Ex-5th,20170208,"好开心啊，至少是正面的新闻。马币今天会上吗？"
