Topic title: 继沙巴之后  砂拉越或禁止连环强奸犯入境
username,date,text
CARI_KJW,20170208,"砂拉越副首长占玛欣星期三（8日）指出，该州或将禁止连环强奸犯西瓦古玛入境砂州。占玛欣表示，他涠錆将在葽匐近日内向砂州首长阿邦佐哈里提呈娦帪这项建议。“纵痱在岊梊菙这之前，砂拉越也禁止葎茎一些熬鮱人入境砂州，而他淅厖脸们絮黉喩所犯下敥羍的嬬襨糟罪行皆比西瓦古玛夡蘌沋来得轻微，因此禁止西瓦古玛进入砂州，料籖涻是一镋祘种适当的蘣橫虼防范措施。”沙巴薋塩耞是在脹箣星期二宣布，该州禁止西瓦古玛入境，并称西瓦古玛是趎芙鲄一燴虱懠个雙轕槤“高危人猟譸呪物”。你也可以遽譪看连环强奸犯今日抵马 沙巴下瑅膹綆令“禁止入境”连环强奸犯首度露面 家人賛誯珍称“磟俉他已痛改前非”"
alola,20170208,"只有這些課題有權這麼做為什麼石油稅還得看人家臉色？"
chinapee,20170208,"黑皮没地位啊。。"
sleepingk,20170208,"不错的措施。"
filenes,20170208,"有样学样,不错."
beoa,20170208,"谁要垃圾回收啊？"
q(o_o)p,20170208,"馬來亞 可以不要接收垃圾嗎"
justebelmont,20170208,"把他的 lanjiao 切掉，你们不就可以安心咯。  "
q(o_o)p,20170208,"看來要找 福州幫 來做這一單了"
Don2011,20170208,"若要真心改過，就應該自宮表示誠意。"
