Topic title: 超過100mg的膠囊，是用豬皮所制的？
username,date,text
第一论坛,20170209,"雞年裡，豬先成名。不過最近看到這篇文章，不知道有多少人看醫生時，會問這個膠囊是halal的嗎？https://www.drugs.com/answers/co ... ef-pork-583642.html"
空中说话,20170209,"为了捍卫清真，生病别吃药，病死算了，这样可提早上天堂。"
爱番薯,20170209,"够力鸟，上不到天堂咯。"
huenyichong,20170209,"生病吃药 没得上天堂生病不药 快点上天堂但是没有处女因为不是圣战死"
firehawk,20170209,"其实，之前有些父母，因为疫苗不清蒸，不让他们的孩子打疫苗 。。。"
使用者,20170209,"我還在等：衣服，安全套，內在美，自來水，煤氣，雞蛋，蔬菜，鞋子，電，手機，電腦，家具，汽車，腳踏車，摩托，泳衣，紙盒，軟件，布料，水管，水龍頭，白米，塑料袋，電線，家用電話，電視，風扇，房子，軟件通訊，等等。。。阿辣化。。。有本事全部都阿辣化！笨！"
atrassdelflama,20170209,"这个简单，临死前拼尽最后一口气抱一粒炸弹去街上喊一声阿拉糊阿爸boom。。。处女到手"
ari-ari,20170209,"我在等清蒸地球。"
舞猫猫,20170209," 空气和钱几时要清蒸化 "
使用者,20170209,"应该是：清蒸星球才是。哈哈哈哈哈！！"
使用者,20170209,"差不多了～你放心～到时候实行的时候，全世界都会笑！"
yk13,20170209,"猪头吸进去的空气呼出来被马来同胞又吸进去了，怎么办？？？"
20tlv04,20170209,"柤信不多久, 很多药也变得不哈啦了.....生意不好......很多卖药佬会跳楼 "
180,20170209,"走回头路，退步。"
stupid819,20170209," 洗伤口的药水 都有酒精"
jinreung,20170209,"講什麼都厲害說什麼We are what we eat （這句經典）等到生與死的關鍵時刻，很多還不是不理會清真不清真就算那藥是直接從豬隻提煉出來的，還不是照用不誤……"
allenlfs,20170209,"用在医疗的是被允许的就好像白粉，酒精"
BlazeA4,20170209,"基本上他們這些人都是虛偽的用英文來說就是hypocrite他們有為了生存可以吃豬肉的條規比如發生飢荒沒有東西吃除了豬肉在這種情形底下他們可以吃而沒有罪"
啊鸡啊做,20170209,"之前中猪流感的病毒会怎样"
麻辣哥,20170209,"钱包、手提袋、皮靴等等，猪皮占了一半。"
第一论坛,20170209,"雞年裡，豬先成名。不過最近看到這篇文章，不知道有多少人看醫生時，會問這個膠囊是halal的嗎？https://www.drugs.com/answers/co ... ef-pork-583642.html"
空中说话,20170209,"为了捍卫清真，生病别吃药，病死算了，这样可提早上天堂。"
爱番薯,20170209,"够力鸟，上不到天堂咯。"
huenyichong,20170209,"生病吃药 没得上天堂生病不药 快点上天堂但是没有处女因为不是圣战死"
firehawk,20170209,"其实，之前有些父母，因为疫苗不清蒸，不让他们的孩子打疫苗 。。。"
使用者,20170209,"我還在等：衣服，安全套，內在美，自來水，煤氣，雞蛋，蔬菜，鞋子，電，手機，電腦，家具，汽車，腳踏車，摩托，泳衣，紙盒，軟件，布料，水管，水龍頭，白米，塑料袋，電線，家用電話，電視，風扇，房子，軟件通訊，等等。。。阿辣化。。。有本事全部都阿辣化！笨！"
atrassdelflama,20170209,"这个简单，临死前拼尽最后一口气抱一粒炸弹去街上喊一声阿拉糊阿爸boom。。。处女到手"
ari-ari,20170209,"我在等清蒸地球。"
舞猫猫,20170209," 空气和钱几时要清蒸化 "
使用者,20170209,"应该是：清蒸星球才是。哈哈哈哈哈！！"
使用者,20170209,"差不多了～你放心～到时候实行的时候，全世界都会笑！"
yk13,20170209,"猪头吸进去的空气呼出来被马来同胞又吸进去了，怎么办？？？"
20tlv04,20170209,"柤信不多久, 很多药也变得不哈啦了.....生意不好......很多卖药佬会跳楼 "
180,20170209,"走回头路，退步。"
stupid819,20170209," 洗伤口的药水 都有酒精"
jinreung,20170209,"講什麼都厲害說什麼We are what we eat （這句經典）等到生與死的關鍵時刻，很多還不是不理會清真不清真就算那藥是直接從豬隻提煉出來的，還不是照用不誤……"
allenlfs,20170209,"用在医疗的是被允许的就好像白粉，酒精"
BlazeA4,20170209,"基本上他們這些人都是虛偽的用英文來說就是hypocrite他們有為了生存可以吃豬肉的條規比如發生飢荒沒有東西吃除了豬肉在這種情形底下他們可以吃而沒有罪"
啊鸡啊做,20170209,"之前中猪流感的病毒会怎样"
麻辣哥,20170209,"钱包、手提袋、皮靴等等，猪皮占了一半。"
heme123,20170211,"以后回教徒不用吃药。"
全球樱,20170211,"大家不要那么认真啦。他们都是选择性眼盲。"
yming2475,20170211," 還有那些肖豬的馬來人呢 ？HALAL 不 HALAL 的 "
