Topic title: 还剩一个月的时间登记选民！！
username,date,text
NickNick,20170209,"距离全国大选还有半年的时间而只剩下一个月的时间去登记选民才能投票。。劝请所有的网路愤青们，赶快问问身边的满21岁的兄弟姐妹，男朋友，女朋友，堂兄弟姐妹，表兄弟姐妹，还是同事，朋友们。赶快在一个月内登记选民，为国家的未来投下神圣的一票。时间不多，剩下一个月，赶快去问问和催他们去登记选民，快！快！"
IMG_20170209_104042.jpg,20170210,"记得啊。。。。"
NickNick,20170211,"知道了！！我顾客群里，会踊跃的支持砂领袖.....谢谢提醒！！....."
e200,20170211,"如果 國陣 和 反對黨 的候選人都是 Sarawak人，你怎樣選？"
q(o_o)p,20170211,"选行动党。"
NickNick,20170211,"要赶快，用你手中的一票告诉林神你很不爽他只给RM3，000 。。 "
jellyfish_8,20170212,"南哥不在了！！目前犹豫中！！.......再观察吧！！"
e200,20170212,"老闆，你到底做哪一行的，爲什麽回帖都是 馬來西亞時間 淩晨回的？？  "
q(o_o)p,20170212,"行動黨 是 外來政黨 wor"
q(o_o)p,20170212,"由于以前他们一直诬陷了我们一个开明的首长的所做所为........我看不过眼！！就一直的跟他们幹旋........现在我们换了新首长！！（目前还不懂得是否能真正的有为我们着想！！目前还在观察中！）这里也顺便的警告下反对党！！谁有没有做事，我们看的很清楚！！....只会一味的诬陷人，没人会喜欢这样的政党！！....脚踏实地的做事！！我们就会支持！！就这么的简单！！..."
e200,20170212,"你們那个新首長，人話肯定是會講的，而且肯定講得跟 南哥 一樣好問題是 馬來西亞 的整個行政結構，只要是 西馬政黨 掌權，不管是 囻陣、民聯、希聯、稀土，東馬 就只有被剝削的份老實說，看到 行動黨 在 西馬 面對 回教課題 都一概鵪鶉的鳥樣，我也懷疑就算 反對陣綫 上臺能對 沙撈越 有什麽好處。搞不好還會在 砂勞越 大搞 回教化，把 西馬 有問題的 回x buang negeri 去 砂勞越問題的關鍵，主要還是 沙撈越 的 非回教土著 爲什麽力量那麽弱，明明 非回教人數 比 回教人數 多，卻只能接受 沙撈越首長 必須是 回x 的古怪規定。當然不是所有 回x 都是有問題的，很多都只是挂名的 回x，真心是不信的。南哥 在現有的框架下，已經爭取到很多東西了。馬來亞 和 沙巴 的前景已經不看好了，而 砂勞越 以後能不能發展得起來，關鍵還是看能留住多少人才和引進什麽人才"
q(o_o)p,20170212,"谁可以当首长！！我们这可没这么多的顾忌！！..重点的是！！敢跟中央呛声，谁能真正为我们砂人着想的领袖........我们都会一概支持！！.....别在这里骗吃骗喝的过日子！！.....这里没人会喜欢骗子..........."
e200,20170212,"只要是维护砂拉越利益的我都支持。"
jackyboy05,20170217,"記得要快點啊！"
NickNick,20170218,"記得啊。。。。"
NickNick,20170218,"我上一届大选之前就登记为选民了，今年是我的第二次投票，心里也知道该投给谁。"
kenny16031984,20170306,"请问；如何登记选民？IC登记地址在KL，人在柔佛州可以有地方登记吗？登记是根据地址投选吗？还是可以在柔佛州投选？还是要回来KL登记的？"
caspersgm,20170306,"去 Johor 的 pos office, 说要 daftar pengundi投票的时候，回来 KL 投票。"
