Topic title: 再支持国震血汗钱都吸干了
username,date,text
kkk_0,20170211,"http://malaysiable.news/doc147456/1446 "
heme123,20170211,"国阵不倒人民吃草。"
Paris.@lean,20170211,""
民联抢手,20170211,"卖华仔死也抱着国陣一起死。"
SIEWMIN,20170211,"鐵票區選民不覺得痛"
q(o_o)p,20170211,"不用怕，龍族 有 天朝 庇佑"
jellyfish_8,20170211,"蔡英文不倒，人民吃草"
jellyfish_8,20170211,"你还不是一样年年元宵节 大鱼大肉 大快朵颐 天天好日子 舞照跳 马照跑 huat ah"
kmrddecade,20170211,"不怕，JJPTR穷人的救星，而且现在网络发达，网上一大堆一天可以赚Rm150～300的工作，只要你勤劳点做多几分，百万富翁都有得做"
kennyteoh818,20170211,"努力捉猪毛五金老板就没事了"
cct2050,20170211,"信奉资本主义右翼政治本质"
can_fei_ren,20170616,"楼主可以表那么懒惰吗？什么内容都没"
loongken,20170627,"还是有愚民在支持。"
山村野夫,20170627,"再支持林神槟城的地都被卖光了，林神不倒，人民吃草。"
