Topic title: 心目中的首相
username,date,text
孤鸟,20170211,"最近大家都讨论反对党的首相人选，本身觉得，安华、林伯、马哈迪、木尤钉 已经过气了，就算有能力号召更多同党，但也得不了民心。社会会进步，人的思想也会改变，也许人民要的不是每天骂政府，而是有一个精英的团队治理国家。以美国的Trump为例，他是个生意人，在经济上也有很大的地位，他也说他参选总统有很棒的团队可以改变国家。还没出场就赢了气势了。如果像美国那样，总统不是政治人的话，马来西亚首相我会建议AirAsia的老板东尼来当。原因呢？1. 生意理念团队。经营国家就好像经营生意，而且生意人有远见至于也比较现实。Trump参选总统时常都批评政府做事傲慢且很多政策不实际，所以他说话很直接，不会转弯換角。2. 种族问题。大家都心里有数，首相怎么给非马来人当，如果是的话，对国家会是很大的突破，外国也觉得马来西亚开明，刺激国与国的关系。给华人当首相很多人会吵，那就给马来人与华人的好朋友，印尼度人吧。3. 人人平等Everyone Can Fly。大家都知道。只要是马来公民，大家都是Bumiputra。3. 良好关系不知道大家知不知道当年是老马发牌并以RM1卖亚航给东尼，而东尼都可以起死回生，那老马现在是反对党，叫全Team人跟扶持东尼也不错吧。而且他在娱乐、体育等都有很大发展，人际关系广。4. 幽默风趣有奥巴马的的风范。5. 理念清晰一个领袖除了要有领导能力外，理念清晰也很重要，如奥巴马一直都提倡改变和民主自由，唔打得都吹得。说千言的话，不如一句金玉良言。Everyone Can Fly，深入民心，成功了。反对党就是缺乏这个。大家的方向都不清不楚。这是我个人的看法，当然可能也不一定正确。如果认同的，不介意给分享。说说你们自己心目中的人选吧～"
lancelyod,20170212,"国家需要发展，但不是需要一个生意人。生意人只会讲利益，看到的东西不是赚就是亏。就好象现在国家亏钱搞到要卖东卖西或者抵押，相反的如果国家赚钱说不定要分拆拆（把某某州独立化成新的国家，开发新的钱币）。我个人比较希望当过老师的来当首相吧，毕竟老师是人类灵魂工程师。就算班里有几差的学生，老师也得花时间去栽培每个学生，成为社会有贡献的人。同样的，这个国家需要老师去栽培，优质的也好，劣质的也好，在得到适当的辅助下带领国家进步 由非马来人来当首相，这个难过登天吧。本人觉得能当副首相都要 只要各族能和平相处，没有人搞什么种族话题就好了。 只要国家有个好首相，人人都能和他搞良好关系 只要首相廉洁不贪污又是一个好首相，管他是幽默还是风趣。（看看某某首相也是很风趣的，这里贪污那里喊要反贪污，简直就是国家级的小丑） 本人双脚赞同，但要说到做到。就好象菲律宾总统说要扫毒，说到做到。"
flashang,20170212,"如果是封闭的思想，做教育的也会有问题。。。[马来教授建议：不会说马来话不能拿大马卡！ | 大马 | 中文 | Mobile | Malay Mail Online]http://m.themalaymailonline.com/ ... lay-cant-take-mykad  "
孤鸟,20170212,"其实做老师做教授的往往社会与人际交往经验低。依书直说，纸上谈兵。做生意的人脑袋清晰，逆境顺境都可以应付，社会与市场经验丰富。"
seankaz,20170212,"这我认同，经验永远比纸上谈兵更重要"
孤鸟,20170215,"对啊。。。工作也如此。。。"
猴年馬月,20170215,""
元旦8466,20170215,"习近平吧…贪官全去死…"
NickNick,20170215,"调查发现阿兹敏人气62% 雪州智囊称有利迎接大选 大选脚步渐近之际，达鲁益山研究所（IDE）发表民调结果指出，雪州大臣阿兹敏 (Azmin Ali) 的人气提升，因此是其领导迎接大选的好消息。 达鲁益山研究所副主席礼端（Mohammad Redzuan Othman）在今天文告指出，这项上周三开始执行的调查发现，相对于2016年的58%，人民对阿兹敏的支持率提高4%，至62%。 “对于他领导雪州政府迎接即将到来的大选而言，这样的提升乃好预兆。” 礼端补充，人民信任度的提高源自雪州政府的亲民途径，以及积极有效解决民生问题的努力。 “这项调查也发现，大臣（阿兹敏）乃亲民的领袖，勤于下乡，能带动雪州的发展。” 阿兹敏政府地位稳固 礼端指出，调查也发现，阿兹敏所领导的雪州政府地位依然稳固，估计要维持执政将不成问题。他才是首相的人选！"
Cinabaku,20170216,"tony本身是裙带关系受惠者，有时奸商，国人可要受苦了"
chong--kl,20170216,"如果印度人上， 对华人不会好， 因为印度人不喜欢华人。"
Quest716,20170216,"Pak lah的开明廉洁 再加上 李光耀的搞经济的能力， 应该就可以救大马了"
prince,20170216,"tony suka suka 取消航班，不可信。马来西亚除了我最适合之外，只有林冠英勉强能当首相了。"
孤鸟,20170217,"他比较偏鬼佬style  "
孤鸟,20170217,"可惜Pak lah爱睡觉，而且他是支持鸡哥的。"
binho,20170217,"还是私人界出来的比较好吧，个个为了生存经历了不一般的能力，但他们永远都是观看者，从政这滩水潜规则太多。"
binho,20170217,"印象中带国家进步的是老马，用他从医者的思维把国家定方向，重要的还是他当时的幕僚团队吧，请大前研一帮他判断国家的未来走上了工业国而不是农业国，成功繁荣了二十年。但也牺牲了那代从事农业的子民"
wong23233030,20170217,"首相………唉真想不岀那个来当最好？？"
binho,20170217,"当今的这个头就比较不幸运，有政治世家的背景和个人的抱负，就是输给人他个人的运气。如果你是自己经营企业，或家族历代生意，你就明白上代人用完资源和站对风口，后果就由当代者承担。我是非常欣赏他敢用财务杠杆来把债务转换，但就是输给了由美国股市掌控订价世界大局，可惜他的对赌协议输了。"
skydreamer1978,20170217,"林冠英是最好的首相滴"
look586472,20170217,"我觉得 梁静茹 来当吧。。首先她知名度足够，见过大场面，到国际招商有先天优势。然后形象清新，唱的不是疗伤就是抚慰人心的歌，让人觉得温暖，促进种族和谐。最后女性比较容易说服马来族和印度族接受。"
假冒是神20,20170217,"自独立后直到505前逼到UNCLE要出来除掉的族奸之首前三名嗯嗯嗯"
