Topic title: 火箭终于有重量级的马来党员了
username,date,text
tco911,20170213,"行动党一直为没有“有头有脸”的马来党员而发愁。马来人对加入行动党一向缺乏兴趣，因为行动党这些年来被政敌标签为“反马来人”、“反回教”的政党，一旦有马来人加入，即被扣上“当行动党的傀儡，做火箭的马前卒”的大帽子。缺乏有作为、有影响力的马来党员，使行动党这个自诩为“多元种族政党”的党性宣示，名不符实，有姓“多元”之名，而无姓“多元”之实，只能算是姓“华十印”。正因为这样，行动党攻打马来选区的尝试，屡试屡败，一筹莫展。据丘光耀的研究与观察，近年来行动党的一些领袖，颇有向马来人示好，以打破这种僵局的倾向。由行动党表明若成功改朝换代不争做首相，连副首相也不当，政权由马来人主导，甚至为华人说句“公道话”也小心翼翼，深怕马来人不高兴的这种种言行举止看来，丘光耀的研究与观察，还真的有迹可寻，恐怕真有其事。行动党不缺华、印人才，唯独对马来政治人才求才若渴，若能招揽到像敦马、慕尤丁这样的“失意”政坛老将的加入，当然求之不得；若不能，退而求其次，有再益这样的马来政治人物加入，也还算很不错。这叫做“无鱼虾也好”！其实，像再益这种“不上不下”的政治失意分子，比曾呼风唤雨，领导群雄的老马、老慕更理想，原因是后者比较容易驾御，不会有“喧宾夺主”，反过来指挥行动党众领袖的危险。虽然，“求才若渴”，但行动党也不能沦为“破铜烂铁”收容所，烂到阿猫阿狗的政治失意分子都收。为什么这些马来政治人物前面都加上一个“失意”的定语，因为若不失意的马来从政者，通常不会选择加入行动党。现在再益依不拉欣正式加入行动党，一时之间行动党的“短板”立刻消除。“火箭忽传收再益，初闻涕流满衣裳。却看同志愁何在？天降宝贝喜欲狂。从此有将当首相，敦马作伴上征程。即从槟城入布城，名副其实姓‘多元’。”一些好事的局外人戏谑地把再益比喻为“二手航母”，曾在“多国服役”过（曾加入多个政党），这艘二手航母还有没有战斗力与利用价值，要看行动党有没有能耐把它变成 行动党的“辽宁号”航母了？有了再益，行动党或许可以把之前说过的话收回来，要是改朝换代的梦想成真，而行动党赢得的席位在反对党大联盟中又最多的话，那么大可不必计较党龄的深浅，把再益推上去做首相或副首相，也完全不必顾虑会被讥为什么“U转”啦，言而无信啦！这些难听的话就当作听不见好了！反正现在玩“U转”把戏，“言而无信”的事，许多政党、许多政治人物都在做，而且大做特做，做得不亦乐乎，又不是只有行动党在做而已，有什么好怕？这叫天赐良机，天意如此，何必那么“客气”再玩“孔融让桃”的把戏？ 现在该怕的是再益一旦掌握大权，尾大不掉，不听林氏父子的指挥，而行动党的云云众领袖也控制不了他，这才是心腹大患！不过，搞政治不能患得患失，畏首畏尾，有什么比行动党党员出任首相更光荣的事？这可是“光宗耀祖”的大事啊！行动党的创党先贤想必会为能沾一点光而不计较得失吧！虽然再益有“跳来跳去”的不良记录，但入党当天，敦马不是已劝他别再做“政治青蛙”了吗？相信有“政治大位”作为诱饵，应能让这个诱饵充当缰绳，把这匹“野马”控制住。要是巫统搞破坏，说再益听命于林吉祥，受林氏父子摆布，扮演傀儡角色，那就请敦马出面澄清吧！敦马之前已为行动党“漂白”过一次，有必要的话就请他老人家再“漂白”多一次又何妨？要是再益那爱“跳来跳去”的本性难改，功成名就后还再搞“跳槽”的把戏，那也是天意，非人力所能左右。就当作摸到嗅牌输了这一句吧！不过赌一赌还是必要的。"
一燈大師,20170213,"恭喜火箭喜獲政治青蛙。"
探险家,20170213,"多一个Puppet而已.....DAP党选制度不改进, 马来人只是沦为Puppet, 有真正抱负为民的人上不了位.....将DAP党选制度改成类似PKR那样, 林神还能是秘书长?"
flashang,20170214,"加入火箭，改变火箭。 "
q(o_o)p,20170214,"其實 Zaid 在退出 UMNO 之後，在 馬來社會 的聲望已經大不如前了"
一燈大師,20170214,"1990 年，林吉祥任秘書長時，命令李霖泰讓出 bukit bintang。這次希盟簽署了一對一打國陣，林冠英這個秘書長不懂會砍掉那位火箭大將，讓位給再益呢。"
PulauKentang,20170214,"文采不错，投腥州可能会赚点稿费。。"
山村野夫,20170214,"喜迎公正党毒瘤。"
prince,20170214,"u turn 当属国阵最厉害，说好车价跌30%，却变成起30%; 说好油价不起，现在还不是起到乱。讲真的，我倒希望行动党会车大炮，可惜到现在一个大炮都没车，真令人失望。"
q(o_o)p,20170214,"如果讓 Zaid 上陣 火箭 的搖擺區（這裡的搖擺區意思是指上一屆是 火箭 贏，這一屆輸的幾率大幅提升的選區），很可能會輸掉，不是說 Zaid 人不好，而是選民已經厭倦 火箭 爲了 wayang 派空降兵競選如果 林神 夠膽，就把自己的區讓給 Zaid，自己去打搖擺區"
一燈大師,20170214,"火箭不可能冒險派再益上陣沒勝算選區，因為他們不能丟失這個假光環，火箭寧願砍掉大將，也要保住一個假象徵。現在火箭裡，肯定有部分人食不安 坐不樂。"
bernardly,20170214,"让出Bagan 区国会议席吧。。 一个人怎能兼顾得了州首长，州议员，党秘书长的重职。"
一燈大師,20170215,"他還有擔任 11 家官聯機構公司的主席。"
