Topic title: 伊青协会发布情人节守则  连女穆斯林都不满“表情符号也能起歪念？”
username,date,text
Cari_PHJ,20170214,"我国部分保守派伊斯兰组织向来不赞同穆斯林庆祝西方情人节，认为西方文化违反神圣的伊斯兰教义。今年，全国伊斯兰青年协会的反情人节行动升级，要女穆斯林遵守7大情人节守则！全国伊斯兰青年协会于2月13日透过面子书专页发布新指南，列出女穆斯林在2月14号，情人节这天（以及其它普通日子）必须遵守的7大守则。这7大守则包括：图片来源：Persatuan Belia Islam Nasional1. 不嗲声娇气2. 避免使用表情符号3. 必须完全掩盖身体4. 远离香水5. 不与“可通婚异性”单独相处6. 选择适当时间与“可通婚异性”处理公事，比如在白天，而非夜晚7. 简化私人聊天内容根据全国伊斯兰青年协会，这项新推出的指南也是他们年度反情人节运动的其中一项措施。该协会强调，穆斯林庆祝情人节是在破坏自身的信仰，而且有鼓吹不道德性关系之嫌。图片来源：Persatuan Belia Islam Nasional除了发布新指南，全国伊斯兰青年协会也推动了”向情人节说不“的醒觉运动，不少穆斯林纷纷拿着相关纸牌拍照，表明不会庆祝情人节。然而，这样的反情人节运动一如所料地在面子书掀起反弹，在短短一天内，就有超过850人转发相关指南， 评论区更是充斥着一片谩骂声。图片来源：Persatuan Belia Islam Nasional- 情人节并不是穆斯林的节目，收声就好，发布这样的新指南毫无意义。为何要来管其他人的事，是没有其他更有意义的事做了吗？是你自己用这样的指南：不准用香水、表情符号，来侮辱伊斯兰的名声！- 一些人认为这是有关性爱的节日。但它真正的意义是，好好珍惜你爱的人。晚餐不一定要以性爱收尾。如果男性有这样的期待，那就该好好教育他们。- 限制网络、限制其它国家的进口产品，尤其是来自中国的。限制手机和电视，这样就不会有人看色情片，也没人会在乎情人节了！不过，不难发现，抨击的声浪不仅仅来自非穆斯林，底下有超过80%的抨击留言来自穆斯林，尤其是女穆斯林。她们都炮轰有关协会性别歧视，并质问他们为何只给女性设下指南？图片来源：Persatuan Belia Islam Nasional- 性别歧视，男性才需要更多指南吧！表情符号也不准用？男性的想象力这样丰富吗？表情符号错了吗？这都是取决于各自的诠释罢了！- 为什么只有女性要小心？来自女性的一个表情符号就能让你起歪念？- 奇怪，说得好像女性才是罪魁祸首。- 就没有男性指南吗？一直都把焦点放在女性身上。一个巴掌是拍不响的。- 如果是这样的话，出门时把脸全遮住吧！没有笑容，也不会有凶恶的表情。完全看不到脸，就连表情符号也省了！伊斯兰教裁决理事会在2005年决议，禁止穆斯林庆祝情人节，认为这个节日鼓吹社会道德沦落。每年的情人节期间，宗教局执法单位都会展开取缔行动。如果发现未婚穆斯林情侣共处一室的话，可判处违例者最高2年徒刑以和罚款最高3千令吉。"
盡用話題,20170214,"其实很多伊斯兰的问題都是可以靠首相一句話解决，就像停止充公猪毛刷一样"
夕阳子句,20170214,"留在家啪啪啪就好了，别出来献世"
wong23233030,20170214,"它忙着A钱那有空理这些"
Richman-S,20170214,"回教徒是最废最虚伪的。。。根据佛教如果有机会让你做坏事而你不做那么才是真修行而不是限制着你让你不能犯罪。意思是说如果别人影响你干坏事拿只能说你修行不到家。哪会像回教这般废，自己想犯罪还赖是别人引诱你。他们修一千世都应该不能成就，简直畜生都不如。以前人们会说：不要做坏事，不然出生做动物，现在应该说不要做坏事不然出生做我国的回教徒"
盡用話題,20170214,"宗教本來就是没有逻辑观念可言，又怎能治国。。所以就不断搞多多歪理是非來逼迫你们向他的歪理驯服。。。"
SoulDeWayne,20170214,"菩提本无树，明镜亦非台，本来无一物，何处惹尘埃。心理是邪恶的，任何的事也会联想到邪恶勾当，闭着眼呼吸着也会想着邪淫的事。"
黃貫中,20170214,"他的事"
mikelee82,20170214,"变成了道德标准委员会了，还说新加坡政府什么都管，这个连人做什么都要管。"
佳礼编辑,20170214,"请勿以偏概全。"
