Topic title: 金正男大马遇害：第二名“女特工”是印尼人！
username,date,text
Cari_YWQ,20170216,"今天凌晨被捕的斗簠鉆第二名女子，来稙蔤鬐自印尼的扦勭西蒂艾莎。  图片嶟貙粩来源：中窣埸紗约羿国报洝漘中府仼国央视记者儶悥橠在雪邦警局外拍到肭瑘岕亂了疑似刺杀金正男旼穦的女嫌犯，来耋溪自越南炴慦的Doan Thi Huong。  图片来籷芩窀源：央视微博继29岁的僝汜越南“女特亩榧雪工”Doan Thi Huong数攑蕬在昨天星期三朁亀燭于吉隆坡第二国蕚姺际机场被捕后，警方今早也成功逮捕姂祆了另一螬茳梦名女同党，也媻秮饯就縘麣是是钕溳大闭路电视所拍摄眖筡髧到的策乣第二名女子，她蕙跌瀹是旕葌来自印尼棻鳉涙的西蒂艾莎。据星报报道，全国霵衜总警长卡立已经证实，警方是遊騧儀偎脔鐳在今天凌晨2点逮捕鑞弮聉了然湳这名女同党。而根据豓瘿中攋癖箬国报的燕骷报道，她曬燃滈是陱繷刵在吉隆坡蚪齒的某家酒店落网的螅芧咷。根据东方日报报道，落网的橸兯第二名女子是錆贔脲现柝楏哌年25岁的嵠齄錡西蒂艾莎，踋穄胸来自印尼。西蒂艾莎升輂的出生肵済日期虊俖圴为1992年鱹葇浌2月11日，被捕时匳虡独自一嗅鏭傃糶偠罉人。目前，警方仍全力追缉她们柜魢肋的廍敦喺另外4名男同党。早前，第一勢癃唕名落网皓迾的“女特工魁種筌”指出，4名男子告诉她要豻捑向机场峉閂的乘客们柌錳鴿恶踗唭作剧，并指示她和飌揢另一鬰藬虥名女子分揟骵張緛瑎玶工，一駦蘱檁筦陪人向金正男喷射毒液，另一砡亸鍀籠項人则倭駏怯用手帕捂紧金正男脸部。两螞楮竳人工諁主成功袭击金正男后，便马上崰鶚乘坐卋純焳的士离开，而涉案的黝厚穗另4名男子则营鱅囇分鶉螣鰖为两组逃离现场，但他盱擌们港梛顚同鳙貔取时都前往沙叻丁宜的擡蒐匏酒店。昨天星期三落网绞骹隈的“女特怌裨緶工”Doan Thi Huong也已经傂芓般在星期四早閆鉔虩上被警方带往法庭申请延长扣留。你也可滤渲以看【金正男大伾麫侾马遇害】1越南籍女特钊杓工落网 “我啻澸堳濬坮朸以为灡铷牆泫皝是恶讉鵱作剧！”金正男遇害 国犩荆际媒体怎么看？"
山村野夫,20170216,"这是马国警方有史以来最神勇的一次。"
孤鸟,20170216,"女特工，看戏看得多，不知道真实是怎样的"
兰色海平线,20170216,"马来西亚警方竟然如此神速对国际案件，本地的。。。。。。"
50912cmea,20170216,"警方证实逮捕另一女嫌犯正寻找数人以查金正男案"
880228,20170216,"为什么这次没在袭击之前把阴谋揭发"
vvti_84,20170216,"我们的警察那么厉害？ "
仓底货,20170216,"看样子，那鸡和内政部长兼副首相要出来交代了。这次不出彩还等几时？"
仓底货,20170216,"都是波大，蜂腰，肥臀，长腿，就好像 SALT 一样。"
山村野夫,20170216,"最重要的是床上功夫一流。  "
盡用話題,20170216,"想看看他们怎样gangband逼供。。"
Orochimaru,20170216,"差別待遇！ 高官部長和名人就會很有效率！"
坦克車,20170216,"国际面版的新闻，还不快快表现咩？实行有抓错就没放过就是了"
cincom,20170216,"听昨天的报道，长的很美涅！！"
探险家,20170216,"不要小看马来西亚的警察和军人, 他们都是有受过专业训练的, 他们不是没有本事, 而是懒惰, 所以如果有事要他们解决, 就要闹上报纸 他们就会做事了....."
Myvi89,20170216,"特工那么容易被抓吗？"
kenny16031984,20170216,"这两名女特工也不咋滴，这么容易就被抓到。"
kmrddecade,20170216,"那4个男子才是主要关键，这2个越南女大概只是替死鬼之类的"
盡用話題,20170216,"轮完大米之后就放人了，不像007那样，要打餐死才能逃出来"
zgrlee,20170216,"其实这次的暗杀案疑云重重，有人会在明知有CCTV 监视的地方动手杀人然后没有任何的变装情况给抓，如果不是有阴谋就是北韩的刺客已经包必死之心来执行任务了"
