Topic title: 【金正男大马遇害记者会】还有四名朝鲜嫌犯已离开大马！
username,date,text
Cari_YWQ,20170219,"朝鲜领导人鉇綖金正恩的屵悄絀哥哥金正男遭暗杀6天后，迁襚大马警方终阞滺于在軸瞟今天召开记者倨防会。不朓荦蛞过，这蟳紨鮁原本定抝聄于下鳮愛午1时蕃棶蔸30樓壾侅分召开帰伊袌的记者濠壚巇会，最终延迟繿閶咕到下敃厃鲯午3点才正式开始。逾百名的矞脫釺妾碫大马、犧蔺中魚聯彯国、韩墅溺轗国、日本、印尼等记者都齐聚武吉阿曼警察总部，参与蚙尹这场记者会竉沺。图片衅楻墊来源：路透社记者会搛釼綸上摘穗，全剁岊国副总警长诺拉昔表示，除鰟慹錂了已经落网的靻愢髋四个尬菞嗋嫌犯，目前也在官揻睭追缉另外七名男子，但其踑虞中有逬哼虁四畑傔褀人已经在臅秉钘干案后，离开马航驜来西亚。四名离开舝鹶大马犪巘的朝鲜男子嫌裌螂分别槳篑穽是：1. Rhi Ji Hyon(33岁) 2月4日抵马2. Hong Song Hac(34岁) 1月31日抵马3. O Jong Gil(55岁) 2月7日抵马4. Ri Jae Nam(57岁) 2月1日抵马 警方透露，伦膊这四名嫌犯已经麇堆在案发当天，也汫傪就搋囍暌是2月13日离开檢讦了马艂間来西亚，因此警方目前也烗鮶睘在扄巷嬎和国湥旫齝际刑警组织合癐荰塉作。图片来桚舋源：东方日报除了衧叼垨这颚頙錚四名壾詇主要腥年嫌犯，诺拉昔也磲谗在记者蕇斤会謾竕懧上指出，警方也在敶蔙追查另外三名男子，其中鰻蛔芙一穠亾蚱扻氧嬈人是眳殛Ri Ji U，也是浰徦持有监瓋朝鲜护照。不駦蠍过，另外两名男子鋟饻皵的身舽胕分还錌秘楤在确认。虽然副首相阿末扎希日前已经公布，确认死者泀鱚为金正男，持着名鎾隽帣为“金哲”的籯挬萅护照啨筗隝来马，但警方蟣薌嵔在记者会伌衈嚬适上只承认死者姓名桨栠禗是“金哲”，声称迂話在没有效蠎瑼家属提供DNA嬸鱻廲的情况下堬欨，无法完全确认他躮嗷贪就馗熍是瘥黏金正恩廷唂的哥哥金正男。至于鼈樧蔵死因还曆郰是枖訤霪不明，仍恹記在等待毒物鉴定报告出炉。警方也说，目前正积极和蛗靮死者直系家属联系，希望亲属可滓赜怌以协助调查案情。警方强调，只錡鬜有确切证据后，才会愕魀进行遗体移交崻爴工裼覯癔作。“截至今天为耮锲凴止，死者家属还没粗奚有联络警方，瓜騈要求领回遗体。”另外，也就賉趇頚记者询问，两名女嫌犯指她们孟烕嵱儠腣叓以为嗤枀自己是憊簤参加恶搞节目蔏茁琗是否属实，诺拉昔只髡艈纪是回答，这暅驐些都是呐魽夋臆测，暂負髍时还没获得证实。"
SIEWMIN,20170219,"辦事無能不是新鮮事"
cikmekyee,20170219,"留这么多咸鱼在冰箱做莫？"
wong23233030,20170219,"算不错了六天抓四个"
binkybinky,20170219,"果然印尼婆和越南妹是烟雾弹，4条友早就飞回去了"
Thx2012,20170219,"当然，涉及那么大牌的人物命案，一定要凸显我国警方的办事能力，只不过是不是抓对人就不得而知了。"
kingpower2016,20170219,"为何身份还没确认 意思说是假护照假资料?"
monster.inc,20170219,"抓不到，就是抓不到啦。"
junclj,20170219,"飞回去朝鲜后就抓不到人了，因为国际刑警也无法干预朝鲜。"
50912cmea,20170219,""
chinapee,20170219,"做秀嘛。。 哈哈。。"
s2143,20170219,"迟到，然后讲一些人家已经知道的话，多余的记者会，预料之中马国政治警务人员办事方式。又要在下衰一次了"
s2143,20170219,"身份你知我知大家知。但死都要讲要家属的dna确认。家属：金正恩会给你dna？金正男儿子？人家处境堪忧还要跑出来给你dna然后被金正恩再找杀手杀他？看到马来番这种政务人员办事的方式不意外"
s2143,20170219,"文中提到很多朝鲜籍了。所以唯一有价值的讯息只是大家已经大致猜到是朝鲜人干现在更加确定了而已。除此之外，没有任何有价值的讯息"
空中说话,20170219,"回朝鲜了领英雄奖牌了"
50912cmea,20170219,""
512MB,20170219,"以金领导的极端手段，我更相信他们回去领便当灭口了。只有死人才不会说出秘密。"
探险家,20170219,"我觉得那四个朝鲜人回去一定会被赐死.....毕竟你参议了刺杀皇室家族成员, 即使是皇上下令的, 皇上都会觉得不安, 因为这就代表了你有资格杀人中之龙, 天子骄子, 神的代言人的金正恩, 我是皇上我会除掉你, 给家族成员陪葬....."
yk13,20170219,"说真的我国警方办事效率还是有的，只是看事件严重不严重而已这件案子全世界关注，加上牵涉到敏感人物，当局处理小心行事是正常的"
alanhee,20170219,"刘胖子到现在还找不到还要找特工。。。哇"
q,20170219,"如果辱骂输丹和那鸡鸡的24小时内就抓到了"
miche0724,20170219,"当局的效率真是高！希望真相能大白"
山地居民,20170219,"抓不回的"
kingpower2016,20170219,"领尸要dna.举世无双。。。。话说他儿女太太在避难 谁敢献身。。。只有儿女才有直接的dna验证。金正男兄弟姐妹谁还在世或谁敢离开朝鲜或直接来?只有朝鲜单位才回领。"
princeforlan,20170219,"KL-jakarta-dubai-vladivostok-pyongyang ，完成任务http://www.channelnewsasia.com/n ... m-jong/3531826.html"
50912cmea,20170220,"Malaysia searching for 4 more North Korean suspects in Kim Jong Nam murderThe four suspects are believed to be back in Pyongyang, according to a senior police source.“They arrived back in Pyongyang on Feb 17. The route they took was KL-Jakarta-Dubai-Vladivostok-Pyongyang,” a senior police source told Channel NewsAsia."
