Topic title: 林冠英将会继续带领华社
username,date,text
誓save同胞,20170221,"若林冠英继安华后入狱，那纳吉不择手段逼害反对党的形象将更入人心， 其实国阵烂的又岂止是商号，纳吉本身就是件知名的烂商品，林冠英入狱将会致使华人和部份马来人更倾向希盟，滥权与冤狱效应会让行动党获得华社更强大的支持力量。豪宅一事亦也可能会衍生出案中案的政治报复事件，纳吉当然深明其中利害关系，所以本席预测此案林冠英安然渡过，林首长将会继续带领行动党揮军来届大选，就算不能攻陷布城也会继续应人民之请带领华社，带领宾城邁向更繁华，，想火箭倒的人没歌唱。"
Cinabaku,20170221,"人家是超越种族的"
jellyfish_8,20170221,"少了月亮，林神的席位会少多少？多了回化，华社的支持会少多少？加了老马，感动多少有原则人士？"
feilong,20170221,"盖那么多清蒸X，是不是要带领华社割皮？以前还同情林神为民伸张入狱，不知道为什么，这几年看他越来越不顺眼。人生得意确实应该意气风发，但是太过嚣张就不好了，搞到自己要再次入狱。"
q(o_o)p,20170221,"好事來的，我最支持 中下層華人 進回教 的"
.parislean..,20170221,"事总有两面，，你怎不说多了土著团结党和诚信党的助力会增多少席呢？又怎不问问膨货涨了又涨下不满政府的人又增加多少了？还有那尼玛的原则，，，不过是用来说爽的东西你就别认真了，不然会让人笑你白痴的懂吗，而回教化亦不过是你们这种嘴客夸事之词。"
jellyfish_8,20170221,"土团支持者认定林神党是musuh dalam selimut，所以不会投给林神。诚信党，实力不过月亮党的1/1000，何足挂齿？"
誓save同胞,20170221,"还有，，别把行动党视当希盟，在反对党支持者心里把国阵倒下才是愿上所求，成员党间赢得多少席并非眼前要事，非不担心有任何一方一党独大，事不过是以目前之势独大的情况是不会出现的  "
kenny16031984,20170221,"继续带领华社割皮。"
jellyfish_8,20170221,"搞不定，那么林神就会带华社吃蕉，因为朝中无人，不能办事。吉哥带领下，一帆风顺，人民捞得风生水起。"
cct2050,20170221,"1970 成为马哈迪的卧底成为领导讽刺下"
誓save同胞,20170221,"此活确有你言中之理但却得依情依势而论你认为目前的经济民情华人回投国阵的机率有多大了？这种势所难行的事你就别来说白话了，既势已至此还不如把心一横吧  "
誓save同胞,20170221,"看    都说你此类不过是群自顾词理的夸事者事实若真如你所言的相差千倍伊党早就颠覆朝纲了，还会像个泼妇般向行动党露出骂街之相吗？  自high你就过主吧   "
誓save同胞,20170221,"自己砌词幻想的事你就少来误人导向了   "
.parislean..,20170221,"一股臭味，不懂是粪还是愤  "
.parislean..,20170221,"同也是股愤／粪臭味   "
.parislean..,20170221,"你遭受受网论茶毒影响是另一面的事实  政治来的，只是想歇止眼前的坏况不是期望些什么，不需太多道理的  "
jellyfish_8,20170221,"当然月亮没有华裔支持也是一只咸鱼   "
cyber20,20170221,"support DAP国阵中立谎话一定要揭穿"
cct2050,20170221,"一位坐牢的劳工党人说的PKR 的李上也不否认"
誓save同胞,20170221,"哦，，原来是听人说的  那就待你有实证时才来说话吧  现就待本席点醒你吧，，，政治是可以把立场旁置的，但互取互利却是从政者必行之道，也是成事者所必需懂的手段，生意之道亦为如此，只要能达事口碑和道理就站在你这边了，，你受教吧cct  "
cct2050,20170221,"哈哈坐牢时间就是证据一个小小乡村的劳工党支部财政做牢 8 年一个国会议员，还是新加坡蒂凡那秘书，坐牢 18 个月"
誓save同胞,20170221,"那群箭嘴突然静下来了，该是在挖事准备发表吧／发表他们那些枪手式的帖论  但本席敢写包单，这群上来卖的东西到大选之日也是会把票投给希盟。 "
weiwei318,20170221,"其实林神很洋派个性带领华社听听就好"
誓save同胞,20170221,"坐牢就是证据？  你常喧染行动党是马来人派来华社的卧底，那你又如何解说林冠英被控的事件了？你的阴谋论也未免矛盾点了。 "
BILLCLINTON,20170221,"哪你有带领你的家人进吗？"
q(o_o)p,20170222,"我不是 中下層，不用進回教"
oneoftheuser,20170222,"带领华社去荷兰是吗？"
cyber20,20170222,"比中下层更低的，回教是不收的"
Barryliaozs,20170222,"靠马华带领不行；但靠他带领更死。"
prince,20170222,"那贼现在最怕的是老马，不是灵观音。"
crovoseas,20170222,"所以应该怎样做？"
莱殊,20170222,"林冠英都已经将槟城带领成为马来西亚的墨西哥。。。。毒品泛滥。。。。黑帮横行。。。。"
誓save同胞,20170222,"纳吉都像强盗般明抢了黑帮偏门算什么呢  "
莱殊,20170222,"槟城被误导。。。误投火箭。。。是槟城成为大马的墨西哥。。。。。一失足成千古恨。。。。"
kenny16031984,20170222,"先把自己地盘上的黑社会和枪械清理干净吧，都变成罪恶之城了。"
誓save同胞,20170222,"马华民政助借礼堂给南宁传销老千，举办前无古人的千人老千盛宴为老千集团打开康壯大道，南宁投资 从此变成杀人凶器搞至鲜风血雨，万千人因受骗而搞至家破人亡，有者自杀有者被杀诈骗集团宣称这是一项用以发展南宁市的投资计划，并指投资者所缴付的“入会费”有半数会被中国政府拿去发展南宁市，另一半则是充作计划的资金周转，一旦发展计划成功，当局就会回馈投资者。他们也说，当局不允许中国人参加这项计划，而只允许对祖国有感情的海外华裔参加。他们甚至指这是有福报的人一辈子只有一次的好机会，错过了就不会再有了"
q(o_o)p,20170222,"當年 孫大炮 革命，也是借助了 黑幫 的力量，非常時期只能用非常手段"
cyber20,20170222,"KL有umno的tiga line, Pinang有马华的小三王，火箭输太多了"
jellyfish_8,20170223,"做么槟城那么多命案？"
誓save同胞,20170223,"你该说为何国家治安那么差  "
反田中,20170223,"林冠英的领带能给华社买名车有Discount和买便宜的别墅吗？"
.parislean..,20170223,"那是因为贪污在我国政府各部已是种文化，黑社会与警察称兄道弟的一起包办黄毒业，只要不是得罪部长官爷犯了法只要有钱疏通就能了事，，他可能没听过数白万毒品证物突然神奇变成面粉的新闻吗？ @jellyfish_8   "
誓save同胞,20170223,"你该也可能没听过百万什至数亿元的冰毒证物竟然在警局证物房里神秘失踪。 https://www.google.com/url?sa=t& ... PIaJe-bWjrpNGg0ooTg"
