Topic title: 3月2日起，Public Bank 柜台不接受RM5000以下现金存款/提款！
username,date,text
aaxpower,20170222,"3月2日起大众银行柜台不接受RM 5000 或以下的现金提款 / 存款下午9:07:00  0随着科技的发达，网络的普遍，国内各大银行已经逐步电子化，很多服务都可以透过网上系统、ATM 或 CDM 进行。国内的各大银行也开始逐步减少分行和柜台数量。根据大众银行发出的消息，从3月2日起，全国的大众银行柜台将不再接受 RM 5000 或以下的现金提款 / 存款。想存放或提款 RM 5000 或以下的朋友，你必须透过 ATM 或 CDM 进行。这项措施是为了疏解大众银行柜台的繁忙，让真正需要柜台人员服务的人士得到最快的接待。值得一提的是，RM 5000以上的提款和存款还是能在柜台进行。年轻人有空的时候，记得教年迈的父母使用 ATM 和 CDM 机器。还不会使用 ATM 提款和 CDM 存款的朋友，也赶紧学一下啦！大众银行并不是全马第一家推出类似措施的银行，国内多家银行推行这项措施已久。相信在未来将会有更多银行推出类似的措施。        "
aaxpower,20170222,"有这样無良。"
仓底货,20170222,"大鸡不吃小米。现在 5千 属于小米中的小米，鸡肋中的鸡肋。"
科学就是未来,20170222,"科技进步，就会淘汰旧的东西。电子化后，很多银行分行都是可有可无了，现在油站的 CDM 也越来越多，ATM 基本上在城市地区是在大部分油站可以找到。柜台专注处理其他东西，而不是cash out or bank in 小钱，是趋势。接下来应该会有更多银行分行关门，尤其是那些在贷款和卖金融产品业绩不好的分行"
仓底货,20170222,"有钱人谁在乎穷鬼？就算金融风暴来，死先的人还是穷鬼啊。"
50912cmea,20170222,"一个年赚“净利”几十亿的本土银行的服务标准。。。Bank Negara, bila nak jaga 存款者权益? "
180,20170222,"如果是要存进非整数的存款呢 ？"
草根一名,20170222,"向员工开刀，员工发烂渣，銀行省不到开支，投资者或股东向管理層发烂渣，你是管理層，你帮谁？"
寂寞的小子,20170222,"就叫你寸整数，然后下个月扣出来"
180,20170222,""
盡用話題,20170222,"现在那一间银行出现你说的问題？他们现在是转型成功才想不要老员工！为了怕给遣散费，把老员工调到远远的，这样很人道吗？你不是当事人当然是没有rasa！我不是打银行工！但看到这幅人间悲剧！心中那股怒火真的不吐不快！"
科学就是未来,20170222,"赶快发起吧，不要讲多多。现在我最多存款是在大众 and OCBC，但是他们的ATM 很少，所以薪水还是进 老虎银行，方面拿钱"
仓底货,20170222,"很久以前，MBF 也是中过，可是只要政府发出保证信心，谁又会去挤提？所以说，穷鬼还是站在最前线的，死也是穷鬼先死，如果要确保自己不被社会排挤，那么就努力脱离穷鬼群。"
aaxpower,20170222,"很多人将会失业。"
科学就是未来,20170222,"这个国家，如果讲员工福利和人道，死的会是chinaman 老板而很多华裔老板刚好就是Chinaman 老板，所以最少一半企业关门。好事来的，这样市场就不会有人挤压员工，然后东西乱乱丢贱价来卖"
私人重地,20170222,"如没记错进入银行工作其中一个条例就是愿意被调到其它地方，虽然年老还被调很可怜但是之前都同意了有啥法子？"
春秋,20170222,"应该的了啦，转型啊，银行可以cut cost"
aaxpower,20170222,"越穷越见鬼。"
盡用話題,20170222,"所以华人整天以为自己很厉害就目中無人！人家好心找你合併你就以为别人想吃掉你！现在合併过后的cimb，越来越强大！保住了很多员工的饭碗"
仓底货,20170222,"所以说，人越穷，越来越不像人。"
科学就是未来,20170222,"正常。市场趋势改变，不只很多人会失业，也有很多老板会关门大吉。这也是这几年来很多老板哭爸哭妈讲生意难做，另外一群老板越做越大。就如我小学同学，考试成绩不好，大学没有读，去新加坡做工存不到钱，后来回来马来西亚做网购，现在开始越做越大，常常看她出国旅行（欧洲日本韩国等国家），然后整身名牌，驾欧洲车，人家问她，她还讲赚一点过生活而已，但是外面租厂来做生意，屯货需要空间。人家靠市场趋势改变发达不会跟你讲，等一天他们亏钱不能做了，就会哭爸哭马讲马来西亚经济差生意难做。"
盡用話題,20170222,"你不要看小穷鬼！很多革命成功例子，都是穷鬼造就出来的。。"
科学就是未来,20170222,"打工一族，是看老板吃饭的，老板觉得你没用的时候，以前的功劳未必可以当免死金牌"
lumixcer,20170222,"放几架ATM在门口，给客户自生自灭，有体谅过存款人的安全吗？真无良。。"
仓底货,20170222,"你搞清楚状况好不好？ CIMB 壮大？死了三次了，而且越死越精彩。最后还是需要政府扶助，现在官方机构也是直接优惠这个死了几次的银行。再说，合并，根本就是吞噬，大鱼吃小鱼。就好像即将要发生在刘公公的绿盛世一样。"
盡用話題,20170222,"怎样发？我都没有老虎银行户口"
科学就是未来,20170222,"要这个发生，除非国家人民穷到没有食物吃。不然最多做穷人私底下骂政府，骂富人而已 "
科学就是未来,20170222,"所以到最后，你也是讲爽而已一间银行有今天这个规模，肯定有自己一套，除非面对现金不足如大规模债务变无法偿还，造就银行没有现金周转面临倒闭危机，才会发生挤提。"
everyonecan,20170222,"maybank 很久都是这样了"
科学就是未来,20170222,"有些ATM, 晚上还有保安，多得之前的pick up 拖ATM 走的事件。况且如果在工作时间去银行ATM 提款，是有保安的，ATM 都做在室内"
盡用話題,20170222,"你太相信网络的传言了！以前别人攻击cimb是因为阿吉弟弟是该银行的总裁..而当时的我只看到cimb的分行越开越多，atm机多到几乎追上了当时得令的老虎银行！汇款和多个政府部门挂勾，可谓汇通天下不见得有你所说的死三次的现象发生。。"
仓底货,20170222,"那么后果就是死了千千万万个穷鬼后造就一位穷鬼富豪吗？好象孙中山搞革命一样，永远站在最后的革命战线。那些搞革命死了的都不知道为什么死啊，现在后悔莫及啊。好像人肉炸弹客搞革命死了，为什么死呢？享福的永远就是鼓吹搞革命但是永远站在最后喊的那一位咯。"
aaxpower,20170222,"难為咗老一輩的長者,他们連用ATM机都不會用。"
私人重地,20170222,"确实如此，如果分行hit不到target，银行经理都自身不保根本顾不了那些年老的员工。何况现在银行职员不管升职还是贬职被调到其他地方的机会非常高，经理和职员的关系也不会太密切，不像以前一个经理可以呆在同一间分行几十年的。银行。。以前很好做，现在很难搞！"
舞猫猫,20170222,"那么银行做好准备可以存入硬币的机器，不然零售业的要怎么根据销售额存款啊"
仓底货,20170222,"CIMB 死三次都不是那鸡弟弟的时代，你到底知道 CIMB 前身是什么垃圾吗？是啦，非常壮大，好高务远，要当一哥，搞世纪大合并，根本没那种料，后来死了，股价 7 跌到 4。"
lumixcer,20170222,"绝多数是没有保安，而且假日ATM都有故障，仆这些银行业者的臭街。。"
仓底货,20170222,"屁孩们是不知道马国有 MBF 挤提，而且CIMB 前身是什么垃圾，是吗？"
盡用話題,20170222,"就算要调也要调在本地或靠近的州属！你说如果从槟城调去kl，这样算什么合约？和诈欺没什么分别！！！！我也可以把他们kl的ceo调去吉兰丹，你问他要不要！"
盡用話題,20170222,"谁创业没有挫折？你敢说今时今日的cimb不强吗？有因为转型而为难老员工吗？"
+_o_+,20170222,"要用柜台存少过5000 还是可以的。 如要进2000， 就先去 ATM 提出 3050. 就可以去柜台存钱了。 或去柜台先取出5050， 然后进入 2000 + 5050。"
仓底货,20170222,"你到底知道你在说什么？请查阅什么是 CIMB 这个满身是毒肿瘤的银行先才来谈吧。再了解里面的种族结构，才来谈什么是 “为难老员工” 好不好？真可笑。"
盡用話題,20170222,"如果个个都像林首长那样，永远都是先天下之忧而忧，后天下之乐而乐，做什么事都身先士卒的，跟随他的人，没有一个会觉得自己是傻孩啰"
仓底货,20170222,"对啊，永远都是先天下之忧而忧，后天下之乐而乐，先知道豪宅屋价，然后低价入手，本来也没什么大不了，偏偏又是首席部长，又批准屋主的土地转换发展计划，这就叫断正咯。所以傻的铁粉还是喜欢当炮灰不是没道理啊。宋家享受荣华富贵几代都吃不完的身家也是革命傻孩的一生的痛。"
盡用話題,20170222,""
盡用話題,20170222,""
仓底货,20170222,"所以你就要煽动人群，然后站在最后一位高喊革命口号的鱼翁人？"
仓底货,20170222,"你胡说，我明明就是上原亚衣的铁粉，只挖鲍鱼不挖疮疤。"
monster.inc,20170222,"還錢直接進CDM機器更好， 不用排隊。不過問題是CDM雞不吃1塊， 5塊的。"
盡用話題,20170222,"不是搞煽动，只是觉得银行这次做得太过分！又不是发生什么经济问題！竟然这样对待老员工！连赔偿都不舍得。。！看到人家和自己丈夫和孩子分开是不是很7开心！"
盡用話題,20170222,"上次我在槟版只是浅评了林首长一两句，就给你射了"
kwai56,20170222,"老虎有吃1塊5塊的雞 "
仓底货,20170222,"这间大众银行做得更过分也有，就在去年年尾，取消了 debit card 里面所有功能，强制要顾客更换，这已经违反了国家银行宣布的 ATM 条令延期到今年中，而且 debit card 有 ATM 服务的需要每年征收RM8，既然如此凭什么理由大众银行中断 ATM 服务？你是大众银行的客户？你在这里吵有鬼用？你有去国家银行吵吗？你做过什么事？"
仓底货,20170222,"要射，也要射的有道理，你射到有道理，谁理你？但是射到似是而非，就不对啊。"
科学就是未来,20170222,"假日你在银行柜台拿到钱吗？过了 4.15pm 你可以在银行柜台拿到钱吗？很多时候不是ATM 故障，而是没有钱了，然后假日没有人来refill cash note。以前我家乡的 Cash deposit 一定在星期二下午后不能进钱的，据说星期二是球债结算日"
科学就是未来,20170222,"月头cash deposite 拍长龙因为很多人要缴付信用卡，贷款，和缴付账单，所以我在5-6年前改用online banking, "
dare2join,20170222,"其实他们就不怕弄得更忙？我一样可以每次拿6k 然后存回去5.9k"
仓底货,20170222,"现在大众银行还有卖实体黄金吗？"
科学就是未来,20170222,"你觉得在马来西亚谁会那么无聊？况且很多人的ATM daily limit 都没有调高"
dare2join,20170222,"老一辈的像我父母就从不拿卡，说很危险每次去银行拿一两百用你说应该怎么做？"
aaxpower,20170222,"应该照顾一些不会使用提款机的长者。"
feilong,20170222,"这是一个不体恤老人家的政策"
thunder,20170222,"如果有请两个美眉在cash deposit 机前帮忙我其实是不介意"
科学就是未来,20170222,"我老妈到去年为止还用nokia 电话不能上网，也不会上网，现在可以用smart phone 上网，每天看她在看facebook。你要跟着时代改变，还是对抗时代，没有人会阻止你。我渔村乡下的大众银行，前几年开始就鼓励用ATM 提款，没有记错是3k 以下提款存款，都鼓励用CDM and ATM，他们有人在旁边教导那些老人，让他们习惯用machine, 现在已经很多老人会用了。"
仓底货,20170222,"你应该写公函，去投诉国家银行，你看国家银行有什么回复。还有一个非常好笑的，就是 ATM 提款，大众银行会扣留你的RM20限额，同样的普通户口，马银行可以提款到只剩下RM 1。真的是奇葩的行政政策。开户口真的要每个字需要去读，读清楚 T&C，尤其是密密麻麻字又小小而且还有那么多页。"
dare2join,20170222,"我很同意，我妈还可以接受我爸劝了N年了进支票10几年，每月都要银行的人帮忙从头教到尾仔仔细细的固执不要学的老爸，这个我是真的没办法"
阿福928,20170222,"没有ATM卡的怎么办？"
仓底货,20170222,"这点 citibank 就很好，安排了穿超短迷尼裙的嫩妹站在银行前开门，简直就是好像去大富豪一样。或者置身在澳门金沙赌场一样。"
Barryliaozs,20170222,"相当普遍，认识一个晨运的老头就是其中之一，丰隆的，以前是分行经理，相当悠闲的。现在调他去总行，under一个40出头的。问他回总行干什么的他说到现在都不懂调他去那边干嘛的。现在晨运再也看不见他，应该是赶着去上班。"
Barryliaozs,20170222,"虽说设了这个规则但银行其实还是看顾客的，你分量大，你去柜台存一千块他们也是帮你的。"
yw98,20170222,"CASHLESS？鼓励自动化"
Barryliaozs,20170222,"但是贷款的钱却没管你假日不假日的，一过十二点自动从你户口扣。"
aaxpower,20170222,"是在我国还是在外国的 ctbank 是在这里迟早那班包头佬出来反对。"
三傻Samsung,20170222,"我做生意的每天都要求员工bank in全部数额， 有时候会有散钱几块钱几十仙， 怎么好？"
仓底货,20170222,"当然是在马国的某一州。而且这些嫩妹很喜欢男顾客。"
cobalt_blue,20170222,"支持！"
aaxpower,20170222,"那不是门庭若市。"
Jason929,20170222,"櫃檯不接受5000以下的存/提款帖變成調職吵架帖"
50912cmea,20170222,""
BlazeA4,20170222,"难道你不知道存入或提取硬币，银行会征收额外的服务费吗？"
SilLyPanDa,20170222,"可以放上链接吗？ 谢谢"
舞猫猫,20170222,"不是大数目啦，我是说比如当天的销售额是RM8,236.50，那个五毛要怎办"
sifuking,20170222,"居然这么对待老员工，肯定有种族歧视的成份存在当中，真无良"
yk13,20170222,"这个对我自己没什么影响，已经习惯在ATM/CDM用了去柜台要消耗很多时间，又要浪费parking fee"
跛co,20170222,"先提升ATM/CDM系统才来讲拉  "
