Topic title: 在大马买凶杀人真那么容易？前枪犯：职业杀手没20万免谈！
username,date,text
佳礼编辑,20170222,"近年来，在我国发生的枪击案可以说是有增无减，而其中有不少都是买凶杀人。槟州于星期二（21日）再次发生枪杀案，一名正在开车的华裔妇女遭歹徒至少连开10枪，最终惨死枪口。在我国，买凶杀人真的那么简单？一名不愿透露姓名的前枪犯表示，其实职业杀手的价码不是一般人能负担得起的！"
一燈大師,20170222,"數年前，3000塊就已經包射完左輪 .38 六顆子彈了。不需要請專業的了。六顆子彈射完還不死的，買兇的人也認命了。"
Don2011,20170222,"南洋地方有去没回头，劝中国人朝鲜人别来。"
元旦8466,20170222,"所以怕被买起的人类应随身带便6千cash、遇到枪手就丟出去???"
cikmekyee,20170222,"买凶杀人时别说要某某人的狗命，不然凶手只杀某某人的狗！"
prince,20170223,"很多年前我就说了，马来西亚是全世界罪案率最高的国家，今天又被我说中了。"
Mitutoyo,20170223,"这只是在拍戏，马来西亚绝对没有枪杀命案是非常安全的地方！（棕金长时常这样说的）"
Cinabaku,20170223,"你的意思是这么多年都是全世界罪案率最高的国家"
Takashi,20170223,"如果像john wick酱的要多少钱？"
prince,20170223,"对，只是你们不知道罢了！"
kennyteoh818,20170223,"贵是因为是大人物或有保镖。普通人便宜罢了。"
全球樱,20170223,"没办法，现在什么都起价，不懂那价钱有没有包括GST"
chtan69,20170223,"看就知道这里那里有什么职业杀手。便宜飙车族就大把。杀个人都开上十多枪的算职业杀手？你请的人做了冤大头给人砍菜头吧职业的是一枪毙命的啦而且不会给你见到他动手的。"
梦想之追求者,20170223,"20万？是看难度来定夺吧？有些少过1万就可以了，不是么？"
wong23233030,20170223,"找两个儍B网红一人一百美金搞定"
creme,20170223,"我比较奇怪的是，既然知道他是枪犯还interview到他，竟然没有绳之於法，这个比较恐怖。"
一燈大師,20170223,"丟錢的速度快過子彈，或許有機會保命。"
山地阿高,20170223,"六千块就可以买到一把枪？  如果属实，警察应该制止！"
look586472,20170223,"本来以为大马只是比较擅长抢劫，现在连灭口都是世界领先了。。"
chinapee,20170223,"乱说！。。 20万那么贵？   大概杀部长要这价码啦。。。。  杀黑社会的。。 不用啦。。。 "
梦想之追求者,20170223,"20万不是我说的，麻烦你读完整个帖才来发表谢谢"
chinapee,20170223,"我不是说你啦。。。 只是用你贴 "
使用者,20170223,"要幹掉1個人也要看那個人的價格不是嗎！？"
仓底货,20170223,"槟城杀人魔就是用卖了二手电单车的钱买了一把半自动手枪。而且也绝对不需要马币六千那么多。"
cheinling,20170223,"意思是说，20万以下的，都不是职业的，所以留手尾@@"
lancelyod,20170223,"原来佳礼来头不小，前枪犯也有能interview到。"
skyline101,20170223,"是不是枪手和枪都不用GXT,所以那些人买得起？还有子弹是不是很便宜？每次看戏都是一枪打死人，骗人的吗？在大马都需要开很多枪才能打死人？"
LiongChiuWai,20170223,"难说，如果.38 FMJ 或 ACP 然后又全都送进去腹部，手部，脚部这些non vital area的，在还没有失血或伤及重要器官的情形下是真的有可能活下来的。。。你知道，才给那3k。。。枪手素质和枪械的状况，可想而知。。    除非是.38 hollow point,.38 special/Super或+P加大火力的ammo再加上长点的barrel。枪手也不是3k的临时演员，那就九条命也难保了。。话说，这里职业枪手大多都用9mm parabellum/luger的，可能和在泰国比较普遍有关。菲律宾大多都是.45ACP的，可能和比较接近美国枪支文化有关。听说1911在那里很红的，还有菲律宾自制的。外国的防弹玻璃测试~7.62 x 39 AK47 round!https://youtu.be/J8i5d5toEDkhttps://youtu.be/3ZzoB6xBWOI"
无名好留,20170223,"进合法的练枪厂要有拥枪证，有拥枪证就有资料。。很多所谓的枪手都只是有把枪而已，只会近距离开枪。。因为他们没地方练习开枪，所以不专业，只是9流枪手"
lumixcer,20170223,"现在烂命仔多，我怕几千就有交易了。。"
lengflower,20170223,"Rm 5k-6k 就可以买到一把黑市左轮枪了 "
calvin_siang,20170223,"现在出街都怕怕。。"
Orochimaru,20170223,"的确，近距离开十枪，6枪命中死者，4枪miss，这个杀手应该不是职业杀手，part time杀手才对-0-“"
longisland0708,20170223,"只問到職業的麼？職業的當然是這個價碼有沒有找到業餘的？"
wallas,20170223,"没有一定的安家费，谁肯为你卖命呀。"
kingpower2016,20170223,"专业杀手不会这样近距离高调杀人。可能是普通人物这样买凶杀就好。那些黑道等重要人物都是需要高处暗处sniper shoot!"
snsv,20170223,"火箭的枪手才厉害，可以颠覆一个政权。不解的是，他们不必收一毛钱就可以无日无夜的在替人卖命。"
廣美利,20170223,"战场阻击手一样的要多少？"
wcl94,20170223,"hitman最少的子弹和没有目击证人才是专业"
Ngks,20170223,"用毒针点计??"
roti89,20170224,"强的杀手做到像意外,人家还以为死者不健康,突然暴毙。那些明显是被杀的, 其实都不是很专业。"
Nexon,20170224,"我看杀金正男的价钱肯定过万。。。"
deadcow,20170226,"杀人犯还可以和记者interview。。。"
jackyboy05,20170228,"这位仁兄厉害！"
prince,20170301,"我一直以来都很厉害。"
盡用話題,20170301,"有料的职业杀手通常是一枪就命中目标的死穴毙命的。。"
