Topic title: 【新山8死8伤车祸】内政部拟新法  或禁未成年少年夜间溜达
username,date,text
CARI_KJW,20170224,"内政部副部长诺嘉兹兰星期五（24日）表示，内政部正櫍笰在草拟《反社会愤劯蟁行骽潼锚为法令》，未邫餱戒来或允许执法忣恪人员对堽移徖违法的橎眂繌未成年诶絔帣少年醳咝采取行僐珽动。由于繕鮿我鱽汧糮国猍孚椮法令目前仍鈦釴有缺口，导致警方无法对欹裥圇那些影响社縳謠癣会安全軝粨嵏的未成亓函年少鴾幌年采取法律行裺翌动，因此内政部在摨蒤樫讨论过后决定制定新法令，以裖鶢让警方疻衭有权力执法。诺嘉兹兰说，一廗介湷旦实施新法令后，警方有蘜鹵錧权力把那些夜间在重燾崏公共场合溜达蕦骔的未成年笝貇少年朣媦遣送回家。“倘若法令制定未成猌椒濸年少年炾諤介鉄搱于晚上畹糟貚9时梄绫坚至隔天凌晨6噻蚝灰时，不嬻昑輜得譎篨在公共场合溜达，那么警方战曷銻在发现厃锡这些少叴匐年后，漼匘悱有权力把他鍉浳妳豙们遣送回家。”偪捅他补充，除了莿襊尝未成年至懬跅少年焟扄馞，一崘澹般民众若在礈滸公共场合喝醉酒闹事，或制造喧哗等不瓟睻当行躯觐廮为，引起社掁霊会反感，也将來夶镤在柪哉这项法令趥颬下被对马殮付。你也可以谉垐看8少年鹄螙夜骑脚踏车遭撞死 警察：“眒填不是狞黶没劝阻，但搮手他焀鼀炗们颡酼獒不听！”新山8死车祸谁该负责？律师：女司机遭提控几率低！"
仓底货,20170224,"不好，简直侵犯人权，阻碍促进经济成长。"
Hishammudin,20170224,"最重要是教育父母思維重要"
512MB,20170224,"未成年少年深夜溜达，建议父母坐牢"
一燈大師,20170224,"建議向父母徵收 “未成年孩子夜出稅”。"
luvpris,20170224,"大师说的StudyGroup怎么办？"
popdog99,20170224,"做得好！！不过该实行的不是这个，该实行的是禁止跑motor！半夜到处看到马来仔跑motor 因该阻止！"
thunder,20170224,"Study group 已经被他四两拨千斤pusing 到太空了，你为什么又 提出来!  "
一燈大師,20170224,"可以到警局拿 permit。"
一燈大師,20170224,"是火箭粉們看到林吉祥帶隊去捧馬來人，而不向華人女司機提供協助，都失望至極，不再討論了。"
寂寞的小子,20170224,"那么study group的成绩会被影响的，不能啦"
onglai,20170224,"不错啊，夜间遛达有警察免费送回来，第二天再继续出去，每天都会有警察送，还能够省下回来的车钱，比搭德士还方便。。。。。。"
巴士来啦,20170225,"丢脸的回复！"
友仔,20170225,"友仔马路表演杂技1 https://www.youtube.com/watch?v=sPV-co9_Zc8 马路表演杂技2 https://www.youtube.com/watch?v=0n_pODIP5uw 马路表演杂技3 https://www.youtube.com/watch?v=I3Wro6RZPd0 马路表演杂技4 https://www.youtube.com/watch?v=MwMXFn2TYCs 马路表演杂技5 https://www.youtube.com/watch?v=w5_QHkHzjkU"
友仔,20170225,"马路表演杂技6 https://www.youtube.com/watch?v=pZT8Vpj5DM8"
yk13,20170225,"新法令就是警察送未成年少年回家而已？？？你们是在惩罚少年还是惩罚警察啊？？"
mark,20170225,"铁票区的孩子那里敢对付"
阿镖叔,20170225,"如果大师的道场出了事上了报，老林没有来慰问，你是应该发牢骚，骂老林不公平，但是如果大师的道场平平安安，老林慰问出事的人家，你干嘛介意？"
阿镖叔,20170225,"或许可以加上处罚那些少年吃宵夜！"
