Topic title: 沙地国王到访大马  纳吉率众以红毯接待
username,date,text
Cari_LSV,20170226,"沙地腎敆嫹阿拉伯挜鐐癹国王萨勒曼于翤篍緫星期天早上插螞抵达我晅馛国髵縍展开为銘汿夨期4天的中囍悖瀇紩抻国事访问！首相纳吉和冈韗霒畦国防部长希山慕丁嗣騚于星期天早噭儵上筩苲莥在吉隆坡順娌郋国际机场（KLIA）堛桩的槻莾翃大红花贵宾厅以渪捳挭红地碤瘇毯迎接萨勒曼，煠為叠以及包括沙地哮僕阿拉伯王室和秒塿浏内阁部长在瓣帧弢内銂甀猉的600名代表团成员。萨勒曼鄛制溫是受黩幑国家元首苏丹莫哈末五世邀请访马。值得一窝嘋提的渜媭蜠聕圅是，巈杄廙大马是撟敀萨勒曼临鍊尤在2015年愸滷笤登基后，首燢嵥个到蟞焷访的寁铂东南亚鶹紃国家。首相纳吉也曾搈雬在早前发声明表示，两国拄沎醌将在负紨这妿泘塝期间签署系列协议眂軟和理解备忘录，其中釰狞我竻窸国癕焇幸羢国油也将和撃暭悬沙蛔笾地阿拉伯阿美公司（Saudi Aramco）签约。"
loongken,20170226,"带了二十六亿来。"
AMOS5566,20170226,"財神爺來咯！誠惶誠恐，以防有失遠迎。"
cct2050,20170226,"刘镇东不欢迎中国  因为中国帮忙那几这一次沙地帮忙那几   刘镇东怎么说"
跛co,20170226,"带几箱亿来"
Mr.LowGimWei,20170226,"全球石油最多的国家的国王来了(×_×）"
sifuking,20170226,"哇，又有钱借了~"
lumixcer,20170226,"认头26亿，阿鸡感谢大恩大德。。"
巴士来啦,20170226,"纳吉好棒棒，又有捐款了。国阵领导，马华舞蹈。"
Hishammudin,20170226,"納吉很虔誠"
一燈大師,20170226," 以上胡說一通的華人網民，可以尊重自己國家最高元首嗎？"
morris43,20170226,"来了来了 捐款来了 马币有救了"
神垂死,20170226,"越来越敬佩崇拜纳吉布爷爷了，连沙地国王johor储王都能搞得定，爷爷魅力无法挡，这次马国发了~"
cct2050,20170226,"同样的边佳兰，同样的石油化工投资项目，同样和纳吉接触 ！台湾国光石化来投资， 清真行动党反对到底，还跑去台湾抗议 ！沙地清真石化来接过继续做， 清真行动党 热烈欢迎，无限支持 ！https://www.youtube.com/watch?v=rHDwCBb_dNI"
prince,20170226,"又要捐钱了，难怪马币一直跌！"
gaomin,20170226,"100辆官车载600人？好脸，报大数。"
阿白,20170226,"26亿的主人. 当然要舔多多下"
我是无赖,20170226,"带了二十六亿来 +1"
kkk_0,20170226,"反贪局快去向国王问话"
kkk_0,20170226,"沙地不过是走下玻的暴发户"
50912cmea,20170226,""
天花乱坠,20170226,"难怪今早机场有很多警察和交警"
yk13,20170226,"财神到财神到！！！"
JamesD,20170226,"沙地国王来捐善款了"
罗马军团,20170226,"26亿是从1MDB偷窃出来的，和沙地国王无关。"
Pan-Europa,20170226,"恐怖分子的啊头"
brookes,20170226,"600人，到底要坐多少辆飞机来？"
feilong,20170226,"中国和台湾一样是华人，得罪没关系，所以火奸比马来人更落力抗议。多数选票就得罪不起了，见到沙地主子跪舔都来不及了，哪敢抗议。火奸就是虚伪，就是双重标准。抗议中国投资不敢抗议沙地投资，抗议台湾石油提炼不敢抗议沙地石油提炼，呸！"
Xounds,20170226,"财神到"
digidigi,20170226,"别再26亿了。。。这次是带来800亿投资。"
cct2050,20170226,"中国投资东海岸铁路，一大堆傻逼吵是卖国，中国企图占领马来西亚台湾投资石化工厂，一大堆傻逼说污染工业，天天示威抗议，跑去台湾悲情哭诉中东清真财团在雪洲吉隆坡买了一大片黄金地段，无人提醒中东要占领马来西亚中东政府银行买了超过马来西亚发行的 7000亿伊斯兰债，无人提出抗议 ！中东清真石油化工集团接过污染台湾工程继续搞，无人质疑，网路枪手帮忙漂白 ！"
gaomin,20170226,"你肯定吗？他这次会不会是来收账的？还大阵仗。"
chtan69,20170227,"石油一旦不值钱时就是这烂邪教国灭亡时。替代能源已纯纯欲动了，它们风光不了多久了，赤字连连看它能撑多久。"
yming2475,20170227,"不是说沙地的资金撤出马拉了吗 ？"
仓底货,20170227,"在你这代有生之年或下一代都不可能被取代。为什么石油会不值钱？由始至终根本都是富豪的游戏，全部玩弄在美国的手里。"
chtan69,20170227,"你多多去看看科技书刊吧。很多替代技术是有了只是等时间大众和平明化而已。加上大马政府对推行替代能源能不推就不推，能盖就盖的作风很多这里的人还不知道而已。说透了还不是利益关系。不过不否认石油靠的就是炒作和囤货。"
仓底货,20170227,"你可以省起来，随着页岩油技术成熟，谁也想不到美国可以是世界石油入口国提升到了名列前茅石油输出国。页岩油蕴藏量世界第一的美国，挖个百年都不会改变他的地位，反而现在俄罗斯石油输出已经超越沙地。石油已经不是中东的专利，替代能源只不过是一个可怜的口号而已，人类目前都离不开石油，你有生之年不会，你下一代也不会，你也改变不了这事实。"
科学就是未来,20170227,"沙地资金不是单一财团，单一公司。公司A撤出，不代表 公司B不会进来投资"
科学就是未来,20170227,"华人最擅长内斗，以华制华。没有人敢去阿拉伯示威抗议"
科学就是未来,20170227,"红豆兵一直炒外资不进来马来西亚，结果中国资金进来了，现在连沙地阿拉伯也进来投资炼油厂。"
雷克斯R,20170227,"感觉又有什么交易了"
