Topic title: Maybank首位女主席 4月1日正式上任！
username,date,text
Cari_PHJ,20170302,"Maybank第一位银行女主席即将诞生！马来亚银行（Maybank）主席Megat Zaharuddin Megat Mohd Nor将于3月31日离职，而即将于4月1日接棒的是原任该银行投资银行主席的Mohaiyani Shamsudin，成为了Maybank第一位女性主席。Maybank主席Megat Zaharuddin今天发文告表示，他将委任Mohaiyani Shamsudin为下一任主席，并称Mohaiyani Shamsudin是一名有远见的领袖，经常给予他们高难度挑战，并成功带领集团走过充满挑战的世界经济状况。“我相信Maybank可以更好地达成目标，我非常感谢董事局的成员、管理层，以及全体职员努力维持Maybank品牌和名誉的承诺，并持续让Maybank成为国内最大的上市公司。”他指出，Mohaiyani Shamsudin于过去5年担任了Maybank的董事，因此对于集团的运作十分了解，集团也相信她将会有效地带领Maybank。Mohaiyani Shamsudin自2011年8月22日起担任Maybank董事，同时也是信用审查委员会、风险管理委员会的成员，以及Maybank Kim Eng控股有限公司的主席。"
macdude,20170302,"又一个十多万收入的女人。。 给个Like你 !!! "
morris43,20170302,"当才正不常用50%vs20sen时 煮席还是先来个小学数学考试测试下吧"
crystoaad,20170302," 为什么原任 要resign ? ~"
chinapee2,20170302,"所一说皮色不同， 上位也EASY，"
camel1213,20170303,"好事来的？"
牛牛好累,20170303,"有人存款才能生存的银行们。"
kennyteoh818,20170303,"好厉害。真的不简单"
舞猫猫,20170303,"那就拭目以待     "
surious_lion,20170303,"现在的行请，当然要找个女人来背镬。"
阿白,20170303,"穆斯林女人不可以当高管的... 是要被看头吗?!"
coveygoay,20170303,"4月1日愚人节庆祝白痴上任废柴公司当傻子的头..."
跛co,20170303,"还以为是前国家银行总裁 "
晓非,20170303,"马国明放假一天"
heavenguy,20170303,"April fool吗？"
盡用話題,20170303,"就因为付她一个人的薪水，逼9死很多老员工！"
NickNick,20170303,"maybank 的股票是会跌还是上升呢？"
