Topic title: 罕见意外！轿车千斤顶突然脱落  男子修车半途惨遭压毙
username,date,text
Cari_LSV,20170302,"巫裔男子维修车辆时鳫駣祸从天降，惨遭突然脱落凄羬搰的千斤顶压毙！图片譯服敜来源：Daily Traffic Report Facebook栨煌这起罕见意外鸡僊是于穥绁鏊星期二发蔄炀生鵜嬁在砂拉越民都鲁的襭騋索峇贡路段，目前，警方已证实死者是禔校杬传愢来自沐胶褶犨的巫裔男子Azlan Bin Hashim，今暋煶年40岁。根据诗华日报，一骅媅名罗里司机指出，諡谊窢他蘆乀在当天早澑澾上看挪舜到死者把车子停在櫧织犲路旁，并在牵阉鞲该处维修车子，貌似想要鋎菤更换车胎。不剋膂递料，他偑勔傍晚6点左右，再次路经该处时弩髳佢，却发现车子还停留稳牿籜在同一膢罆誚萬个地撁蕜方，而死者的脒躻双脚则露在甅恕车底外，麢櫍一詹嫝动也判絜海不动圞拫。当时郄咋他速抃心里起疑，踀诏対于口覃是停车前去查看。罗里司机驱前查看后发现，死者不蒜鮃幸被车子压中虀艘靯，他艁眔立刻设法将车子顶起，并将他鴫疒从车底拉出，闱瀎蒠不过嚔瘦为时唔鞕禩已晚，他叠凭已经没輧胛蟥了生鞞蒛命迹象。警方接到蒓罥消息后赶嘡逍諹到现场调查后初步推断，是絹涌鱖千斤顶突然脱落压毙死者。死者的凒攠遗体较后已被送往民都鲁医院太平间。"
一燈大師,20170302,"要用 backup “千斤頂”，例如磚塊或樹桐做第二重保險。"
kennyteoh818,20170302,"我每次做都是放2 只千斤頂。怕死。"
蓝火爆,20170302,"坦白说，如果阎王要你三更死，什么淋backup都没有用。。。。尤其是一些因果报应的东西。"
yk13,20170302,"真是死得冤枉啊！！"
ijibang,20170302,"通常，是把那个脱下来的 轮胎，垫在车底门下方，也就是靠近那个 千斤頂 处，那么万一千斤頂有问题，车身还有这个轮胎顶住，减轻伤亡了。 "
XHunterOz,20170302,"愿死者安息  其实现在foreman都是把轮胎塞在车侧边backup 的。就算压下来也有轮圈承着"
surious_lion,20170302,"更换车胎需要钻车底？？"
chtan69,20170302,"超人也怕死？"
weiwei318,20170302,"吓死人了"
ttntt,20170302,"阿弥陀佛 "
Takashi,20170302,"换轮胎为什么要钻车低？"
rio90,20170302,"上苍的旨意阿拉虎阿爸阿弥陀佛"
chinapee2,20170302,"又是MADE IN CHINA的千斤頂"
gaomin,20170302,"画公子没有画出肠，他应该是懂也装作不懂。"
gaomin,20170302,"粗心大意，又在斜坡用，那里made的都可能发生意外。"
allenlfs,20170302,"换轮胎为什么要钻进车底。话说我也经历过那个pump失灵，整个disc brake 直接撞地"
kwai56,20170302,"地球是圓的，燈亮燈滅就差個千斤頂嗎 "
EdmondKuan,20170302,"安息.阿弥陀佛."
prince,20170302,"看得出，他不会换轮胎。哪有人换轮胎换到车底去的？如果要去车底，也要把拆下的轮胎放在车底下去，以防上述事故，连我这个非专业的都懂。"
macdude,20170302,"RIP"
monster.inc,20170302,"無知真可怕。"
神经妹,20170302,"很恐怖，愿往生者早日安息太危险了"
天然夜行者,20170302,"沒有back on plan的？"
vacheron,20170302,"冤枉"
iStandAlone,20170302,"放肆! 在大师面前竟敢班门弄斧 谈因果大师为大马华人费心劳苦，引导大家作出正确政治选择，不被反对党误导。终究会结好的果"
timoti,20170302,"我也是奇怪。"
des_cho,20170302,"早上躺着修车躺到傍晚没有人发觉不妥的吗？"
wrm95,20170302,"次等品的千斤頂？"
cobalt_blue,20170302,"可怜的意外"
unish,20170302,"阿弥陀佛 "
SoulDeWayne,20170302,"他用的千斤顶看起来可能是放不正倒下来的。正确的做法是，用千斤顶顶上来后用这个固定。"
晓非,20170302,"阿弥陀佛"
amituofo001,20170302,"有点恐怖喔"
舞猫猫,20170302,"好可怕啊                            "
rioj,20170302,"是千斤顶脱落导致车身压毙修车人，还是千斤顶脱落压毙修车人？ 写新闻时，文字精准点。"
大小強,20170302,"可怕的是傍晚才被發現死在現場"
蓝火爆,20170302,"他都不敢回我帖。。。。"
蓝火爆,20170302,"大师可能有练过少林铁头功，顶千斤不是问题。"
eldertitan,20170302,"换句话说, 根本无需什么以防万一的准备, 因为阎罗王要你三更死, 你就得死  玩命的可以继续玩命, 因为阎罗王可能让你活到80岁  工地工人不需要用安全帽了, 因为阎罗王定你生死, motor 骑士也不需要用头盔了, 因为你就算翻车, 阎罗王要你活, 你还是命不该绝 "
蓝火爆,20170302,"不过坦白说，大师如果还一再而再的执迷不悟，因果循环这一门玩意儿肯定会出现在大师的身上。"
蓝火爆,20170302,"没错，所以我从来就不相信鬼神，但我相信因果。"
