Topic title: 美联储3月若加息 马币再下跌 10%
username,date,text
cct2050,20170303,"马币 5.00 不远了痛骂纳吉之声再起"
高盛：美联储3月若加息 美元可能上涨10%美元高盛联储_新浪财经_新浪网.png,20170303,"跌破4.885 就大条了。"
山村野夫,20170303,"890亿大债主不是玩玩的，够力咯！"
prince,20170303,"是时候再买入美金咯"
梦想之追求者,20170303,"谢谢鸡歌和卖华一干中立"
mark,20170303,"要买美金来收了"
vongolia,20170303,"大碌咯"
qweasd147-,20170303,"是时候全民换美金。"
+_o_+,20170303,"纳吉政府都老神在在，巫统部长还会拿一大堆理由来掩盖。你们人民怕什么？继续相信他啦"
空中说话,20170303,"美联储3月“若”加息美元“可能”上涨10%金正男在飞机场死于VX-韩国投诉联合国朝鲜拥有8千吨化武-美韩3月军演-trump7千亿的军费这些全部就是为了“若”和“可能”"
洗零,20170303,"今年会升 3 次息 3 月 9月 12 月"
cct2050,20170303,"換美元去炒美股赚更多"
野村预计美联储今年加息三次 本月就将行动耶伦财政政策加息_新浪财经_新浪网.png,20170303,"各界又有理由可以合理化起价了"
wong23233030,20170303,"再那样跌下去， 支持政府的粉丝没有rasa 吗？？后悔了，我没有换美元，早知道3点多的时候换多多。。。"
yk13,20170303,"Long term trend。。美國接下來幾年都會慢慢加息馬紙慢慢享受吧"
yoke2312,20170303,"高盛：若美聯儲3月加息或推動美元上漲10% - 華爾街日報http://cn.wsj.com/big5/20170302/bog173949.aspA March Rate Hike Could Move Dollar 10% Higher: Goldmanhttp://www.barrons.com/articles/BL-AFUNDSB-8875"
天然夜行者,20170303,"2016 ~ 2018 都是加息年"
aidj,20170303,"无需太过介意，3千万人陪你辛苦。"
Screenshot_2017-03-03-19-01-38_com.android.chrome.png,20170303,"无需太过介意，3千万人陪你辛苦。"
cct2050,20170303,"我也存了不少美金，穩定升值中  "
eldertitan,20170303,"我全家人改唱美国国歌已经很久了"
马来剑,20170303,"国家又欠沙地，又欠中国，还有前途吗？？？！！！"
洗零,20170303,"Mercedes和Volkswagen 德国佬丢多几千万投资大马马来剑认为没有前途的话可以打包回印尼"
洗零,20170303,"你放心鬼才鸡哥会把马币慢慢转移去人民币"
影身单孤,20170304,"马币兑美元，短期跌 10% 几乎是不可能。美联储第一季加息，是去年中已经开始说起。今年初，市场已经几乎确定是三月了。这几个月马币兑美元持续下跌，原因之一是已经在消化着未公布的加息效应。"
巴士来啦,20170304,"国阵领导，马币跌倒 "
ahlauweihotmail,20170304,"跌吧，不怕不怕……"
山村野夫,20170304,"兴啊！旺啊！发啊！赚新币的马劳爽翻了。"
Akira_sendoh,20170304,"可怜马华仔又要想理由来pusing了"
SIEWMIN,20170304,"Pusing老馬的錯"
.parislean..,20170304,"若你个孃清吗  美国升息对货币有直接的沖击本就是不争的事实以马币短期内迅速暴跌至1美元换RM4.5的颓势RM5.0 0有何不可能？无知就别来扮有智慧，，正一懒Q醒兼不知所谓  是龙你条得把嘴就上天了，还会在此打字扮智者吗，，白辱  "
AAspanky,20170304,"换美金买snap 股票。哈哈哈"
quadro,20170304,"snap inc 股价上涨了, 现在才买不划算吧 "
AAspanky,20170304,"一年后就x3倍的股票      因为中国马云有加股投资它。马云一定会让它翻倍。"
叫狼,20170304,"没事，纳吉白毛黄家定凯里阿扎末希希山幕丁老马..还是很有钱 "
cct2050,20170305,"高盛建议它的顾客卖空马币"
jellyfish_8,20170305,"马币贬值是大势所趋。。没有办法的。你看两张图走势一样。红豆以为如果林神做首相，那个马币走势会倒反过来。  如果林神做了首相，红豆们等着配合tok guru 割 咕咕吧   "
IMG_1185.PNG,20170312,"@潘君亮 @storm0227 短短两个星期内，美国2年期国债收益率上涨20基点，是不是意味着接下来24个月内美元兑G10货币就会上升大约2%？ “连续加息”噩梦：市场对六月加息预期也超过了50% http://m.wallstreetcn.com/node/294757"
IMG_1186.PNG,20170312,""
aidj,20170312,"还要面对各种的涨价。"
50912cmea,20170615,""
cct2050,20170615,"石油跌破 45.00 "
CL1 Commodity Quote - Generic 1st 'CL' Future - Bloomberg Markets.png,20170615,"最近没有人喊FED 升息，因为升息后的美金涨幅早就涨出来，而且市场早就估计美国升息3次，应该会在九月美国再升息后( 如果），市场就会关注 Q4的汇率政策"
科学就是未来,20171105,"如果国行明年（2018年）利率7月继续维持3% 美联储如期升息3次利差下可能进入75-100基点的区间。新闻背景：3大因素．5大趋势．今明年利率料维持3%"
aidj,20171105,"94.83 +0.21    +0.22% 03/11 - Closed."
aidj,20171105,"市场最大的恐惧是什么？基金经理给的答案出奇的一致"
