Topic title: （非回教徒）马来西亚结婚与离婚法令：即将步入婚姻的男女必知！
username,date,text
元旦8466,20170305,"摆酒时要用斗底或者老虎班???~中立卖鱼亲戚~=============================马来西亚结婚与离婚法令：即将步入婚姻的男女必知！婚姻与离婚法令（非回教徒婚姻法令）在我国非回教徒婚姻法令下，1982年3月1日之后，婚姻没注册等於无效。1982年3月1日，新法律（1976年法律改革婚姻与离婚法令）实施后，只有在“婚姻注册官”主持下所举行的婚礼，才能使男女双方结为合法夫妻，注册结婚后，男女任何一方，在婚姻持续期间都不能再和其他人缔结有效的婚姻（一夫一妻制），重婚者将犯重婚罪。在婚姻法令生效前（即在1982年3月1日），根据华人传统风俗结成的婚姻，在法律上是合法的婚姻，这等婚姻必须被视为已在婚姻法令下注册，并且必须继续有效，直到因为其中一方逝世、离婚或被法庭宣判婚姻无效而被解除。但是在1982年3月1日后，法律硬性规定，只是依据婚姻法令注册的婚姻，才被视为合法的婚姻。也就是说，华人再也不能只举行华人婚礼而结成合法夫妻，因为没有注册的婚姻是无效，不被法律承认的。在婚姻法令生效后，我国华人只能根据一夫一妻制结成夫妻。任何在婚姻法令下正式结过婚的人（不论是根据华人传统风俗或任何法令结婚的），都不能在婚姻持续期间，和其他人再次涉及婚嫁，不论该等第一次或第二次的婚姻是否在我国境内或境外结成。如果再婚，就要面对重婚罪的指控，罪名成立，可被罚款或判坐监最高达7年或两者同时执行。在重婚下的第二次的婚姻必须是无效的，这等“妻子”在该男人逝世而未立遗嘱时，将无权继承其遗产。注册结婚注册结婚的条件：1. 男女双方其中一方必须为马来西亚人。2. 男性必须达18岁，女性必须达16岁。a. 年龄介于16至18岁之女性必须先向首席部长／州务大臣/注册局总监申请结婚准证请准结婚。b. 不足21者，需经过以下人士的书面同意i. 父亲ii. 若父亲逝世，母亲方有权利替代iii. 若是被领养者，则由养父替代，若养父逝世，则由养母替代iv. 若双亲逝世，则由监护人替代v. 若没有监护人，则需向高等法院请准结婚c. 当注册结婚时，双方必须未婚。d. 双方必须没有亲密家庭血缘关系e. 双方并非同性别。f. 双方必须是出自于自愿结婚。离婚根据我国的离婚法，离婚可分为以下几个部分：1. 双方同意离婚结婚的男女双方在注册结婚的两年后，经过双方的同意、联名申请离婚，此等离婚不需提出特殊理由。1982年以前的婚姻，即使是未经注册而是根据华人传统婚俗而结合，也必须到律师楼办理离婚文件向高等法庭请准离婚，才能离异（在报章上刊登离婚启事来解除婚约是无效的）。2. 单方面申请离婚只有经过其中一方的同意，而另一方并不同意的情况下提出申请者，必须提出正式的离婚理由－－双方的婚姻已经破裂到无法挽救的地步。以上述理由提出申请者，必须以下列事实为根据：a. 配偶与他人通奸而导致你无法与他生活在一起。b. 配偶的行为举止使你无法与他生活在一起。c. 连续二年遭配偶遗弃。d. 与配偶分居达二年（a, b及c必须经“婚姻调解庭”的调解失败后，才能正式向法庭提出申请）3. 任何一方向法庭申请要求宣判婚姻无效在下列任何情况下，一项在1982年3月1日婚姻法令生效后结成的婚姻必须是无效的：a. 其中一方已婚，其原有婚姻还有效，而其原配仍然在世b. 其中一方是在十八岁以下或不同意结婚c. 与结婚之人有血统关系d. 与结婚之人是同性别e. 配偶性无能f. 任何一方不合作，无法完成婚姻生活g. 不是出自于自愿结婚，而是因恐吓，错误，精神不正常等原因而答应结婚h. 结婚之时配偶患有性病i. 结婚之时女方已经怀有他人的孩子离婚的处理离婚必须经过律师向高等法院办理，经高等法院的判决才属有效。在谕令离婚时，必须经过以下二个阶段：1. 在听审后，高等法院将发出暂时离婚令。2. 在得到暂时离婚令的三个月后，将此暂时令申请改为绝对之离婚令。（在得到这绝对离婚庭令后，离婚者才可以再婚）结论在1982年3月1日新法律（1976年法律改革婚姻与离婚法令）实施后，注册结婚的结果是：（一） 此婚姻是合法和受承认的，并且一直延续至高等法庭判决取消婚姻或准许离婚或其中一方死亡。（二） 双方皆不可以重婚，也就是说多夫制或多妻制都是被禁止的。（三） 离婚或取消婚姻后，有关的赡养费、孩子（如有）的监护权和婚后财产的分配权力等都获得保障，若有任何要求可通过律师向高等法庭提出申请要求宣判。"
浩浩荡荡,20170305,"不potong的话没任何漏洞可以娶超过一个？"
dontkillmee,20170305,"你有钱养多少个都可以，只不过只有一个能继承你死后的遗产不过亲身子女都有权继承遗产，没立好遗嘱的话到时候就有遗产官司大战看了"
浩浩荡荡,20170305,"死了都看不到了，反正也带不走的  重点是活着的时候想要两个  "
阿白,20170305,"如果我养多多个小三, 立好遗嘱给这些小三, 那不就等于一夫多妻了吗?  "
元旦8466,20170305,"你认为律师都是吃屎的吗?也是有官司打的…到时你的正室、子子孙孙会说你的遗嘱是伪造的、或是你在神智不清时立的，世界各地经常都会有的新闻…"
蓝火爆,20170305,"若很有钱可以忽视。"
dontkillmee,20170305,"我说的只是仅仅法律上的问题，老死之前你不用养着供着两个老婆？"
福澤諭吉,20170305,"針對那些娶山藩vietnam indo thai cambodia mynamar的華人吧！你們介意往後他們的混血 子女和你的兒女搞上婚姻關係（萬一遇到）"
Orochimaru,20170305,"还好没有离婚讲分一半家产 "
LIHUI0114,20170526,""
