Topic title: 地方选举何必呢？
username,date,text
佳礼编辑,20170307,"图片来源 : 网络有火箭议员近日说，若要地方选举，必须换掉中央。还给人民第三张选票是火箭槟州政府上台后的第一承诺，不错，是“兑现”了，那就是去函叫中央办，中央回函说不办，依法必须委任。去函是官样文章，回函也是官样文章，此事就不了了之。但是社运团体包括净选盟却认为即使必须委任，也可以先选举，就是先选出来，再根据民意委任。这怎么行？把中选名单交给我委任，我不就成了橡胶印？那些受委的人会感激我吗？我喜欢自己委任，看众人围绕在我身边，享受“恩从己出”的快感。成千上万县市议员的委任权，是一笔可支配的重要政治资产，以前别人支配看不顺，现在自己支配了，要我放手难啰。除了地方选举，还有另一张更重要的选票忘了吗？就是上议院。过去反对党百般嘲笑说上院是橡胶印，是养老院 ，因该该民选。现在谁还提这个？民希联各州委任的代表，正在上院静静地做老爷。委任制改为民选制，过去是国阵不想，现在谁都不想。如果有人在大选中说，为了第三张选票必须换政府，那是讲给“太令公”选民听的。 免责声明：作者文章仅代表其个人意见，不代表本网站立场。"
ongtk,20170307,"这位客家佬写的东西我看到斗会吐"
一燈大師,20170307,"有人要當皇帝，操生死大權，連 NGO Bersih 和 火箭奇才潘儉偉 的 “先選後委” 的建議也聽不進去。雪州行动党主席潘俭伟今日说，行动党已向雪州政府建议以 “先选举后委任” 的方式来推行地方政府选举。"
thunder,20170307,"先选举后委任其实是可行的，就看那个州可以敢敢来，不一定是反对党执政的州，国阵的砂劳越国州其实也可以开先河，大家都不敢实行，应该是害怕如果选到的不是自己友，那会很没脸，很傻蟹，敢敢来吧!做政治正确的事，别只做政治利益的事!"
sem,20170308,"承诺和落实是完全两回事。。。。。。"
kmrddecade,20170308,"过去是国阵不想，现在谁都不想。这一句厉害"
20tlv04,20170308,"李光耀是高级客家佬, 一国之首, 在国际受人尊重反而这条水是低级客家佬, 所以只能当槍手, 只有佳礼中立会舐他 "
^民运份子^,20170308,"和孙中山一样，袁世凯做总统时说要内阁制，孙中山自己做总统时却说要总统制。"
liang_2002,20170308,"看張木欽的爛文何必呢？"
中国妹--丝丝,20170308,"有几个问题想问。1)请问委任市议员有什么标准？2)市议员有拿薪水的吗?多少？    可以兼职吗？3）如果薪水不高，为什么很多人要争着来做？ 4)任期几年？做不好会换人吗？"
绝地榴莲,20170308,"1） 反正是州政府州首长说了算。 有谁敢去问他用的是什么标准？2）有， 有出席津贴还有其他的一堆津贴。  但真正的好处，可都不在台面上。。。当然可以兼职。  3）你说呢？4）2年1任， 表现好， 人家喜欢你， 就可以连人咯。  至于做得好不好， 是谁说了算？"
中国妹--丝丝,20170309,"谢谢你的解答...我们都知道州议员可以拿到好处，问题是市议员来来去去都是民生问题或水沟马路洞篱笆问题，请问好处在哪边?还有，市议会协调官是什么职位来的？"
绝地榴莲,20170309,"市议会可以做城市规划呀。 哪块地可以拿来做什么， 可以批准建筑准证， 你说这够不够？沟渠， 垃圾， 马路， 民生问题？  不都是财路？"
yoke2312,20170309,"对火箭真的很失望。。。。。。。"
