Topic title: 谁说来届大选纳吉没压力
username,date,text
.parislean..,20170308,"面对马哈迪及希盟的围攻若说巫统不感吃力是假的UMNO內部权争依然汹湧，内外压力下纳吉要Keep住505时所贏得的所有国席并非易事，就是有所损折亦不属意外。土团与PKR集力主攻吉打／柔佛／登州／霹雳，，这数州在马哈迪的领军下情该有所突破！说白一点，，马哈迪正是巫统马来票流失的隱忧之处若选绩未能有所突破纳吉无论为党为己为权为益也好都大有可能开放盟户邀行动党加盟取代马华民政以建立新的权力架构，既能让华人重登大台也顺应大势，，这是大有可能事成的至於马华民政就成为历史出局吧中立文棍宣告失业大家认为这局况会否有可能出现呢"
NickNick,20170308,"谁说 najib 有压力？叫回教党搞砸弄三角战，就能坐收渔翁之利。"
.parislean..,20170308,"哦,,是吗 你的说法不过是设在情况上，难道你认为尤如诸侯伐纣的势局他真的可全然无视？有时说话别过於夸事，那会离脱事实的懂吗大侠  "
誓save同胞,20170308,"当年伯拉也是因大选连失数州政权而备受压力下台呢  "
.parislean..,20170308,"听说马华的黄家定与蔡细D好像也是同一情况"
温影帝,20170309,"中國投資大馬問題會成為一根草,但他好像不知?"
支那一番,20170309,"繼 黑色淋 的 ‘兩個月内經濟危機’ 后又一仙傢帖"
.parislean..,20170309,"仙你个嬢清吗  此帖的说法在文语间尽表明事属设论，不解文意就去读多点书才上台来卖。正一不知所谓兼懒Q醒／白辱   "
阿白,20170309,"有镇店之宝河马坐阵, 压力是什么?"
Hishammudin,20170309,"得東馬得天下"
軟皮蛇,20170309,"可怜的东马原住民祖宗山坟都被人淹了还大力支持国阵世世代代被欺被骗，东马人永远是最可怜的一群。"
NickNick,20170309,"根据505大选 seminyih 和 kota damansara 州席，和大港江沙补选，还有sarawak州选。三角战巫统必胜无疑。这些都是有根据的。"
nothandsomeguy,20170309,"得到伪中立的维护，那只鸡可以再起GST，油价。"
.parislean..,20170309,"这并不适以解释你说纳吉毫无压力之说法 若处於被围攻是全然不足道之事纳吉需急切去重新划分选区吗？需派钱笼络人心吗？需在不甘的情况下答应东马国阵的诸多条件什至多方面的主权要求？说话时请用脑去想想事与理间的分别，，你现清楚了吗文棍。 "
.parislean..,20170309,"与本小姐对论你就得事对事理对理，，不然就会被人白辱了。  "
kennyteoh818,20170309,"看过最近的死人补选。想赢？？ 慢慢等吧。有空就找爱人舒服舒服比较实在"
.parislean..,20170309,"我们绝对欢迎祖国来马投资一起共创繁荣／并一同见证中华盛世  "
download.jpg,20170309,"你有权作个人想法  "
.parislean..,20170309,"誰贏下東馬誰就勝選，無論cari網友怎麽吊都沒用"
天然夜行者,20170309,"咦    新坛来的  本小姐又没期望说联盟必会胜出，只是就局势打个趣话而已  但联盟在其他州政权上有所斩获是大有可能的  "
jiunnlim2,20170309,"我认同纳吉有压力，而且不小，其实我们可以从国政从308 开始贪的明目张胆开始就知道国政的压力很大，所以他们要在任内尽量把能贪的都贪完。但是同时我认为国政赢得下会大选的几率大于希联还是很多。希联需要多多加油了"
支那一番,20170309,"不要這樣，有選擇他們也不想做 東馬土著 的，可是命不好投胎在 東馬部落"
prince,20170309,"有47%+300万外劳票，惊乜野？那贼哪里会有压力，起价不懂起到几开心。"
一燈大師,20170309,"呼籲華社別給壓力火箭，讓火箭和 PAS 再次擁抱，完成一里路執政布城。Inikalilah。"
NickNick,20170309,"我用历史的根据来理论。是你不讲道理。你输了！"
Barryliaozs,20170309,"当然还是有的。上届他就输了多数票，要说毫无压力是假的。我们这种议会制的国家，作领袖的可以随意解散国会择期选举，若说胜算很大老早就宣布选举，一般要拖得肯定是有压力。"
軟皮蛇,20170309,"那你为什么又仇视中国人呢？看你户名知道的  "
支那一番,20170309,"這是你的誤解，本座並不仇視 中國人 "
誓save同胞,20170309,"伊党已过气，，现我们有更强大的敦马哈迪 "
瘋流材子,20170309,"希望他老人家还是有影响力吧"
