Topic title: 伊斯兰法绝对会施行在非穆斯林身上，dap严重误导华人非穆斯林
username,date,text
bkkt09,20170310,"禁婚前性行为！外国情侣阿联酋怀孕被捕据南非男子和他的乌克兰籍未婚妻，自1月29日开始被阿联酋警方扣留至今。-图取自太阳报-"
nothandsomeguy,20170310,"逻辑思维有待加强。污统与回教党都是清真。其实最好办法是非穆斯林政党联合一起反对。不是只是怪罪火箭。"
bkkt09,20170310,"巫统和回教党都是清真巫统要世俗化回教党要伊斯兰国然后dap告诉华人回教党伊斯兰政策不对付非穆斯林叫华人投要伊斯兰国的回教党，拒绝世俗化的巫统这条帐华人不找dap算找谁算？"
nothandsomeguy,20170310,"请你搞清楚点，由头到尾巫统与回教党在比赛清真，看猪毛扫就知道而且巫统比回教党跟危险，因为他们也强调ketuanan melayu.巫统罪加一等。"
bkkt09,20170310,"华人和非穆斯林必须看清楚，当初的dap是怎样替回教法涂脂抹粉华人盲目听信dap甜言蜜语，导致今天被dap带去荷兰的境地林冠英：伊党保证．伊法不强施非穆斯林（吉隆坡28日讯）民主行动党兼峇眼区国会议员林冠英说，伊斯兰党重申伊斯兰律法不会实施在非穆斯林身上，这将更加坚定民联所许下迈向全民正义的承诺，而伊党也继续开明的坚持宗教自由的理念。他发表文告表示欢迎伊党主席哈迪阿旺关于吉兰丹哥打峇鲁市政局无意将伊斯兰道德律法的任何条文，扩展及实施到非穆斯林身上的声明。“过去几天，行动党积极与伊党领袖沟通，最终在昨天的国会大厦进行一项非正式会议之后，行动党非常欢迎获得了伊党上述的保证。在昨晚进行的行动党中委会中，对于伊党重申非常关注非穆斯林及认为伊斯兰律法不可以强制性施行在非穆斯林身上，中委会认为是一项正确之道。”林冠英说，与要将伊斯兰法实施在非穆斯林身上的巫统所不同的是，伊党已采取了比较开明的立场，也就是伊斯兰法只实施在非穆斯林身上。再说，伊党在“阿拉”字眼的课题上，采取了比巫统更中庸的立场，允许圣经使用“阿拉”字眼，而不像巫统般企图禁止他人使用“阿拉”字眼。“基于这个原因，民主行动党希望，在非穆斯林为异性非穆斯林理发所发出的罚单，能够尽速被撤销，并修改有关条例，以将非穆斯林排除在条例之外。今日的报章引述了丹州大臣拿督斯里聂阿兹说，执法当局在加诸于非穆斯林身上的伊斯兰条例上确有所疏忽，而丹州行政议员莫哈末法斯哈山也说，吉兰丹州政府将会与非穆斯林社团代表及商业业者展开对话，以讨论有关引起争议的条例。”他说，吉兰丹的伊党州政府准备承认他们的疏忽，与巫统顽固否认他们所犯下的错误，形成了鲜明的对比。http://www.sinchew.com.my/node/1294551"
nothandsomeguy,20170310,"非穆斯林政党还不团结，还要互相攻击。当穆斯林去到90%时，全部cina 自动变穆斯林时，你就吃蕉。"
bkkt09,20170310,"这话你应该去跟你的lim kit siang讲叫他和他宝贝儿子出来交代下，怎么挽救他们挖给非穆斯林去踩的炕而不是一直推卸责任骂马华民政，然后假假通过老马牵线，继续找回教党合作卖华"
一燈大師,20170310,"火箭誤導華人、非穆斯林，說有能力說服 PAS。哥市商场美发店被指违例．为异性理发接罚单- 新闻| 星洲网Sin Chew Daily行总：丹钟表店接罚单·伊化条例影响各业- 新闻| 星洲网Sin Chew Daily"
jellyfish_8,20170310,"强调回法的最终目的是要让宗教师掌握实权，让现有的专业的三权分立的司法，立法和行政全部转移到宗教师手里。林神的let it pass first是极度不负责任的。"
lumixcer,20170310,"其实包头佬是做25给戳破，才延伸出硬搞回教法。。偏偏马产视宗教高于信用和道德。"
