Topic title: 马华再无政治地位
username,date,text
誓save同胞,20170310,"马华再无政治地位巫统代表大会都被人指到明寄人篱下骗官做，且更被人明言暗示的该另找出路，甚至在国会被建议不需拨款给华校，原因是华社不支持国阵(所以两年前承诺的五千万拨款事果然至今仍遥遥无期)。其实无论在情或势上皆已显出马华民政与华社越行越远，这两党再也不属华社也非华社所需，，他们挂名內阁却毫无地位，对华人的素求全无能力。虽身为内阁成员部长，但在经济发展政策上从来只会附和巫统欺民诈财，现更因无筹码怕得罪马来人没官做而对许多种族极端事件默不敢作声，，，如此的政党还有何为呢？马华那点微力实已无法为巫统所用，来届把票投给马华根本是无意义的，此成员党是否存在对国阵已全然不重要，来届大选后大家就可看到巫统现实的一面了，就只怕马华硬不知廉耻等施舍妄想当官。"
thunder,20170310,"为什么上一个帖被封掉？蓝教在佳里是禁词吗？"
Ragnarok026,20170310,"與粗口諧音"
CjHyMC,20170310,"真是一派胡言。。。马华没有政治地位，但是在佳礼转几圈，看有多少篇帖子是骂马华的，有多少帖子是骂巫统的？还有你们说的死中立，是马华的死中立还是巫统的死中立啊？"
.parislean..,20170310,"把票投给马华根本无价值非说不给机会，只因此党已无作为。"
loongken,20170310,"好像只能骂火箭不能骂马华？"
Hishammudin,20170310,"mana MH370 ?"
誓save同胞,20170310,"马华的地位已是Long Long Ago 的 Story了你若不认同的话不仿说说此党还有何作为，看是否有人认同。"
誓save同胞,20170310,"最近佳礼确是好像有着放容仇火箭的迹象  但我相信latte版主不会的"
.parislean..,20170310,"骂马华也是Long ago的story了现整个版块就只见箭嘴枪手在夸事刻划行动党。"
thunder,20170310,"他真的是中立的？我的回复都是他封掉的，应该是巧合吧！  "
loongken,20170310,"他不是关你贴那位吗？"
prince,20170310,"思想肮脏龌蹉的下流胚才会联想成粗话。"
誓save同胞,20170310,"那你认同本席言内的事实成份吗？  "
誓save同胞,20170310,"是他关的，但这鬼人不过是有点古版尚不算是个仇事者。那叫zone的就就是典型的极端仇火箭者了，  "
誓save同胞,20170310,"中立 一词在cari 事属理还乱，有些实不过是性喜卖文卖理的文棍而非枪手，，  "
dogdogman,20170310,"因為刺痛到某些籃教派的版主。其實，有紅的，做麼就不可以有藍的？可以稱呼紅豆兵，做麼不可以稱呼藍教兵？金庸武俠小說笑傲江湖的藍鳳凰藍教主，難道拍電影電視劇必需要doot 掉？"
20tlv04,20170310,"蓝教派的心是玻璃做的.........易碎 "
Ragnarok026,20170310,"藍教 （lan jiao）懶叫 （lan jiao）卵鸟        lān-chiau（闽南语），中文谐音“懒叫”wiki是思想龌龊的地方？ "
Ragnarok026,20170310,"认同个屁？我老早就说过马华已死这件事了是反对党一直把马华从棺材拖出来鞭尸而已 "
CjHyMC,20170310,"说真，马华还有一个人，叫张天赐。"
一燈大師,20170310,"火箭視乎很肉緊馬華，只敢找和自己實力相若的對手喊話。 若馬華無政治地位，大家也會聯想到火箭在希盟裡的地位更爛。"
kennyteoh818,20170310,"一不小心插到麻花。立刻扣分。 中立？算了吧。"
prince,20170310,"我写ci bai si liao，闽南语 这次死了，都被扣分，请问哪里是粗话，难道你们看到有胡子的都叫爸爸，跟巫统禁用他人使用 阿拉 字眼的极端主义有何不同？苏东坡曾与佛印静坐参禅。苏东坡对佛印说，我刚才参禅入静之后，天目大开，见你原是一堆牛粪。佛印说，我天目也开了，但见你如盛开的莲花。苏东坡自以为得了便宜。直到苏小妹告诉他，只有心中有牛粪，所见才皆牛粪，而心有莲花所见皆莲花。wiki洋鬼不懂佛理，我们原谅他！"
誓save同胞,20170310,"临近大选是需要鞭一下的   多十个八个席位对马华来说无改情况，但少了几席对希盟具程度上的影响了，马华该做的就是过档，但这过气的政党肯定放不下尊严屈居行动党之下  "
誓save同胞,20170310,"有听过这样的一个人，好像是为民请命蛮正义的。但你以为单凭一个张天赐就能救市吗？  "
Ragnarok026,20170310,"大有不同你有看過誰用阿拉這個字來侮辱別人？再來你應該仔細看看置頂規則，禁止的詞彙還有【淋神】這兩個字我是不是也可以用“心中有鬼看啥都有鬼”的理由去反對禁止這個詞彙？ 很多時候不是你從谷歌上隨便copy一段典故讓reply看起來很長就代表你很有道理的整個前提你都沒搞清楚，說再多也只是獻醜而已 "
prince,20170310,"你什么时侯看过我反对淋神字眼？  "
Ragnarok026,20170310,"臨近才鞭？抱歉翻一下論壇歷史，紅豆們也shoot了馬華兩三年了考一下你吧，知不知道為什麼黑色集會后一段時間內沒什麼人shoot馬華？又是哪兩起事件開始反對黨重新把馬華從棺材裡抓出來回到擂台上打？火箭和馬華本來就是唇亡齒寒的關係，誰少了對方都只會讓自己醜態畢現而已"
Ragnarok026,20170310,"那同理 我也找不到理由支持你反對藍教字眼被禁的說法  "
prince,20170310,"我要用就用，管你支不支持！"
Ragnarok026,20170310,"鬧任性？反正刪你帖扣你分的人也不是我，請自便 "
prince,20170310,"我每个礼拜都被扣，都习惯了，积分又不能换handphone。"
Ragnarok026,20170310,"原來是慣犯 "
prince,20170310,"版主，几时积分可以换handphone，记得通知我。"
蓝火爆,20170310,"他如果是真正中立的那么螺丝马如今还是处女。。。。"
蓝火爆,20170310,"那么，顺便叫版主也禁了祭拜，击败这些字眼。。。因为和闽南语女性生殖器官同音。"
.parislean..,20170310,"喔，，这本小姐可真的不懂但不仿唱来听听，看是否有可议论之处  "
kmrddecade,20170310,"我测试一下蓝教的威力，看思想不肮脏龌蹉的你顶不顶的顺，你这个没有蓝教的人，家里的中立喜欢把蓝教塞进你的口里。思想肮脏龌蹉的下流胚才会把这句联想成粗话。"
.parislean..,20170310,"是你条语无论吗。若实力相若就不会被巫统代表辱得头低低不敢作声了深受各族受爱戴的行动党向人跪拜求荣的马华 华人怎能向此党托负呢"
.parislean..,20170310,"看吧@latte3948  ，，人人都认为你执法极具选择性且不公什至无法作到版规上的大同。。。你是否该出来对事解释一下呢？网友说:蓝教意为马华国阵，这词汇大家其实都能会意，这版主执事也未免过於lebeh，论坛都被他搞得聊无生趣（不是我说的）"
誓save同胞,20170310,"道理这种东西若无法理及全面确是难以让人信服认可的"
蓝火爆,20170310,"顺便也禁止“槟州”这一个字眼，因为和广东话“宾周”同音，宾周广东话里是男人生殖器官。"
thunder,20170310,"那要用什么代替？ 槟X？ 应该也不能 ，X读起来就是 ass， 也可比做 piak 槟O可以吗， 只是这个O看起来又有点让人遐想  "
蓝火爆,20170310,"那么，就要给我们“大公无私严明公正不徇私情光明磊落”的伟大版主来作答了。。。"
cct2050,20170310,"马来西亚华人最不擅长就是政治西方世界人民都是这么做左派和右派，选票相差不到 5%人民掌握两派的势力的平衡权人民得到最大福利70 - 90年代给 80% 票给 MCA，结果 MCA 出卖华人2007 以后给  90% 票给 DAP，结果 DAP 出卖华人"
Don2011,20170310,"你们认真看看这几年马华失去了政治地位后就不断有种族纠纷，宗教冲突课题，林神信耶稣后还牵涉基督教与回教发生不愉快课题。"
cct2050,20170310,"权力的平衡华人政治最缺乏"
.parislean..,20170310,"我与latte时有通信息，他实不过是想纠正某些言论歪风希望网友能以正论为事，但有时却因情况而难以顾及全面所以才让人生出误解，，，毕竟事与理容易混淆总是让人难以细分。。。事就如有些说出个人观点但却被人认为是枪手的网友，，与及以事实指斥马华国阵却被喻为红豆愤青的人。当然，，江夏一灯／jellyfish8／假冒是神此类者除外  "
.parislean..,20170310,"就算你所言属实，但势既已如此对於目前难能改变的事就唯能先随势希望后能改变"
Ragnarok026,20170310,"我又不是問你 "
Ragnarok026,20170310,"嗯我不知道擊敗，祭拜，幾百這些詞要怎麼造句才會有provoke effect，請指教 你這個幾百兵？擊敗狗？祭拜男？sounds legit"
.parislean..,20170310,"把话说清楚点，，什么叫出卖华人了 ？你以为现是明末或二战期间吗？  现代有的只是政治手段与策略，，没出卖这回事。  "
Don2011,20170310,"你究竟是哪里人？说话方式如此特别。"
誓save同胞,20170310,"唱不出声就别来敲门了  "
Ragnarok026,20170310,"我明明在reply另一個人你卻馬上能反應過來，小號果然就是快呢！ 給你幾個關鍵字自己參透吧，免得又被你說大作道理故做文章 馬華入閣加影事件中間選民 "
Ragnarok026,20170310,"關鍵字feed你了你能聯想出大概來就代表我們還有下一步討論空間想不出來要麼就是你推算能力低要麼就是你的立場完全相反，討論也沒有好處反正你願意退一步的話我也沒有理由得寸進尺就是，理性討論怎麼說都可以促進腦力激蕩，不過硬要辯贏對方就另當別論了fact and opinion，後者硬辯是不會有結果的"
.parislean..,20170310,"唓，，，不就是大马人／写的不也是中文汉字／还是个美女来的。  你怎不想想会否是你等过於卖弄才显得本小姐的脱俗呢。  "
蓝火爆,20170310,"例子；  你老母祭拜你奶奶。"
Don2011,20170310,"没发变态图了吗？"
誓save同胞,20170310,"马华再无政治地位巫统代表大会都被人指到明寄人篱下骗官做，且更被人明言暗示的该另找出路，甚至在国会被建议不需拨款给华校，原因是华社不支持国阵(所以两年前承诺的五千万拨款事果然至今仍遥遥无期)。其实无论在情或势上皆已显出马华民政与华社越行越远，这两党再也不属华社也非华社所需，，他们挂名內阁却毫无地位，对华人的素求全无能力。虽身为内阁成员部长，但在经济发展政策上从来只会附和巫统欺民诈财，现更因无筹码怕得罪马来人没官做而对许多种族极端事件默不敢作声，，，如此的政党还有何为呢？马华那点微力实已无法为巫统所用，来届把票投给马华根本是无意义的，此成员党是否存在对国阵已全然不重要，来届大选后大家就可看到巫统现实的一面了，就只怕马华硬不知廉耻等施舍妄想当官。"
thunder,20170310,"为什么上一个帖被封掉？蓝教在佳里是禁词吗？"
Ragnarok026,20170310,"與粗口諧音"
CjHyMC,20170310,"真是一派胡言。。。马华没有政治地位，但是在佳礼转几圈，看有多少篇帖子是骂马华的，有多少帖子是骂巫统的？还有你们说的死中立，是马华的死中立还是巫统的死中立啊？"
.parislean..,20170310,"把票投给马华根本无价值非说不给机会，只因此党已无作为。"
loongken,20170310,"好像只能骂火箭不能骂马华？"
Hishammudin,20170310,"mana MH370 ?"
誓save同胞,20170310,"马华的地位已是Long Long Ago 的 Story了你若不认同的话不仿说说此党还有何作为，看是否有人认同。"
誓save同胞,20170310,"最近佳礼确是好像有着放容仇火箭的迹象  但我相信latte版主不会的"
.parislean..,20170310,"骂马华也是Long ago的story了现整个版块就只见箭嘴枪手在夸事刻划行动党。"
thunder,20170310,"他真的是中立的？我的回复都是他封掉的，应该是巧合吧！  "
loongken,20170310,"他不是关你贴那位吗？"
prince,20170310,"思想肮脏龌蹉的下流胚才会联想成粗话。"
誓save同胞,20170310,"那你认同本席言内的事实成份吗？  "
誓save同胞,20170310,"是他关的，但这鬼人不过是有点古版尚不算是个仇事者。那叫zone的就就是典型的极端仇火箭者了，  "
誓save同胞,20170310,"中立 一词在cari 事属理还乱，有些实不过是性喜卖文卖理的文棍而非枪手，，  "
dogdogman,20170310,"因為刺痛到某些籃教派的版主。其實，有紅的，做麼就不可以有藍的？可以稱呼紅豆兵，做麼不可以稱呼藍教兵？金庸武俠小說笑傲江湖的藍鳳凰藍教主，難道拍電影電視劇必需要doot 掉？"
20tlv04,20170310,"蓝教派的心是玻璃做的.........易碎 "
Ragnarok026,20170310,"藍教 （lan jiao）懶叫 （lan jiao）卵鸟        lān-chiau（闽南语），中文谐音“懒叫”wiki是思想龌龊的地方？ "
