Topic title: 驻朝参赞一家人不敢离开大使馆 母亲：感受到女儿很害怕
username,date,text
Cari_YWQ,20170310,"两名联合国鞀熁塂世界粮食计划署埵蜞龉的职员顺利离开朝鲜后，目前还有葜涘帙9名大弧翣使管职员粃艛页和家人圧麇抂留在憭髞朝鲜平壤，无法出境。其中頁呧，留縩侦軆在朝鲜平壤大隀仙使馆的鰺莛淧参赞诺阿兹林和庛忳妻儿5俭翬姫人，日前就驰邹致电回马，向母亲报平安。图片鯬懔来源：马新社新海峡鯘栧时报报道，身在椳豇烊霹雳州实兆远的食国擕玛兹娜(诺阿兹林禉眱的岳母)告诉《马新社》说，33岁的哻籜女儿依扎卡米拉曾亍韠在星期二下哔洔午(3月7日)致电回家报平安，希望母亲不夭溨翨要莅俕担心。但身为岍津母亲的脖湞觳她，其实感受庉爏到女儿内心鳉嬣的害怕，她相信女儿漓嶘鶼是为罜軕徱訾嶘了欴唠不要粯瓈轲让她担心，因此没有纀仇榀透露太多。玛兹娜说，她和鱨玼辣女儿通电话靂提砻的懦鲬时间非常短，只有萍絯几綄觡狉分钟。而自从朝鲜星期二宣布禁止身在徏蔉当地赖拏的殶儹奇児颽大马公民离境后，她无时喴阡无刻都感到蚀仨嗊非常倸渧的担忧。“自从被禁止离境后，莟鎝他们棟艣畲都害怕离开螀誾蟄大使馆的舴岣范围，甚至不琔饽敢送孩子去燌糉聝学校。”她说，女儿是谑輓魽鳂在两锒诲葄年前捨顟和夫婿一倒浃起到籥噸朝鲜，最后楱鯬一次回马是首箷鮞在擸臇去燈匀年的洿匭齥开斋节。另外，首相纳吉也说，朝鲜政府已向牆鳉汼大马保证大孺锩夙马公民瀠絎氿的安全，鑉誘貖他们鷨蓫可以嬊銕叏自由进行日常活动迕文，但妇阰不允许离开朝鲜。政府目前正尽最苉嗏綴大努力，将他慾埨们虗硎逖带回荲起騤国。新闻背景11名蚢蟠缐大马杅前人滞留平壤！朝鲜禁止境内大怢债簎马岏蓅溷国民离开朝鲜身熧咬玚在朝鲜你夀桌的2名大丕喽马籍联合僃沅鑿国女职员已安全抵达北京"
wrm95,20170310,"希望他们能平安度过。"
daimon,20170310,"希望他們快點回來！"
跛co,20170310,"另外，首相纳吉也在星期四曷嫺犢下午和诺阿兹林通电话交谈。纳吉也说，朝鲜政府再次向枚輦饧大马保证大马公民的安全，并且他竱腒睶们可以自由进行日常活动，但不允许离开大马。政府目前正尽最大努力，将他嫚崞掝们带回国。   不知道这位记者的程度  "
camel1213,20170310,"不懂要搞到几时。。。"
素还真,20170310,"大马keep住人家国人的尸体for what? 再说这个人是金哲，不是金正男。（官方说的）"
Orochimaru,20170310,"那个大使也是好意思自己先撤离，没有带他们一起走哦噢"
Mr.LowGimWei,20170310,"那个两位大使太自私了。。。"
gaomin,20170310,""
syncsw1,20170310,"驻朝大使是在2月20日被Putrajaya传召回国的。其他人滞留平壤是政府的责任，上星期驱逐朝鲜大使之前就应该兵棋推演到这个scenario。外交部意识到这种风险，就需要把人撤回来。"
50912cmea,20170310,""
vongolia,20170310,"不要傻，如果把尸体给朝鲜，朝鲜立马在尸体做手脚，然后推翻马来西亚公布的死因再诬蔑马来西亚多一次。 再说把尸体交给凶手也于理不合。 要交也必须等待案件完结后才能交。 要不然没物证，然后到时朝鲜又公布是别的死因，这岂不是不能提控那两位女杀手？最低程度也必须控告那两位女杀手谋杀让她们对她们的所做所为付出代价先。 "
lam69,20170310,"大人如果没有绘声绘影。小孩会害怕 ？"
50912cmea,20170310,""
盡用話題,20170310,"我觉得阿拉神通广大，要teleport几个人回来应该不是问題"
净莲妖火,20170310,"哈哈哈，你这句厉害，我喜欢... 简直就是金句"
盡用話題,20170310,"整个朝鲜被吓到变回教国。。。"
弟兄姐妹,20170310,"马来人都不懂朝鲜话，过去那里得到人会马来语言。政府不知搞什么黑暗世界活动  "
洗零,20170311,"For wat?至到美韩军演完毕"
pornkingreturn,20170311,"回教徒恐怖分子居然怕共残党？ 都是abang adik 怕个毛线？"
pornkingreturn,20170311,"因为发现那条咸鱼其实是外星人造访地球很宝贵的！"
Orochimaru,20170311,"就多那几个人罢了，zomok只撤离大使，难道大使馆职员和家属就没有风险meh？"
Cinabaku,20170311,"养兵千日，用兵一时"
prince,20170311,"不用紧张，巫统跟朝鲜abang adik，大选前总要制造一些外交风波来巩固选票，这是那贼一路来的作风。这场杀鸡儆猴政治show 会死多少人国阵根本不在乎，最重要骗到妳们投国阵。"
qazz1947,20170311,"记得以前纳吉一通电话，就把一堆尸体弄回来"
