Topic title: 甲州行动党再掀退党潮 182党员宣布退党！
username,date,text
Cari_PHJ,20170312,"行动党再一次掀起了退党潮，竟有多达182名党员宣布退党！自马六甲民主行动党4名国、州议员宣布退党后，今天甲州再有多达182名前领袖以及党员宣布退党，相信这一次的党员退党举动形成了该党自创党以来，最大的退党潮。根据东方网报道，甲州行动党前副主席廖政光的代表表示，经过了长达一个月的考虑，基于甲州行动党领袖的政治行为已经违反了个人的参与，以及政治斗争意愿，因此182名党员决定集体退党。这是4名国、州议员宣布退党后的另一波退党潮，而根据目前形势来看，相信还会再有党员退党的消息。"
alex2083,20170312,"那几个鬼在搞鬼，决定不能妥协"
支那一番,20170312,"退黨保平安"
NickNick,20170312,"马六甲火箭只能攻打一个国会议席。对大局没有太大的影响。最多就放弃马六甲这个没有痛痒的州，专注打柔佛和森美兰就够了。"
nagao,20170312,"林神还不醒？还自以为自己有多受欢迎，目前的问题全是他所超成的。"
50912cmea,20170312,""
cct2050,20170312,"看马六甲人怎么说"
(2) 《中國報》今日馬六甲.png,20170312,"基于甲州行动党领袖的政治行为已经违反了个人的参与，以及政治斗争意愿…………哈哈，究竟是违反了什么政治斗争的意愿也没有讲清楚！难道是觉得行动党现在已经比中共更加独裁专制自大共产了吗？而且行动党现在还会批判中共，也不看看现在自己屁股上的屎已经比中共的还大了！而且行动党现在也已经是卖华2.0，汉奸2.0了。于是就觉得现在行动党真是太差劲太垃圾了。所以就退党了，是不是这样啊？哈哈！"
三鹿阿中仔,20170312,"哦？火箭现在的理念已经是：马来人的马来西亚了吗？那你们马来西亚的华人为什么都这么差劲？都是汉奸呢？哈哈！"
三鹿阿中仔,20170312,"各個有錢人生活沒負擔"
Hishammudin,20170312,"清真行动党改名清真肿瘤党，好了 ....瘤特多"
cct2050,20170312,"哈哈，清真行动党？那马华公会又是什么？汉奸马华吗？"
三鹿阿中仔,20170312,"火箭病重，暗藏如此之多的毒瘤。快上西天了吗？"
liang_2002,20170312,"个人对那个negeri的人向来都没好感"
浩浩荡荡,20170312,"你还没睡醒就继续睡吧。下届大选 槟城选民还是会让你知道，到底是火箭 还是马华民政 执政槟州。"
sk0501,20170312,"寻洞党都忘了当初的理念，我也是对他们很失望～～～"
alienwong,20170312,"初恋红豆已经启动应急 SOP 了，所以交通部长需要出来解释。"
仓底货,20170312,"快点跳出来骂那些人通通都是毒瘤~~只要先开口骂人毒瘤，你就是最清廉了~~"
北方未明,20170312,""
50912cmea,20170312,"马哈迪惹出来，看看之前他对行动党的言论就知道了，现在行动党那边都开始四分五裂了"
Richman-S,20170312,"也好2，一次过让这些自私鬼自己走够了。。。那么剩下实力派的来届赢定"
latte3948,20170312,"之前的还能硬砌人生猪肉，讲人家输了党选（事实上没输），现在那么多没明显利益的普通党员退党，还能说什么呢？党员亦是人民，民意再少再小，还是民意。至少人家之前多年都投票给你，你去专注讨好的那些反对了你几十年的民意，卑微至斯，却对自家人无视至此？"
我是无赖,20170313,"甲州=鸡肋？？吃之无味，弃之可惜。。。"
蓝火爆,20170313,"得了敌对方的好处难道会公布天下然后再打个电话告诉你不成？。。。"
jac|kiez,20170313,"马华退党= 醒觉了，正义，对的事情火箭退党= 马哈迪惹出来的，都是一群毒瘤，没痛痒的州，没太大影响活在幻想中的红豆兵真可怕"
latte3948,20170313,"你有证据证明，嘛不是提出来直接shoot就好了。我也会认栽的。但可惜你应该没有，不然就不会写这一行了。不过，我也没听说过，有人会舍得出钱或有其他形式去收买近200人退党的。"
蓝火爆,20170314,"其实，不用花钱也是可以令人挺国阵干火箭的。。。。你不正是干着这种玩意么？"
50912cmea,20170314,""
李国锋,20170314,"火箭很厉害颠倒是非，大选时来个煽动情绪课题，华人又傻傻投票给他们，所以火箭根本就不害怕。"
latte3948,20170314,"原来是没证据，你就只能写这些了。"
jackyboy05,20170314,"排完毒，一身轻，下一届可以飞去荷兰。"
socrato,20170314,"林神这种气度迟早在槟城也会很多人不爽他的。是时候给其他的人才一点机会，不要霸占权位不放。"
Goodyear,20170314,"应该还会有下一波下一波，或许，会在其他州卷起"
alex2083,20170317,"他们只是在马六甲有点实力而已，外州应该不行。要凌驾党。呵呵"
三鹿阿中仔,20170317,"嗯！下次大选确实还是汉奸执政槟州。"
